---
Bogennummer: '45880'
Ort: Buchen
Gid: 16557
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-11-26 18:29:43.036712
Änderungsdatum: 2022-11-28 18:48:04.110863
Satzversion: 1
...
WS1	Jm Winter flüge die dürre Bletter i dr Luft desume.
WS2	Es hört de öppe uf schneie, u's Wätter wird de wieder besser.
WS3	Tu no chli Chohle i Chunscht, dass d' Miḷch de gli chumt {Schreibfehler? fehlender Abstrich für 'chunnt' -?} .
WS4	Dä guet alt Ma isch mit Ross ufem Ysch ybroche u is chaḷte {darüber steht:} <(chaute)> Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gstorbe.
WS6	Es isch z'starchs {Apostroph oder Strichlein oder Kleckslein ?} Füür gsi, d'Chueche si ganz schwarz und̩eruf {darüber steht:} <(ungeṙuf)> 
WS7	Er isst d' Eier gäng ohni Saḷz {darüber steht:} <(Sauz)>  u Pfäffer.
WS8	D' Füess tüe mer schützli weh, i gloube i syg sehre.
WS9	J bi byr Frou gsi, u sie het gseit, sie wöḷḷs {darüber steht:} <(wöus)> ou ihrer Tochter säge.
WS10	J wott s o nie meh mache.
WS11	J schloh dr grad d' {zunächst wohl 'de', dann 'e' mit einem langen Aufstrich durchgestrichen} Cheḷḷe {darüber steht:} <(Cheue)>  um d'Ohre, du Aff.
WS12	Wo woscht du hi, sölle {darüber steht:} <söue>  mer mit dr cho ?
WS13	Äs si schlächti Zyte !
WS14	Mys liebe Chinḍ <(g)> , blyb da stah, die böse Gäns bysse di süsch z tot {'süsch' steht oben im Wortzwischenraum und über 'z tot'} .
WS15	Du hesch hüt am meischte glehrt u bisch lieb gsi, du darfsch ehnder hei goh.
WS16	Du bisch no nid gross gnue für ne Fläsche Wy usztreiche, du muescht no chly wachse u grösser wärde !
WS17	Gang, bis so get u säg dyr Schweschter, si söḷḷ {darüber steht:} <(söu)>  d'Chleider für eui {hinter 'eui' steht ein kleiner Punkt auf halber Höhe - ?} Mueter fertig mache u se bürschte.  
WS18	Hättisch du ne gchennt, de wärsch anḍersch {darüber steht:} <(angersch)>  use cho, un es stieng besser um ihn.
WS19	Wär het mer e Chorb Fleisch gstohle ?
WS20	Er het drglyche to, aḷs {darüber steht:} <(aus)>  sött är drösche, aber si hei's sälber {darüber steht:} <(säuber)>  gmacht
WS21	Wäm het er di nöii Gschicht erzeḷḷt {darüber steht:} <(ärzeut)> .
WS22	Mi muess nit so so lut brüele, süscht {oder ist 't' am Wortende mit dem langen Strich gelöscht ?} versteit me-n-is nid.
WS23	Mir si müed, u hei Durscht.
WS24	Wo mer geschter am Abe si heicho, si di anḍere {darüber steht:} <angere>  scho im Bett gsi u hei fescht gschlofe.
WS25	Dr Schnee ischt di letscht Nacht blibe, aber am Morge hets ne du gno
WS26	Hinḍer {darüber steht:} <Hinger>  em Hus stöh drei schön Öpfelböim mit rote Öpfeli.
WS27	Choit er no e Ougeblick warte, de chömme mer mit ech.
WS28	Jhr dörft nit sölligi Chindereie trybe.
WS29	Üser Bärge si nit so höch {zunächst wohl 'höh', dann 2.'h' mit 'c' überschrieben und zu 'höch' ergänzt} , euer {darüber steht:} <(ai.er)> {der Punkt im Wortinnern steht auf halber Höhe}  si vieḷ {darüber steht:} <(viu)>  höcher.  
WS30	Wie {zunächst wohl 'Wies', dann 's' mit langem Aufstrich durchgestrichen} mängs Pfund {darüber steht:} <(Pfung)>  Wurscht u wievɪel {darunter steht:} <wieviu>  Brot söttet ihr ha.  
WS31	J verstah-n-ech {'J' und 'verstah' sind mit einem Strich verbunden -?} nid, ihr müesst e chli lüterer rede.
WS32	Heit ihr keis Bitzli wyssi Seife für mi [u]f mym Tisch gfunḍe {darüber steht:} <gfunge.>
WS33	Sy Brueder wott sech zwöi schöni nöii Hüser i euem Garte boue.
WS34	Är het vo Härze gredt.
WS35	Das ischt rächt von ne.
WS36	Was hocke da für Vogeli uf em Mürli obe.
WS37	D'Buure hi föif Ochse u nün Chüe u zwöḷf {darüber steht:} <zwöuf> Schäfli vor ds Dorf bracht, für z'verchóófe.
WS38	D' Lüüt {sic!} hüt alli dusse u mäihe.
WS39	Gang nume, dä brun Hunḍ {darüber steht:} <(Hung)>  tuet dir nüt.
WS40	J bi mit de Lüte da hinḍer {darüber steht:} <(hinger)>  dür d' Matte i Chornacher gfahre.
