---
Bogennummer: '44953'
Ort: Rupperswil
Gid: 20554
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-12-08 15:46:51.897831
Änderungsdatum: 2024-12-08 15:46:51.897831
Satzversion: 1
...
WS1	Ìm wìnter flüüge di trochne bletter ì der lùft ùme.
WS2	es hȫrrt grad uf schnèie; denn wìrd s' wätter wìder {zunächst 'wìeder', dann 2.'e' durchgestrichen} besser.
WS3	tue chòle-n-ì òfe, dass d' mìlch bald afoòt choche.
WS4	d`guèt alt maa ìsch mìt èm ross dùrs iis broche ùnd ìs s' chalt wasser gfalle.
WS5	e̊r ìsch vòr vièr òder Woche {zunächst 'Wooche', dann 2.'o' durchgestrichen} gschtoorbe.
WS6	s' füür ìsch z' schtarch gsii, d' kuèche sìnd jò ùnde ganz verbrönnt.
WS7	e̊r ìsst d' èier ìmmer òni salz ùnd pfäffer.
WS8	d' pfüèss tüèmmer schtarch wee; i glaͣ̈ube, i hèig si dùre gloffe.
WS9	i bì bē de̊r fräw gsi ùnd han-è-rès gsèit ùnd si hèt gsèit si wells äw ìrer tochter sääge {zunächst 'säge', dann 2,'ä' oben zwischen 1.'ä' und 'g' eingefügt}
WS10	i wotts äw nǜmme tue.
WS11	i häw de̊r grad èis mēt-èm chochlöffu ùm d' oore.
WS12	wo gòòscht hee, sèle-mer mēt-e̊r gòò ?
WS13	es sìnd schlächti Ziite.
WS14	liebs chìnd, bliib dòò ùnde stòò, di bööse Ganse biisse-di-z' tood.
WS15	du hescht hǜtt am mèischte gleert ùnd bescht artig gsii. du darfscht früèner hèi gòò wèder di andere.
WS16	du bìscht nònig grooss gnuèg, è fläsche wii z' trìnke; du muescht zērscht nò chli wachse ùnd gröösser {zunächst 'grösser', dann 'ö' oben zwischen 1.'ö' und 1.'s' eingefügt} wäärde.
WS17	bìs so guet ùnd säg de̊r schwöschter, si sell d' Klèider fǜr ö̀ii muèter fertig nääi-è ùnd mìt de̊r bǜrschte suuber mache,
WS18	wenn-tè duu kennt hättischt, wǜrds anderscht ùm-nè schtòò ùnd e̊s wär abderscht choo,
WS19	Wär hèt me̊r mi {zunächst 'de', dann durchgestrichen und darüber 'mi' notiert} choorb mìt flèisch gschtòle {zunächst 'gschtōle', dann Querstrich dick mit Gravis überschrieben} ?
WS20	E̊r hèt dè gliè tòò, si hèige-n-è zùm drö̀sche bschtellt; si händs aber sälber gmacht.
