---
Bogennummer: '45324'
Ort: Kirchberg
Gid: 15182
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-02-14 17:34:13.916081
Änderungsdatum: 2023-02-14 19:02:37.530964
Satzversion: 1
...
WS1	Im Winter flüge die trochne Bletter i dr Luft ume.
WS2	Äs hört grad uf schneie, de wird z' Wätter ume besser.
WS3	Tue Chole-n-i Ofe, dass d' Miuch bau afoht choche.
WS4	Dä guet aut Ma isch mit em Ross dür 's Jsch brochen-u is chaut Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS6	Ds Für isch z' schtarch gsy, d' Chueche sy jo unge ganz schwarz brönnt.
WS7	Är isst d' Eier gäng ohni Sauz u Pfäffer.
WS8	D' Füess tüemer grüsli weh, i gloube {zunächst 'glaube', dann 'a' durchgestrichen und 'o' darüber geschrieben} , i syg dür-glüffe. 
WS9	I bi bi der Frou gsy u ha neres gseit, u si het gseit, si weus {'o' durchgestrichen}  ihrer Tochter {zunächst war 'o' oben zwischen 'ihrer' und 'Tochter' eingefügt, dann wieder durchgestrichen}  o säge {zunächst nur 'Tochter säge', dann 'o' oben im Wortzwischenraum eingefügt} .
WS10	I wotts nie meh mache.
WS11	I schlo dr gly mit em Chochlöffu um d' Ohre, du Aff !
WS12	Wo geisch hi, sou mer mit-er cho ?
WS13	Äs sy schlächti Zyte !
WS14	Mys liebe Ching, blyb hie unge schtoh, die böse Gens bysse di z' tod {zunächst 'Tod', dann 'T' mit 't' überschrieben} .
WS15	Du hesch hüt em meischte glehrt u bisch artig gsy, du darfsch früecher hei goh aus die angere.
WS16	Du bisch no nid gross gnue, für ne Fläsche Wy usztrinke, du muesch z' ersch no chly wachsen-u grösser wärde.
WS17	Bisch so guet u gang säg dir Schwöschter, si sou d' Chleider für eui Mueter fertig mache-n-u mit dr Burschte {sic!} putze.
WS18	Hättisch du-ne kennt ! de wär 's angers cho un es tāt besser umne schtoh.
WS19	Wär het mer my Chorb Fleisch gschtole ?
WS20	Är het so to, wie wenn si ne zum Drösche bschteut hätti; aber si hei's säuber gmacht.
WS21	Wämm het er die nöii Gschicht erzeut ?
WS22	Mi mues lut brüele, sünsch versteit er is nid.
WS23	Mir sy aui müed u {zunächst 'un', dann 'n' durchgestrichen}  hei Durscht.
WS24	Wo mer geschter z'Obe zrügg cho sy, sy die angere scho im Bett gläge u hei fescht gschlōfe.
WS25	Dr Schnee isch die Nacht bi üs blibe; aber dä Morge isch er vergange.
WS26	Hinger em Hus schtange drü schöni Öpfuböimli mit rote Öpfeli.
WS27	Chöit-er nit no-en-Ougeblick worte, de chöme mer mit ̇ nech {zwischen 'mit' und 'nech' steht oben ein dicker Punkt - ?} .
WS28	Dir dörft nid seligi <(söttigi)> Chindereie trybe.
WS29	Üsi Bärge sy nid grad so höch, öii {zunächst wohl 'öui', ddann aus 'u' zwei 'i' gemacht und den Rest durchgestrichen} sy viu höcher.
WS30	Wie viu Pfung Wurscht u wieviu Brot weit-er {zunächst 'weiter', dann oben zwischen 't' und 'e' ein kleiner Bindestrich eingefügt} ?
WS31	I verstange-n-ech nid, dir müesst e chlei <(chly)> luter {zunächst 'lutter', dann 2.'t' durchgestrichen}  rede.
WS32	Heit-er keis Bitzli {etwas ist durchgestrichen}  wyssi Seife uf mym Tisch gfunge ?
WS33	Sy Brueder wott für sich zwöi schöni, nöii Hüser i öiem Garte boue.
WS34	Das Wort isch im vo Härze cho.
WS35	Das isch rächt gsy von-ech.
WS36	Was hocke do für Vögeli uf em Mürli obe ?
WS37	Die Bure hei föif Ochse u nün Chüe u zwöuf Schöfli vors Dorf brocht <(brunge)> u hei se weue verchoufe.
WS38	Die Lüt sy hüt aui dusse uf em Fäu u mäie.
WS39	Gang nume, der brun Hung macht der nüt.
WS40	I bi mit dene Lūt do hinge über die Matte-n-is Chorn gfahre.
