---
Bogennummer: '45249'
Ort: Lyssach
Gid: 20507
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-01-31 18:13:12.697739
Änderungsdatum: 2023-02-25 17:45:26.313940
Satzversion: 1
...
WS1	Im Winter flüge di trochene Bletter i dr Luft ume.
WS2	Es hört grad uf schneie, de wird's Wätter wider besser.
WS3	Tue Chole i Ofe, das d' Milch gli afot choche. <(l in Milch wie u)>
WS4	Dä guet alt Ma isch dürs Isch {zunächst wohl 'Jsch', dann 'J' mit 'I' übertippt}  broche und i das chalte Wasser gfalle. <(l & ll wie u)>
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	Es isch z'starchs Füür gsi, d' Chuche si jo ungernoche ganz verbrönnt.
WS7	Er isst d' Eier gäng ohni Salz u Pfäffer. <(Salz=Sauz)>
WS8	D' Füss tüe mir grüsli weh, i glaube i sig dürglüffe.
WS9	I bi bi dr Frau gsi u ha r-es gseit, u si het gseit, si wells ihrer Tochter au säge. <(ll in wells=u)>
WS10	I wott's au gar nümm mache.
WS11	J houe dr grad mit der Chelle <(ll=u)> {zunächst getippt: 'dem Kochlöffel', dann durchgestrichen und manuell Korrektur darüber notiert}  um d' Ohre, du Aff. {Zunächst war am Satzende noch getippt: '(ll in Kochlöffel=u )', dann Bemerkung durchgestrichen}
WS12	Wo geisch hi, soll i mr mit dr cho  <(ll in soll =u )>
WS13	Es {zunächst 'es', dann 'e' mit 'E' übertippt} si schlächti Zyte.
WS14	Mis liebe Ching, blib hie unge {zunächst 'hieunge' getippt, dann mit Hilfe des Schrägstrichs getrennt}  stoh, d' Gens {zunächst 'gens', dann 'g' mit 'G' übertippt}  bisse di z' tod.
WS15	Du hesch hüt am meischte glehrt u bisch brav gsi, du darfsch ehnder heigoh weder di angere.
WS16	Du bisch no nid gross gnue, für ne Fläsche Wy usztrinke, du muesch zersch no chli wachse u grösser wärde.
WS17	Bis so guet u gang säg dir Schwester, si soll <(ll=u)>  d' Chleider für {zunächst 'füe' vertippt, dann 'e' mir 'r' übertippt}  eui Mueter fertig mache {zunächst 'fertignäje', dann 'näj' durchgestrichen und oben getippt 'mache' und mit geschweifter Klammer unten eingefügt}  u mit dr {zunächst 'de', dann 'e' stark mit 'r' übertippt}  Bürschte putze.
WS18	Hättish {sic!} du ne gchennt !  de wär es angers cho u-n -es stieng besser um ihn.
WS19	Wär het mir mi Chorb mitsamt em Fleisch gstohle.
WS20	Er het dergliche to, si heigi ne zum Drösche {zunächst 'drösche', dann 'd' mit 'D' übertippt}  bstellt {zunächst 'bsellt', dann zwischen 's' und 'e' oben mit der Maschine 't' eingefügt}  <(ll=u)> , aber si hei's  sälber <(l=u)>  gmacht.
WS21	Wäm het er di neui Gschicht erzellt. <(ll=u)>
WS22	Mi mues lut brüele, süsch versteit er is nid.
WS23	Mir {'Mi' ist getippt, 'r' manuell angefügt}  si müed u hei Durscht
WS24	Wo mr nächti zrugg cho si, si die angere scho im Bett gläge u hei fescht gschlofe.
WS25	Dr Schnee isch die Nacht bi üs blibe lige, aber dä Morge isch er vergange.
WS26	Hinger üsem Hus stöh drü schöni Oepfuböimli mit roten-Oepfeli {zunächst 'rote-Oepfeli' getippt, dann 'n' oberhalb von '-' getippt}
WS27	Chöit er nid no es Ougeblickli warte, de chöme-mer mit ech.
WS28	Dir dörft nid söttigi Chindereie trybe.
WS29	Uesi Bärge si nid so höch, eui si viel <(l=u)>  höcher.
WS30	Wie mängs Pfung Wurscht u wie mängs Brot weit er ?
WS31	J verstoh - nech nid, dir müesst e chi {sic!} lüter rede.
WS32	Heit er kes Schtückli wyssi Seife für mi uf mim {zunächst wohl 'emm' vertippt und dann mit 'mim' übertippt}  Tisch gfunge ?
WS33	Si Brueder {zunächst 'Brueger' vertippt, dann 'g' mit 'd' übertippt}  wott sech zwöi schöni neui Hüser i euem Garte boue.
WS34	Da s isch im vo Härze cho.
WS35	Das isch is[c]h rächt gsi vo-n-ech.
WS36	Was hocke do f[ü]r {zunächst 'fer' vertippt, dann 'e mit 'ü' oder ev. 'ö' übertippt; ferner mit blauem Stift etwas markiert}  Vögeli uf em Mürli obe ?
WS37	D' Bure hei füf Schtiere u nün Chüe u zwölf <(l=u)> Schöfli, wo sie hei wölle <(l=u)>  verchoufe, vors Dorf brocht.
WS38	D' Lüt si hüt alli <(ll=u)>  uf em Fäld <(l=u)> usse u mäje.
WS39	Gang nume, dr brun Hung macht dr nüt.
WS40	J bi mit dene Lüte do hinge uber {zunächst 'ubre' vertippt, dann in 'uber' korrigiert} is Gwächs {zunächst 'Gwächr' vertippt, dann 'r' mit 's' übertippt}  gfahre. 
