---
Bogennummer: '21174'
Ort: Hänigsen
Gid: 112168
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Hans-Ulrich Henheik
Anmerkungen: 'Um die Lesbarkeit des transliterierten Textes zu erleichtern, wurde
  das Lang-S der Vorlage als einfaches S wiedergegeben (statt mit dem orthografisch
  korrekteren "ſ"). Damit der Unterschied zum End-S der Vorlage trotzdem erkennbar
  blieb, wurde dieses mit einem Ogonek " ̨" gekennzeichnet.

  "Später in Hänigsen" bezieht sich auf Theodor Lampe: "Lampen Thedor vertellt", Celle
  1982. (Theodor Lampe wurde am 9.10.1882 in Hänigsen geboren. Er war Lehrer in Dedenhausen,
  später in Celle.)

  In seinem Aufsatz "Entrundung in ostfälischen Mundarten" im Jahrbuch des Vereins
  für niederdeutsche Sprachforschung von 1984 (S. 83–117) erwähnt Werner Flechsig
  die Hänigser Verhältnisse nicht. Es ist auch weder im Wenkerbogen noch in Theodor
  Lampes Texten eine Regelmäßigkeit festzustellen, es treten sowohl entrundete Laute
  als auch solche ohne Entrundung in gleicher phonetischer Umgebung auf, zum Teil
  sogar in denselben Worten bzw. Wortformen. Bei Theodor Lampe scheinen die entrundeten
  Formen quasi auf dem Rückzug zu sein, "ehn" und "ehr(er)" gibt es bei ihm gar nicht
  (es sei denn, man wollte vereinzelte "oe(h)n" bzw. "oehre" als Zwischenstufen ansehen).
  Man könnte vermuten, dass es sich um eine ältere lokale Erscheinung  handelt, die
  durch zunehmenden Kontakt mit der Umgebung zurückgedrängt wurde. (Sind dann Formen
  wie "drüwen" statt "driewen" und "füf" statt "fief" Hyperkorrekturen?)'
Original Anmerkungen: 'Auf der Rückseite bzw. Seite B:

  Frage 4 (Lautet st, sp in den mundartlichen Wörtern für Stall, stellen, sprechen,
  Spiel etc. wie scht-, schp- oder wie ßt-, ßp-?): beide Alternativen sind durchgestrichen!
  {Das lässt sich wohl nur so erklären, dass der Lehrer die Frage nicht verstanden
  hat, bzw. keine andere Aussprache kannte als s-t, s-p.}'
Erstelldatum: 2023-05-03 14:11:48.549165
Änderungsdatum: 2023-05-03 14:11:48.549165
Satzversion: 1
...
WS1	In Winter fleiget dä drögen Blär dör dä Luft herumme.
WS2	Et hert {-e- statt -ö- durch Entrundung} gliek up tau snien, denn ward dat Wäer weer bäter.
WS3	Dau Köhle in’n Ob’n, dat dä Melk balle an tau koken fangt.
WS4	"Dä gue ole Mann is̨ {s̨ = End-S bzw. Rund-S; s = Lang-S, also ſ} mit den Päre dört Is̨ e broken {das ""e"" vor dem Partizip II ist dessen reguläre Vorsilbe} un in dat kole Water e fallen."
WS5	Hei iß vorr veir oder seß Wochen e storben.
WS6	Dat Füer was̨ tau heit, dä Kauken sind ja un’n ganz swart e brennt.
WS7	Hei it dä Eier immer ohne Solt un Pepper.
WS8	"Dä Fäute daut mik sehr weih, ik lewe {ältere Form des Verbs ohne Vorsilbe, -e- statt -ö- durch Entrundung, später in Hänigsen ""glöve"" und ""glöwe""}, ik hewwe sei dör e lopen."
WS9	Ik bin bie der Frue wesen un hewwe et ehr {e- statt -ö- durch Entrundung} e seggt, un sei säh, sei wolle et uck ehrer {e- statt -ö- durch Entrundung} Dochter seggen.
WS10	Ick will et uck nich mehr weer daun.
WS11	"Ick slae Dick gliek mit den Kokeleppel um dä Ohren, Du Ape! {""Dick"" & ""Du"" – auch einem Affen gebührt Höflichkeit ;-)}"
WS12	"Wo geihst Du hen, schill {-i- statt -ü- durch Entrundung, Wegfall des -t in schneller Sprechweise, vgl. ""schüwwe"" = ""sollen wir"" in Schwüblingsen} wie mit Dick gahn?"
WS13	Et sind slechte Tien.
WS14	Mien leiwe Kind, blief hier un’n stahn, dä bösen Gäuse biet Dick dodt.
WS15	"Du hast hiete {-ie- statt -ü- durch Entrundung} am meisten e leert un bist arig {in dieser Bedeutung veraltend, später steht es in Hänigsen für ""ziemlich""} e wesen, Du drafst freuer nah Huse gahn as̨ dä Andern."
WS16	"Du bist noch nich grot t naug {wohl als ""grot-enaug"" zu lesen, ""genug"" später in Hänigsen sowohl ""naug"" als ""enaug""}, um eine Flasche Wien uttaudrinken, Du most erst noch n Enn wassen un grötter weren."
WS17	Gah, weß so gut un seg diener Swester, sei schell {-e- statt -ö- durch Entrundung} dä Kleer vor jue Muttern fertig neien un mit der Bost reine maken.
