---
Bogennummer: '44699'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.591233'
...
WS1	Im Wintr fliëğ dië drockene Blettr in dr Luft umme.
WS2	"Ĕs hért (é: lg. off.) [""lg. off."" ist klein über 'é' geschrieben] glȳ uff sch neiji; drno wird s Wättr wiedr bessr."
WS3	Duë Kōhlĕ - n - in Ōfĕ, (d)ass d'Milch bald afōht kŏchĕ. (ō: lg. geschloss.)
WS4	Dä guët alt Mā isch mit sym Ross im Ȳs ȳbroche und ins kalt Wassr gfallĕ.
WS6	s Fȳr isch z'schdārk gsi, d(ië) Wāije (Kiëche, Kiëchli) sin(d) jo unde ganz verbrennt (ganz schwarz).
WS7	Ĕr isst d'Aijer immer ōhni Salz und Pfäffr. (umpfäffr)
WS8	D'Fiëss diëmr schrecklig wēh; i glä|ub [zwischen 'ä' und 'u' ist ein senkrechter Strich '|'] i ha si duregloffe (u: langes offenes u) (? das sagt man nicht bei uns.)
WS9	Y bī (ī: lang offen) by dr Frā|u (ā|u: kurz) [zwischen 'ā' und 'u' ist ein senkrechter Strich '|'] gsi (i: lg. off.) und haneres gsait, und si het gsait, si wells ä|u (ä|u: kurz) irer Dochtr sāgĕ.
WS10	Y wills nimmi (oder -ĕ) măchĕ.
WS11	Y hä|u (ä|u: kurz) [zwischen 'ä' und 'u' ist ein senkrechter Strich '|'] dr jetz drnō (od: dnō) gly ais mit em Kochleffl um d'Ohre (o: lg. off.), dū Aff !
WS12	Wō gōhsch ane ? Solle mer mitdr kō ?
WS13	's sin(d) schlächti Zytĕ.
WS14	Liëb Kind, blyb dō unde schdōh; dië bēse Gäns bysse di z'dōd.
WS15	Du hesch hitt(ĕn) am maischte glert (e: lg. off.) und bisch brav (ordlig (o: lg. off.)) gsi, dĕ darfsch friëjer haim as dië anderĕ.
WS16	Du bisch nōni(g) grōss gnuëg, fir e Fläsche Wȳ us z'drinke, dĕ muësch zerscht nōne bitz(e)li waxe und greesser wärde.
WS17	Gang, syg sō guët und sag dynr Schweschtr, si soll d'Glaidr fir eijeri Muëtr fer(t)ig naije und si usbīrschtĕ.
WS18	Hättsch (du - n -) en kennt ! Drnō wär's anderscht ko und s schdiënggt besser um en.
WS19	Wär het mir (od.: mr) my Korb (o: lg. off.) mit Flaisch gschdōhlĕ ?
WS20	Ĕr het drglȳche dō, sĭ haigenen (od.: hēbenen) zuèm Dresche bschdellt; sĭ händs aber sälbr do (gmacht).
WS21	Wäm het er dië neiji Gschicht verzellt ?
WS22	Me muës lūt schreije, sunscht verschdoht ĕr ĭs nĭt.
WS23	Mr sin miëd und hänn Durscht.
WS24	Wō mr geschtr zobe zruck kō sin, sin dië andere scho im Bett gläge - n - und hän dick gschlōfe.
WS25	Dr Schnee isch hit(te) znacht by nis līge blībe, abr hittemorge - n - isch ĕr gschmulze.
WS26	Hindr unserem Hūs schdehn drei schēni Epfelbaim mit rōten Epfeli.
WS27	Kennener nĭt nōne - n - Ä|ugeblickli [zwischen 'Ä' und 'u' steht ein senkrechter Strich '|'] uff is warte, drnō gehmr mit ĭch.
WS28	Er derfe (1.e: lg. off.) nit e sō dummi Sache (dumm Zȳg) mache ( e so dumm duë).
WS29	Unseri Bärg sin nĭt sō hōch; eijeri sin vyl hēchr.
WS30	Wiëvyl Pfund Wurscht (u: lg. off.) und wiëvyl Brōt wänn(d)ĕr.
WS31	Y vrschtand ĭch nĭt; ĕr mien(d) ĕ bitz(e)li lūtr schwätze.
WS32	Hän(d)r kai Schtickli Saifi gfundĕ fir mī uff mym disch ?
WS33	Sy Bruedr will sich zwai scheeni neiji Hȳsr bä|uen - in [zwischen 'ä' und 'u' seht ein senkrechter Strich '|'] eijerem Gārtĕ.
WS34	Dās Wort (o: lg. off.) isch em vo Härze kō.
WS35	Dāsch (od. das isch) rächt gsī vŏnene.
WS36	Was sitzt dō fir e Vēgeli uff däm Mȳrli obe ?
WS37	D'Būre hän fümf Oxe - n - und nȳn Kiëh und zwölf Schēfli vors Dorf (o: lg. off.) brŏcht gha und händsi welle vrkaufe.
WS38	D'Lyt sin(d) alli uff em Fäld (ŭssen) und maije.
WS39	Gang numme: dä brūn Hund machtr nȳt.
