---
Bogennummer: '44563'
Ort: Hugelshofen
Gid: 15783
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-11-17 14:36:55.915790
Änderungsdatum: 2025-11-17 14:36:55.915790
Satzversion: 1
...
WS1	Im Wenter flüged die tüerre Bletter i de Loft omenand.
WS2	S' hört bald uf schneijä, denn wörrts {zunächst 'werts'} s' Wetter wieder besser
WS3	Schopp Chole in o Ofe ine, dass d' Milech bald zom Süde chonnt.
WS4	Dä guet alt Ma ischt mit em Ross is {'E' ist durchgestrichen} Is ybroche und is chalt Wasser ine ghejt.
WS5	Er ischt vor vier oder sechs Woche gstorbe.
WS6	S' Für ischt z'starch gsi, die Chueche send jo d one {'d' scheint nachträglich eingefügt zu sein} ganz verbrennt.
WS7	Er esst d' Eier allewill ohni Salz ond Pfeffer.
WS8	D' Füess tomer sumäsig weh, i glaub, {'ic' ist durchgestrichen} i has {zunächst 'hes'} d[o]regloffe.
WS9	I bi bi de Frau gsi, ond h[a]nneres gsat, ond do het sie gsat, si wels denn e[hr]er Töchter o säge.
WS10	I ills o nüme to.
WS11	I schlag dr gad de Chochlöffel um d' Ohre ume, du Aff.
WS12	Wo gost ane, solled mer mit dt cho.
WS13	Es send schlechti Zite.
