---
Bogennummer: '27257'
Ort: Bornheim
Gid: 95217
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Erstelldatum: 2024-01-04 14:55:12.912914
Änderungsdatum: 2024-01-04 14:55:12.912914
Satzversion: 1
...
WS1	Em Wender flehje dej tra͡ockne Blerrer dorch dej Loft erim.
WS2	's hiert gleich uf zou schneie, dann werd dos Werer werer besser.
WS3	Dou Kohle en de Owe, do͡aß dej Melch bal o<(n)>fängt zo͡u ko͡ache.
WS4	Der go͡ure ale Mann eß met de Gäul dorch's Eis gebro͡ache un ens kale Wasser gefalle
WS5	Er eß vor v[ö]jer ower sechs Wuche gestorwe.
WS6	's Feuer woar zou has, dej <(döj)> Kouche sein jo one go͡anz schwo͡arz gebrennt.
WS7	Er eßt dej Ajer emmer uhne Salz un Peffer.
WS8	Dej Feuß dohn merr so͡u <sehr (sihr) ist nicht gebräuchlich> {Anmerkung am Seitenende} wih, e͡ich <(i͡ech)> glab, e͡ich hun se dorchgeloffe <(gelafe)> <beides gebräuchlich> {Anmerkung am Seitenende}.
WS9	E͡ich ben bei derr <(de)> Fraa gewest un ho͡abser geso͡aht, un sej hot geso͡at, sej wellt's aach ihrne Do͡achter so͡ahn.
WS10	E͡ich wells aach net mi werrer dou.
WS11	E͡Ich haage der bal met'em Ko͡achleffel im de Uhrn, do͡u Aff.
WS12	Wu gihst do͡u hi <gihste hi> { e hi ausgestrichen}, solle'mer met'er gih.
WS13	Es sein schleechte Zeite.
WS14	Mei lewes Kend, bleib hej dronn <(onne)> stih, dej bise Gens beiße dich dud.
WS15	Do͡u host heut do' meist gelernt und best g'scheckt gewest, do͡u derfst eher ham gihn, als de Anern.
WS16	Do͡u best noch net gruß genunk, um a͡o Flasch Wei auszetrinke, do͡u mo͡ußt erst noch ä bissi <(a͡o Enn)> wo͡achse un gr[esser] {durch Korrekturen und Ausstreichungen kaum zu entziffern} wern.
WS17	"Gih, sei su gout un so͡ag deiner Schwester, sej soll dej Klader fer euer Motter firtig nähe un met de<(r)> Bärscht sauwer mache <kaum hörbar> {Anmerkung am Ende des Blattes bezieht sich auf finales e in ""mache""}."
WS18	Häst dou en gekennt! dann wärsch <('s)> annerscht komme, un's thät besser im̄'en stih.
WS19	Wär hot mer maan Ko͡rb <kaum hörbar> {mit Bezug auf das r in Korb} met Flasch gestohle?
WS20	Er hot getho<(n)>, als hättese ihn zo͡um dreschern {sic!} bestellt; sej hun's o͡awer selbst getho<(n)>
WS21	Wem hotte<(r)> <r kaum hörbar> {Anmerkung am Seitenende}  dej neu Geschicht ve<(r)>zehlt <(r) kaum hörbar> {Anm. am Seitenende}.
WS22	Merr muß laut kreische, so͡unst ve<(r)>stihter on's nett.
WS23	Mer sein meud <(oi)> un hun <(howe)> <beides gebr.> {Anmerkung am Seitenende} Dorscht.
WS24	Wie mer gestert Owend zo͡ureck kom<(m̄)>e, do hun dej Anern schun em Bett gelege un worn fest om schlofe.
WS25	De Schnie eß dej Nocht bei uns leie bliwe, o͡awer heut Meund eß er geschmolße.
WS26	Hen̄er unserm Haus stihe drei schiene Appelbeem met ruthe Appelcher.
WS27	Kennt i͡ehr net no͡ach en Aagebleck uf uns wa͡orte, dann gehe mer met euch.
WS28	I͡Ehr derft su ka Kenereie treiwe.
WS29	Unser Bäg <(Bäk)> sein nett su hug, euer sein vill hieger.
WS30	Wevill Pund Worscht unn wevill Brud wo͡ullt'er ho͡awe.
WS31	E͡Ich verstihn euch nett, ihr mißt e' bissi lauter schwätze.
WS32	Ho͡abt derr ka Steckche weiß Saf fer mich uf main Desch gefonne.
WS33	Sein Brouder will sich zwaa schiene neue Häuser en euern Goa<(r)>te baue.
WS34	Deß Woart kimt'em vom Herze.
WS35	Deß wo͡ar reecht voh'nen.
WS36	Wo͡as setze do ver Vigelcher owe uffem Mäuerche?
WS37	Dej Bauern ho͡arre finf Ochse on neu Ko͡uh on zwelf <(Schefcher)> Lämmelcher vers Dorf gebrocht, dej wolltese vekafe.
WS38	Dej Leut sein heut all uff'em Feld un mehe.
WS39	Gih no͡ur, der braune Hond do͡ut derr nichts <(nix)>.
WS40	I͡Eich <E͡Ich vielleicht verständlicher> {Anm. am Seitenende} sein met dene Leut do henne iwer dej Wiß en's Korn gefo͡ahrn
