---
Bogennummer: '45879'
Ort: Moosacker
Gid: 546243
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-11-23 17:42:09.133278
Änderungsdatum: 2022-11-23 19:12:25.496670
Satzversion: 1
...
WS1	Im Winter flüge die trochene Bletter i dr Luft ume.
WS2	Es hört gli uf schneie, de wird d'Wätter ume {zunächst 'wider' mit darunter eingefügtem '(e)', dann 'wieder' durchgestrichen und darüber 'ume notiert} besser.
WS3	Tue Chohle-n-i {zunächst 'Chole', dann zwischen 'o' und 'l' oben 'h' eingefügt} , dass d'Miuch bau afat choche.
WS4	Dä guet, aut Ma isch mit dem Ross dürs Isch ache gchruttet u is chaut Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gstorbe.
WS6	D'Füür isch z'starch gsi, di Chueche si ja unger ganz schwarz verbrönnt.
WS7	Är isst d'Eier gäng ohni Sauz u Pfäffer.
WS8	D'Scheiche tüe mer soumässig weh, i glujobe, i heig se düergloffe.
WS9	I bì bi dr Frou gsi u ha-ne-res {zunächst 'hane-res', dann mit Trennstrich 'ha|ne-res', dann Trennstrich durchgestrichen und darüber ein Bindestrich gesetzt} gsiìt, u si het gsiit, si wöu's {zunächst 'wöus' zusammengeschrieben, dann zwischen 'u' und 's' oben ein Apostroph gesetzt} ou ihrem Meitli säge.
WS10	I wiu's o nümme ume mache.
WS11	I schla dr gli mit dr Këuä um e Gring {unter 'um e Gring' steht:} <(um d' Ohre)> , du Kaub. - <(du)> ! {unter 'du Kaub.' steht:} <(du [A]ff[] - du)>- 
WS12	Wo gi[t]sch du hi, söue mer {zunächst wohl 'i', dann i-Punkt durchgestrichen und i ohne Punkt zu 'mer' ergänzt} mit dr cho ?
WS13	Das si schlächti Zite !
WS14	Mys liebe King, blieb hie unger stah, di böse Gäns bisse di z'tod.
WS15	Du heschhüt am meischte glehrt u bisch es Liebs gsi, du darfsch {'für' ist durchgestrichen, darüber und im Wortzwischenraum steht:}  enger hii gah aus di angere.
WS16	Du bisch no nid gross gnue, um e Gutter Wy uszsuffe, du muesch zersch no chli wachse u grösser wärde. 
WS17	Gang, byss so guet u säg dr Schweschter, sy söu z'Muetters Chlyder fertig näie u mit dr Bǜrschte suber mache.
WS18	Hättsch du ne gkennt ! de wär es angersch cho, u-n-es stüeng besser mit {zunächst 'um', dann durchgestrichen und darüber ',it' notiert} im.
WS19	Wär het mer mi Chorb mit Fleisch gstohle ?
WS20	Är het dr gliche ta, aus hätte si ne zum Trösche bstëut; sie hei's aber säuber g'macht.
WS21	Wam het er di nöii Gschhicht erzëut ?
WS22	My muess lut brüele, süsch verschteit er is nid.
WS23	Mir si müed u hei Durscht.
WS24	Wo mer nächti sy zrügg cho, sy di angere scho {drei Möglichkeiten, oben:} im Näscht {in der Mitte:} <ungere> {und darunter:} <(im Bett)> gsy {darunter:} <(gläge)> u sy fescht am {oben:} schlafe {darunter:} <pfuse>  gsi.
WS25	Dr Schnee isch dy Nacht by üs blíbe lìge, aber hǜt dä Morge isch er gsch[m][u]ouze {am Wort wurde mit Bleistift rumkorrigiert zwischen 'm' und 'u' ist oben 'u' eingefügt} .
WS26	Hinger üsem Hus stange drü scöni Öpfuböimli mit rote-n Öpfeli.
WS27	Chöit dr nid no nes bitzli {darunter steht:} <(Augeblickli)>  uf is warte, e^de chöme mer mit ech.
WS28	Dyr dörfet nid settige Schabernack trybe.
