---
Bogennummer: '33731'
Ort: Gross-Gerau
Gid: 95323
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: 'Ab Satz 25 wurde der Bogen in einer anderern, ordentlicheren Schrift
  ausgefüllt.

  Auffällig sind die Übereinstimmungen mit dem Bogen aus Klein-Gerau, insbes. die
  konsequente Wiedergabe des vokalisierten r (hört > heat) sowie des lenisierten t.'
Original Anmerkungen: '{Auf Seite A unten in ders. Schrift wie Sätze 25-40:}

  x Aussprache wie im Englischen in: Salt, Boat, Ball, Coast.

  xx Nasenlaut.


  {Auf Seite B in derselben Schrift wie Sätze 1-24:}

  Bemerkungen: 1. Imperfaita sind ungebräuchlich. Statt: sie wollte z.B. heißt es:
  sie hod gewolld. 2. Das n am Ende fällt aus u. verwandelt sich in vielen Wörtern
  in einen Nasenlaut, z.B. statt thun dun {ursp. duh, das h wurde ausgestrichen und
  in anderer Tinte ein n darüber gesetzt} ohne daß n hörbar ist. 3. Da {sic!} a wird
  in vielen Wörtern mit o vermischt ausgesprochen z.B. die Nōcht <(Nacht)> die Mōd
  <(Magd)> <(wie häufig im Englischen)>. 4. T wird meistens wie d ausgesprochen: Woad,
  dōd <(Wort, todt)>. In der Mitte des Worts fällt es meistens aus: unne, hinne <(unten,
  hinten)> 5. r od. er am Ende lautet als ă <(äă statt er)> z.B. miă, diă, deă = mir,
  dir, der Windā st. Winter, sauwā st. sauber {sic! Der Übersetzer setzt hier tatsächlich
  das Längenzeichen}; aber so in der Mitte: Häăz st. Herz.'
Erstelldatum: 2025-01-23 15:29:31.884401
Änderungsdatum: 2025-01-24 12:37:46.454424
Satzversion: 1
...
WS1	Im Windă flije die druckene Blerră dorch die Luft ĕrimm
WS2	's heat glei uff sĕ schneiche, dann wärds W[ä]rră wirră bessă
WS3	Duh Kohlĕ in dĕ Ōwē, daß die Milch bahl sĕ Koche ofängt
WS4	Däă gud ald Mann ess mim Päad dorchs Eis gebroche unn ins kald Wassă gefallĕ.
WS5	Äă ess voă viă orră sechs Woche gestorwĕ
WS6	's Feiă wā sĕ haaß, die Kuche sein jo unne ganz schwatz gebrennt.
WS7	Äă ißd die Ājă immă ohne Salz unn Päffă.
WS8	Die Füß duhn mă seă weh, ich glāb ich honn sĕ doăch gelăfĕ
WS9	Ich sein bei dĕ Fraa gewähst unn hŏn să gesoht {über dem o ein x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B}, unn sie hott gesoht {erneut das x}, sie wollts aach ehră Dochdă souĕ.
WS10	Ich wills aach nĕd meh wirră duh!
WS11	Ich schlouĕ dich <(dă)> glei mim Kochleffel imm <uff> die Oǎn, du Aff!
WS12	Wo gehst de hen, solle mă mit dă geh?
WS13	's sein schǟchdĕ Zeide!
WS14	Mei lieb Kind, bleib hiă <(dō)> unne steh, die bēse Gens beiße dich dohd.
WS15	Du host heid amm mehaschde gelähand <(gelǟand)> unn bist ahdig gewähst, du däăfst frühă hahm {über dem a ein x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B} geh als die Annann.
WS16	Du bist noch nett groß genunk immĕ Flăsch Wei auszedrinke, Du mußd eăschd noch e Enn wochse unn grēßă waăn. {über dem ersten a ein x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B}
