---
Bogennummer: '44736'
Ort: Sulz
Gid: 21103
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer/die Lehrerin verwendet öfter ''e'' und übertippt es mit
  ''O''. Beim Bogen 45422 Oberwil-Lieli AG hat Frau Prof. Glaser vorgeschlagen, dafür
  das Zeichen ''ə'' (Schwa) zu verwenden. Das werde ich hier jetzt auch so tun.}'
Erstelldatum: 2024-07-28 14:27:46.044127
Änderungsdatum: 2024-08-01 17:09:43.824399
Satzversion: 1
...
WS1	ìm wìnter flüge də trochne bletter i də {bei beiden 'de' ist 'e' ist mit 'O' übertippt} lùft ùme.
WS2	s'-hört {im getippten Bogen stehen Bindestrich und Apostroph übereinander} glii uf schneie, drno wìrd's wätter wìder bèsser.
WS3	tue chòle-nen òfe, as mìlch bald aföd süde.
WS4	də guet alt maa ìsch mìt-'em ross dùrch's iis proche ùnd ìsch ìs chalt wasser abegfalle
WS5	ər ìsch vor vier oder sächs woche gschtorbe.
WS6	s'füür {zunächst 'für'} ìsch z schtarch {zunächst 'ztscharch' getippt, dann mit Rotstift korrigiert: 2. Buchstabe 't'  durchgestrichen und oben zwischen 'h' und 'a' eingefügt} gsii, d' chueche sìnd jo ùnde ganz schwarz aprännt.
WS7	ər ìsst d' eier ìmmer ohne salz ùnd pfäffer.
WS8	pfüess düemmer fèscht {zunächst 'fèst'} wee, i glaub i has ganz dùr̀e g'loffe
WS9	i bì beder frau gsii ùnd hann-er-es g'sèid, sì hed g'sèid, sì wìll 's au em mèitle säge
WS10	i wìll 's au nömme mee mache
WS11	ì hauder mìt em chochchelle grad ùm t' ohre, nùme, du aff.
WS12	wo gòsch hee, müe-mer au mìtter choo ?
WS13	sìnd schlächte {zunächst 'schächte' getippt, dann mit rotem Farbstift 'l' oben zwischen 'h' und 'ä' eingefügt} zitte {zunächst 'zittee', dann 2. 'e' mit '/' durchgestrichen}
WS14	mi lieb chìnd, bliib do ùne stoo, di böse gäns biisse dì z' tod.
WS15	du häsch hǜtt am meischte gleert ùnd bìsch brav gsii, darfscht ehnder {zunächst 'hehnder'} heigoo, ass di andere.
WS16	du bìsch nö'ìd gross gnueg, ùm-è schlègel wii usztrìnke, du muesch nochle wachse ùnd grösser wärde.
WS17	gang, besso guet ùnd säg diner schw[ǜ]schter {zunächst wohl 'schwö̀schter', dann 'ö' dick mit 'ü' übertippt}, si söll kleider fǜr öie muetter fertig näie ùnd mìt də bǜrschte uspoze.
WS18	hettschen kènnt ! drno wärs andersch choo. ùnd e[s] {zunächst wohl 'et'} tèt bèsser stoo mìtìm.
WS19	wèr hät {zunächst 'hätme', dann 'me' mit '//' übertippt} mìr min chorb mìtem fleisch g'stòle ?
