---
Bogennummer: '45035'
Ort: Dürrenäsch
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.541926'
...
WS1	ìm wìnter flüüge di tròchne blä̀tter ì de̊r Lùft úme.
WS2	e̊s hö̀rt graad uuf schnèie, dè wìrd s'wätter wìder bèsser.
WS3	"tuè chò ͧ we [""chòͧwe""?] ì òfe, das d'mi/uch [senkrechter Strich zwischen i und u] baud āfòt chòche."
WS4	"De̊ guet a ͧ wt [""aͧwt""?] maa ìsch mìt èm ròss dùrs iis bròche ùnd ìs cha ͧ wt [""chaͧwt""?] wasser gfa ͧ we [""gfaͧwe""?]"
WS5	e̊r ìsch vòr vi/er [senkrechter Strich zwischen i und e] òder sächs wūche gstōorbe.
WS6	s'füür ìsch z'schtarch gsi, d'chuech sìnd jò ùnde ganz schwārz prö̀nnt.
WS7	"e̊r ìsst d'Aier ìmmer òni sa ͧ z [""saͧz""?] ùnd Pfäffer."
WS8	d'füèss tüènd me̊r häftig weh, i gla(ä)ube ['ä' steht über dem 'a'] i häig si dùreglòffe.
WS9	"i bè [oder ""bì""?] de̊r fra(ä)u ['ä' steht über dem 'a'] gsii ùnd han e̊r ès gsäit, ùnd si hèt gsäit si wä́ ͧ ws [""wä́ͧws""?] irer tòchter säge."
WS10	"i we ͧ ws [""weͧws""?] a(ä)u ['ä' steht über dem 'a'] nümme tuè !"
WS11	i ha(ä)u ['ä' steht über dem 'a'] de̊r grad de chòchlö̀ffu ù̀ d'ōore ùme, du aff !
WS12	wò gòsch hì̀ ? müè me̊r mìt de̊r chōo ?
WS13	e̊s sìnd schlächti ziite.
WS14	mis liebs chìnd, bliib dò ùnde stòo, di bööse gäänse biissè di tōt.
WS15	du hèscht hüt am mäischte glēert ùnd bìscht artig gsii, du darffscht früè/ner [senkrechter Trennstrich] häi as di anderè.
