---
Bogennummer: '44559'
Ort: Alterswilen
Gid: 20181
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-11-15 15:02:07.758587
Änderungsdatum: 2025-11-15 15:02:07.758587
Satzversion: 1
...
WS1	Jm Wenter flüged die trochne Bletter i de Loft ome.
WS2	Es hört gli uf z schneie, denn {Verdoppelungsstrich auf 'n'} wörd 's Wätter wieder besser.
WS3	Tue Chole in Ofe, daß d Milech bald afangt choche.
WS4	De guat alt Ma ist mit dem Roß dor 's Js broche und {oder 'ond' ?}  is chalt Wasser gfalle.
WS5	Er ist vor vier oder sechs Woche gstorbe.
WS6	S' Füür ist z' starch gsi d Chueche send onne ganz schwarz brennt {zweimal Verdoppelungsstrich auf 'n'}.
WS7	Er eßt d' Eier allewil ohne Salz ond Pfeffer.
WS8	d. Füeß tond mer starch weh, i glaub, i ha sie dorgloffe. {Satz steht auf der Zeile mit der gedruckten Nummer 9.}
WS9	J bi bi de Frau gsi ond has eher gsat, [u]nd sie hatt gsat, sie wells o ehre Töcht[er] säge. {Satz steht auf der Zeile mit der gedruckten Nummer 8.}
WS10	J wills  nüme tue.
WS11	J schlag der grad mit dem Chochlöffel om d Ohre, du Aff.
WS12	Wo gohst ane, sölled mer mit der goh,
WS13	Es send schlechti Zite.
