---
Bogennummer: '24918'
Ort: Lütersheim
Gid: 94826
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Carsten Becker
Anmerkungen: '"ŭ̈" bezeichnet einen Kleinbuchstaben "u" (obligatorisch mit Kringel),
  über dem noch ein Trema steht, im Gegensatz zum regulären Kleinbuchstaben u-Umlaut.
  In Nr. 26 fehlt der Kringel bei "Appelbaüme" wohl.


  Angaben auf der Rückseite:

  1. "durch Schüler" durchgestrichen;

  2. "j", "k" durchgestrichen;

  3. "ist ein deutlicher Unterschied … oder" durchgestrichen;

  4. "ßt-", "ßp-" durchgestrichen;

  5. "einziger Laut" durchgestrichen;

  6. komplett durchgestrichen;

  7. Nein.'
Erstelldatum: 2023-03-18 21:39:42.296340
Änderungsdatum: 2023-03-18 21:39:42.296340
Satzversion: 1
...
WS1	Im Winter fleeget deh drüigen Bläddĕrĕ düer deh Luft.
WS2	Ett höert flucks uppe to schniggen, dann wirt dat Wedder widder better.
WS3	Dou Koullen in den'in Owwen, dat deh Milk ballĕ an'to ko[i]cken fänget.
WS4	Deh gaudde alle Mann is mit den'in Guhle düir't Ihs gebroiken un in dat kalle Wahter gefallen.
WS5	Heh is füer veer ŏdder sähß Wicken gestourwen.
WS6	Dat Füer wohr to heït, deh Kohken siet'je ung'ne ganz schwarrt g[?̈]brannt.
WS7	He ittet deh Egg[?̈]re jümmer aohne Salt un Pieper.
WS8	Deh Föühte doht mih so weh; ick glaiwe, ick hawwe'se düir gelaupen.
WS9	Ick s[i] {davor 's[ei]' durchgestrichen} bi'de Frugge g'west un haww't'er gese[ï]ggt, un seh seggte, seh wöllt auk errer Doichter sägen.
WS10	Ick will't auk nit widder dohn.
WS11	Ick schloïh dick gliek mid'den {davor Ansatz 'mit de' durchgestrichen} K[ŏ]ikelippe ümme'd[e'] Auhren, du Aape!
WS12	Baŏh g[?]ihst'e hinn' saoll wi mitt di gohn?
WS13	'T sitt schlächte Tidden.
WS14	Min lewe Kind bliwf hieh ungene {Apostroph nach 'unge' durchgestrichen?} stohn, deh baisen <bäisen> Gaïse bėttet <bïttet> dick dauht.
WS15	Dou häist dün[n] D[a]hg am maï̇sten g'lährt, unn bist wacker g'west, du drawwest fröher nouh heme gohn, ohse d'anneren.
WS16	Du bist naunitt gra[u]ut genoch ümme ehne Flaßke Win utte drinken, du moust ehr <ehrst> nau en Enge wassen un grö̆tter w[ä]ren.
WS17	Gouh si so gutt un <unn> s[ė]gg diner Schwäster seh söll d'Kl[?]idere füir jugge Motter rehde näggen un mit'der Büiste raine maaken.
WS18	Heddest du ehn g'kannt, dann wöhrt anderst g'kummen un't st[ü]nt auk better ümene.
WS19	Weh hett mi minen Kourf mitt'em Fleïske gestoullen?
WS20	Heh daht so osse hädden's ehn toum Deïsken bestallt, [s]eh haddet äwwer selwer g'douhn.
WS21	Weïm hett heh d'nigge Geschichte vertallt?
WS22	Mö mott harte [roh]pen, süß verstäit heh uhß nitt.
WS23	Wi si[e]t möhde unn hatt Doust.
WS24	Osse w[i?] gistern Oubend toh rügge kahmen douh lahgen d'An[d'r]en rede im Bedde unn wouhre[n] faßte ingeschloupen.
WS25	D[e'] Schnei iß dünn Nagt bi uhß liggen g'bliwft, äwwer d[ü]inn {'Morgen' fehlt} is'he geschmulten.
WS26	Hinger uhßen H[oui]se stoht dreh wack're Appelba[ü]me {'ü' hier wohl 'u' mit Trema, nicht u-Umlaut!) mitt ra[ŭ̈]hden Appelen.
WS27	Konje nitt ehnen Aŭ̈genblick upp uhß warten, dann gouh wih mit juch.
WS28	Ieïh drawwet nitt so King'riggen driwwen.
WS29	Uhße Beïrge sitt nitt ganz {davor Ansatz 'se' durchgestrichen} haŭ̈ch, jugge sitt vill höïchcher.
WS30	Buhvill Punt Wußt unn buhvill Braŭ̈it will jih hawwen?
WS31	Ick verstoh juch nitt, jih moddet'n bißken harrter schwatzen.
WS32	Hag jih k[i]hn Stückeken witte Saïpe führ mick upp minem Diske g'fungen?
WS33	Sien Brouder will'sick twe wackere {davor Ansatz 'sch' durchgestrichen} nigge Höisere in sihnen Houwf b[au]ggen.
WS34	Dat Wourt kahm emme von Heirten <Hehirten>.
WS35	Dat wohr rächt von ehnnen.
WS36	Watt sittet douh füer enn Vüigelken ouwwene [u]pp dehn Mühr[e']ken.
WS37	Deh Buhren hadden fief ossen unn niggen Koïgge unn tweïlf Schoupe füer dat Dourt g'brahcht deh woll'n s'verkaïpen.
WS38	Deh Lüidde siet ollen dünn Dahg upp t'[m] Felde unn mägget.
WS39	Gouh nuhrs, deh b[??]une {'r' über dem zweiten Buchstaben durchgestichen?) Hunt deuit di niks.
WS40	Ick sie mitt dehn Leuidden doh hingene öüwwer deh Wisse in't Kouhrne gefohrt.
