---
Bogennummer: '45614'
Ort: SGkappel
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	Im Winter flüged di trochnä Blettär i dä Luft umä.
WS2	S hört glih uf schnejä, dänn wirds Wättär wider bessär.
WS3	Tuä Cholä in Ofä, dass d Milch bald afangt chochä.
WS4	"Dä guät alt Ma isch mit äm Ross durs Iis  broche [oder \""brochä\""?], und is chalt Wasser gheit."
WS5	Är isch vor viär oder sächs Wuchä gschtorbä.
WS6	S Für isch z schtarch gsih, d Kuächä sind jo ganz värbrännt.
WS7	Är isst d Ajer immer uhni Salz und Pfäffär.
WS8	"D Füäss  tüän-mär [zunächst \""tüänd\"", dann 'd' durchgestrichen]  fescht weh, i glaubä, i has durglaufe."
WS9	Ich bi bi dä Frau gsih und hän-ärä 's gsait. und si hät gsait, si wells au ihrä Tochter sägä.
WS10	I wills au nümä tuä.
WS11	I schloh der jetz dänn mit dä Chelä um d' Ohrä, du Aff.
WS12	"Wo goscht hi, selled  mär [oder: \""mer\""?]  mit dir [zunächst \""där\"", dann 'ä' mit 'i' überschrieben]  cho ?"
WS13	S send schlächti Zitä.
WS14	Mi liäbs Chind, blib dunä schtoh, di bösä Gäns bissäd di tot.
WS15	"Du häscht hüt am maischtä glärnt und bischt brav gsih, du darfscht  früenär [zunächst \""früjär\"", dann 'j' durchgestrichen und 'en' darüber gesetzt]  hai als di andärä."
WS16	Du bischt no nöd gross gnuäg, um-ä Fläschä Wi usztrinkä, du muäscht zerscht nochli wachse und grössär wärdä.
