---
Bogennummer: '45612'
Ort: Lachen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: b6393665-92ed-455a-b293-30ff725345d3
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.805873'
...
WS13	Es sind schächti Zytä! 
WS14	Mis liebs Chind, blieb dou unde stou, suscht bisseti die böisä Gänstout. 
WS15	Du häsch hüt am meischtä glert und bisch brav gsi, du dörfscht hüt früener hei als diä anderä. 
WS16	Du bisch nu z'chli zum ä Fläsche Wi usztrinke, du muesch zersch nu chli wachse und grösser werdä. 
WS17	Bis so guet und säg dinerä Schwöschter sie söll z'Gwand für ühri Mueter fertig büeze und mit Bürschtä butzä. 
WS18	Hettisch ne du kännt! dä wärs andersch chou und er wär besser dra. 
WS19	Wer hät mer dä Chorb mit Fleisch gstolä? 
WS20	Er hät e sou tue, wie wen merä zum Dräschä bstellt het, sie händs aber sälbär tue. 
WS21	Wem häter die nü Gschicht erzellt?
WS22	Mä muess lut lärmä, susch verschtouter üs nüd. 
WS23	Mir sind mued und händ Durscht. 
WS24	Womär geschtär zoubig bei chou sind, sind die andärä scho im Bett gsi u händ fescht gschlouffä. 
WS25	Dä Schnei isch die Nacht binis liggä blibä, aber hüt am Morgä hadsnä gnou. 
WS26	Hinter üserum Huus stönd drü schoini Öpfelbäum mit schöinä routä Öpfel. 
WS27	Chönder nüd nu en Augeblick ufis wartä, dä chömmär mitich. 
WS28	Ihr dörfet nüd ä settigi Chinderiä bliebä. 
WS29	Üseri Bärg sind nüd höich, üeri sind vill höicher. 
WS30	Wievil Pfund Würscht und Broud wänder ha. 
WS31	Ich verschtou nüd, ihr müend ächli luter redä. 
WS32	Händer keis Stückli wissi Seuffä für mich uf mim Tisch gfundä. 
WS33	Si Brüeder will si zwei schöini nüi Hüser is im Gartä buä. 
WS34	Z'Wort ischem vo Härzä chou. 
WS35	Das hätter rächt gmacht. 
WS36	Was sitzet dou für Vögäli ufem Mürbli?
WS37	D'Burä händ füf Ochsä und nün Chüä u zwölf Schouf vors Dorf broucht und händs welä värchauffä.
WS38	Hüt sind alli Lüt dussä ufem Fäld u majed. 
WS39	Gang nu, dä bru Hund machter nüt. 
WS40	Ich bi mittä Lütä dou hindä über d'Wiesä is Chorn gfarä. 
