---
Bogennummer: '44976'
Ort: Stetten
Gid: 17225
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-07-03 18:41:32.815482
Änderungsdatum: 2024-07-05 13:12:16.070682
Satzversion: 1
...
WS1	Ìm Wi̇̀nter flügid di {zunächst 'die'} trochchne {zunächst 'trochne'} Bletter i̇̀ de̊r Lùft ùme.
WS2	E̊s hö̀rt grad ùf schnèije {zunächst 'schnéije'}, de̊ wi̇̀rd s' Wätter wi̇̀der besser.
WS3	Tue Chòle i̇̀ Òfe ie, dass d' Mi̇̀le̊ch bald afòd chòchche
WS4	De̊ guet alt Maạ i̇̀sch mi̇̀tsamt ' e̊m Ross dùrs Iis iebrochche ùnd i̇̀s chalt Wasser ie g'falle.
WS5	E̊r i̇̀sch vor vier òder sächs Wōchche g'schtōrbe {zunächst 'stōrbe'}.
WS6	s' Füür {zunächst 'Für'} i̇̀sch z' schtarch {zunächst 'starch'} g'si, d' Chueche si̇̀nd io {zunächst jo'} ùnde ganz schwarz brännt.
WS7	E̊r i̇̀sst d' Èier i̇̀mmer òni {zunächst 'òhni'} Salz ùnd Pfäffer.
WS8	d' Füess tüend {zunächst 'tüed'} me̊r grūsig wēē {zunächst 'wēh'}, i glaͣ̈ube, i hèïs {zunächst 'héïs'} dureg'lòffe.
WS9	Ich bè bi̇̀de̊r Fraͣ̈u gsii ùnd han e̊r e̊s gsèid, dò {zunächst 'dòo'} hèt si gsèid {zweimal zunächst 'gséid'}, si̇̀ {zunächst 'sìė'} wells aͣ̈u ēre̊r Tochter säge.
WS10	I wells g'wȫss si̇̀cher nȫmme tue !
WS11	I haͣ̈u de̊r grad de̊ Chòchglöff[u]l {wurde hier 'e' mit 'u' überschrieben?} um d' Oore {zunächst 'Ohre'} ùme, du Aff !
WS12	Wo gòscht hēē, sè le̊ me̊r mi̇̀t de̊r chō[o] {zunächst 'chōh' ?} ?
WS13	Das si̇̀nd schlächi Ziite !
WS14	Liebs Chi̇̀nd, bliib dò ùnde stòò {zunächst 'stòh'}. die böse Gänse biissed {zunächst 'biised'} di z' tod.
WS15	Du hèsch hǜt am mēschte glēērt {zunächst 'glēhrt'} ùnd bi̇̀sch brav gsi, du darfscht ēēner {zunächst 'ēner'} hèi als di andere.
WS16	Du bi̇̀sch nòni gross gnueg zùm e̊ Fläschsche {zunächst 'Fläsche'} Wii usz'tri̇̀nke, du muescht zērscht nòchli wachse ùnd grösser wèrde.
WS17	Gang, bi̇̀s so guet ùnd säg diner Schwöschter {zunächst 'Schwöster'}, si sèll d' Chlèider fǜr ȫiji {zunächst 'eui'} Mueter {zunächst 'Muetter'} fertig nèiji {zunächst wohl 'näiji'} ùnd mi̇̀r de̊r Bǜrschte bùtze.
WS18	Wenn'te̊ du kännt hèttisch ! de̊nn wär's anderscht ūse chōō, de̊ tèt's besser ùm e̊n stòò {zunächst 'stòh'}.
WS19	Wer hed me̊r mi Chōrb mi̇̀t e̊m Flèisch g' stòle ?
WS20	E̊r hed e̊so tòò {zunächst 'tòh'}, wie wènn's e̊ zùm Tröschsche {zunächst 'Trösche'} b'stellt gha hettid {zunächst 'b'stellt hettid', dann oben im Zwischenraum 'gha' eingefügt}, si händs aber sälber gmacht.
WS21	Wem he̊d e̊r die nöi {zunächst 'neu', dann gurchgestrichen und 'nöi' darüber notiert} Gschi̇̀cht verzellt.
WS22	Me̊r mues lūūt brüele, sōscht verstòd e̊r i̇̀s nēd.
WS23	Me̊r si̇̀nd müed ùnd händ Dōōrscht.
WS24	Wo me̊r gèschter Zòbig zrùgg chōō si̇̀nd. si̇̀nd die andere schō i̇̀m Bett gsii ùnd händ fèscht g'schloffe.
WS25	De̊ Schnee i̇̀sch die Nacht <(hinecht z' Nacht)> bi öis {zunächst 'eus'} li̇̀gge bli̇̀be, aber am Morg {sic!} i̇̀sch e̊r vergange.
WS26	Hi̇̀nder ȫisem {zunächst 'eusem'} Huus {zunächst 'Hus'} schtönd {zunächst 'stönd'} drǖ schöni Öpfulböimli {zunächst 'Öpfulbäumli'} mi̇̀t rote Öpfle̊ne̊.
WS27	Chönder ni̇̀d nò e̊s Augebli̇̀ckli ùf ȫis {zunächst 'eus'} warte, de̊ chöme̊d me̊r aͣ̈u mi̇̀ti.
WS28	Ēr {zunächst 'Ehr'} dörfid kèni dère̊ Chi̇̀nderèi̇̄je triibe !
WS29	Öisi {zunächst 'Euisi'} Berg si̇̀nd ned so hööch {zunächst 'höch'}, ȫiji {zunächst 'euji'} si̇̀nd vi̇̀̄l {zunächst 'viel'} hööcher.
WS30	Wie mängs Pfùnd Wǜrscht ùnd wievìl Brod wänder ha ?
WS31	I verstòne {zunächst 'verstòhne'} n' e̊uj nēd, er {zunächst 'ehr'} müend e̊s bi̇̀tze̊li lüüter {zunächst 'lüter'} rède.
WS32	Händer kèi wiissi Söipfe {zunächst 'Seupfe'} fǜr mēē òf e̊m Ti̇̀sch g'fùnde.
WS33	Si brüeder wi̇̀ll zwöi schöni nöi Hüüser i̇̀ ȫiem {zunächst 'neui i̇̀ euem'} Garte boue.
WS34	Das Woort i̇̀sch e̊m vom Herze chōō !
WS35	Da i̇̀sch rächt gsi vo'ne̊ne̊ !
WS36	Was fǜr Vö̀geli si̇̀tzi̇̇d dò ùfem Müürli {zunächst 'Mürli'} òbe ?
WS37	d' Bure händ föif {rumkorrigiert} Ochse ùnd nüün {zunächst 'nün'} Chüe ùnd zwölf Schö̀ö̀fli {zunächst 'Schö̀fli'} vòr's Dōrf bròcht, die händ's welle verchaͣ̈uffe.
WS38	D' Lüüt {zunächst 'Lüt'} si̇̀nd hǜt ali {zunächst 'alli'} ùfe̊m Fäld ùsse ùnd mèid {zunächst 'me̊id'}.
WS39	Gang nōr, de̊ bruun Hōnd macht de̊r nüd.
WS40	Ich bi̇̀ mi̇̀t de̊ Lüüte {zunächst 'Lüte'} dò hi̇̀nde ǜber d' Matt i̇̀s chòrn g'faare {zunächst 'fahre'}.
