---
Bogennummer: '46002'
Ort: 'Rinderwald '
Gid: 546271
Transliterationsprojekt: Citizen Science Projekt
Original Anmerkungen: 'Der Lehrer notiert am Kopf des Bogens (über den 40 Sätzen):  <Die
  unterstrichenen  i  beim Sprechen abtönen nach  e .  u  nach  o .>'
Erstelldatum: 2022-04-10 18:01:28.846887
Änderungsdatum: 2022-04-15 18:40:56.400159
...
WS1	Im Winter flü̱ge die trochene Bletter i̱n dr Lu̱ft u̱mha.
WS2	Äs hört angehns uf z schnije, de wǔrdi̱ ds Wätter ŭ̱mhi̱ besser.
WS3	Tue Chole n i̱n Ofe dass d Milch angehns afeht choche.
WS4	Dä guet alt Ma ischt mit dem Ross i̱m Ysch ighit uni̱ ds chalt Wasser pletscht
WS5	Är i̱scht vur vier ol säx Wuche gschtorbe
WS6	Ds Füür i̱scht z starchs gsi, d Chueche si ja unenahi̱ ganz schwarz u verbrennt.
WS7	Är i̱sst d' Eier gi̱ng oni̱ {zunächst 'ohni̱', dann 'h' durchgestrichen} Salz u Pfäffer.
WS8	D' Füess tüe mer schüchter weä; i̱g glu̱be, i̱ hi̱gi̱ si̱ dürglüffä. <(gletzig.)>
WS9	I bbi̱ bi̱n där Frau gsi u ha ras gsi̱i̱t u sia het gsi̱i̱t, sia welis der Tächter og sägä.
WS10	I wolts o net meh mache.
WS11	I gi̱ben der den angehns mi̱t dr Chochchelän uf en Grind.
WS12	Wa woscht hi̱, söle wer mi̱t dr gah ?
WS13	Es si schlächti̱ Zite
WS14	Mis lu̱b Chind, blib hie aha stah, da bös Gawel <(Hund)> {Erklärung in eckigen Klammern:} <(Gänse hats keine)>  biisst di̱g z Tod.
WS15	Du hescht hüt am vielschte gleärt u bbi̱scht es tolls gsi, du tarfscht früejer hi̱i̱m wäder di̱e  {zunächst wohl 'di̮e' (mit einem Böglein unter 'i'), dann das Böglein durchgestrichen und stattdessen 'i̱' (unterstrichen)}  andere.
WS16	Du bi̱scht nŭ̱ net grossa <(grosses)> {zunächst etwas wie 'gneg' oder 'gueg', aber durchgestrichen} gnueg, fǔr ne Fläscha Wii ŭsztri̱chä; du muescht zerscht nŭch es Bi̱tzi̱ waxe.
WS17	Bi̱s so guet u ggang säg dir Schweschter, sie söllti̱ ds Gwand fŭr öwi̱ Mueter ferti̱g neijen ŭ mi̱t dr Bürschte putze.
WS18	We ddu ne bchennt hettischt, so weä's anderscht cho, un es schtüendi besser mit mu.
WS19	Wär het mier mi Chorbeta Fli̱i̱sch gschtole ?
WS20	Är het drglihe {zunächst 'drgliche', dann 'c' durchgestrichen} tah, si hi̱i̱gene zu̱m Trösche bschtellt; aber si hi̱i̱ sälber tah.
WS21	Wäm het er di̱ nüwi Gschi̱cht erzellt ?
WS22	Mu mues lut brüelä, sü̱scht verschti̱i̱t er nus net.
WS23	Wi̱r si müed u hi̱n Durscht.
WS24	Wa wer nächtisi zrugg cho, sin di̱ andere scho n i̱m Bett gsi u hi̱ fescht {rumkorrigiert: wohl zunächst 'fest', dann 'fescht'} gschlafe.
WS25	Di̱e Nacht hets bi̱ n üs gwiissget; aber am Morge n i̱scht {'n' ist nachträglich oben zwischen 'Morge' und 'i̱scht' eingefügt} dr Schneä gschmolze.
WS26	Hi̱nder ü̱sem Huus stahn drü [zunächst 'drij', dann durchgestrichen und darunter 'drü' notiert} schöni̱ Öpfelbü̱ü̱meni̱ mit roten Öpfene.
WS27	Chönnt er net nŭ̱ch es Schützi ŭ̱f nŭ̱s warte, de ga wer mit n u̱ch.
WS28	I̱r dörft net e so schuelbuebele.
WS29	Ü̱ser Bärga si net sövel höij; öwer si vi̱el höijer.
WS30	Wi̱ mengs Pfŭnd Wurscht u wi̱viel Brot w[a]lltet {ev. auch 'wolltet'?; zunächst noch ein 'e' am Wortende, dann durchgestrichen}  er ?
WS31	I verschtah nuch net i̱hr müesst es Bitzi lüterer rede.
WS32	Hi̱i̱t er ki̱s Stückli {unten eingefügt:} wiissi  Si̱i̱fa fŭr mich uf mim Tisch funde ?
WS33	Si Brueder wollt fŭr sig zwü̱ schöni nüwi Hüser in öwem Garte m bŭwe.
WS34	Das Wort ischt mŭ va Härze choä {zunächst 'chöä', dann Umlaut bei 'o' durchgestrichen}
WS35	Das ischt rächt gsi vane.
WS36	Was si̱tzen da fŭr Vögeni̱ obna uf däm Müürli̱ ?
WS37	Di̱ Bbure hi̱i̱ föf Urnera {zunächst 'Oxe', dann durchgestrichen und 'Urnera' notiert} ŭ nün Chüe u zwölf Scheäfeni̱ vŭr ds Dorf bbracht u si̱ wele verchŭ̱ffä.
WS38	D Lüt si hüt ali̱ vürha uf de Matte u meije.
WS39	Gang nu̱me; dr brunn Hund tuet dr nüt.
WS40	"I bbi̱ mit de Lüt da hindernahi u̱ber d Matta i̱ Wald ggange. <(""Korn"" ŭnd ""fahren"" hier nicht möglich.)>"
