---
Bogennummer: '45890'
Ort: Ebligen
Gid: 15818
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-04-23 16:31:00.114736
Änderungsdatum: 2022-05-03 19:25:51.602478
...
WS1	Im Winter fliigen die trochenen Bletter in dr Luft umha.
WS2	Es herd gad uf z' schniien, de wird ds' Wätter umhi besser.
WS3	Tuu Cholen in Ofen, das die Milch bald afag chochen.
WS4	Dr gued alt Man ischt mit‿dem Ros dir ds' Isch brochen und i ds' chalt Wasser ghiid.
WS5	Er ischt vor vier oder sächs Jahren gschtorben.
WS6	Ds' Fiir ischt ds' starchs gsiin, die Chuechen si ja ůnna {Kringel auf 'u'} ganz schwarz.
WS7	Är isst d' Eier geng ohni Salz und Pfäffer.
WS8	D' Fiess tin mer eso weh, i glouben, i heigi sa dirgliffen.
WS9	I bin bin dr Frou gsin, und han-r-as gseid, und si hed gseid, si wellis o irer Tochter sägen.
WS10	I wills o nimma meh tuen.
WS11	I schlan di sogliich mit dem Chochleffel ům {Kringel auf  'u' } d' Ohren, du Aff !
WS12	Wa  {im Vergleich zu Satz 24 'am Aben' scheint mir 'Wu' nicht wahrscheinlich}  geischt hin, sellen mier mit-dr chon ?
WS13	Es-sin schlächti Ziiten !
WS14	Du miis liebs Chind, bliib hie ůnna {Kringel auf 'u'} stahn, di besen Gäns bissen di z' tod.
WS15	Du hescht hiit am meischte glehrd und bischt es artigs gsiin, du darfscht frieier hein als die andren.
WS16	Du bischt no nid gross gnueg, fir ne Fläschen Wiin usztriichen, du muescht no e chlin wachsen und greser wärden.
WS17	Gang, bis so gued und säg dir Schweschter, si selli die Chleider fir eui Muetter fertig näien und mit dr' Birschten siiberren.
WS18	We du nen kennd hättischt, de wä's anders chon, und es stiendi besser um nen.
WS19	Wär hed mier mi Chorb mit-dem Fleisch gschtolen ?
WS20	Er hed eso tan, wie wes-nen hätten zum Dreschen bschtelld, sie heis aber  {'a' sieht fast aus wie 'u'; vgl. mit Satz 24 'am Aben'} sälber tan.
WS21	Wäm hed är die niw Gschicht erzelld ?
WS22	Mier miessen lut brielen, suscht verschteid er is niid.
WS23	Mier siin miedi und hein Durscht.
WS24	Wa mer geschter am Aben siin zrugg chon, sin si anderen schon im Bett glägen und fescht am Schlaafen gsiin.
WS25	Dr Schnee ischt die Nacht bin is bliben ligen aber hiit am Morgen ischt er gschmolzen.
WS26	Hinder iiserem Hůůs {Kringel über 'u'} schtän drii scheenni Epfelbeimleni mit roten Epfellenen.
WS27	Chenned-er {das 2.'e' ist zwischen dem 2.'n' und 'd' eingezwängt} nid no es Ougenblickelli uf iis warten, den gän mier mid-ech.
WS28	Ier derft nid e settiger Chinderiien triiben.
WS29	Iiser Bärge siin nid sehr hoch, euer siin vil heher.
WS30	Wieviel Pfund Wurscht, und wieviel Brod wollted-er ?
WS31	I verschtaan ech niid, ier miesst e chliin lůůter {Kringel auf 'u'} reden.
WS32	Heid ier e keis Schticki wiissi Seiffen fir mi, uf miim Tisch gfunden.
WS33	Sin Brueder wollt fir inn zwei scheenni {Verdoppelungsstrich auf 'n'} niwwi Hiiser in ewem Garten bůwen {Kringel auf 'u' und 'w' ist nachträglich oben zwischen 'u' und 'e' eingefügt}.
WS34	Das Wort ischt im von Härzen chon.
WS35	Das ischt rächt gsiin von-nen.
WS36	Was sitzen da fir Vegelleni obna uf em Miirli ?
WS37	D' Bůůren {Kringel auf 'u'} hein fiif Ochsen und niin Chie und zwelf Schäffleni vor ds Dorf bracht, und hei sa wellen verchoufen.
WS38	D' Liit siin hiit alli důůssen {Kringel auf 'u'} uf em Fäld und mäien.
WS39	Gang nůmmen {Kringel auf 'u'} dr brůůn {Kringel auf 'u'} Hand tued dr niid.
WS40	"I bin mid de Liiten da hinderhi {über dem ""rechten Bein"" des 1.'h' ist ein kleines Pünktlein durchgestrichen} uber ds' Fäld i ds' Chorn gfaaren."
