---
Bogennummer: '45964'
Ort: Wengi bei Frutigen
Gid: 15624
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-03-09 19:41:27.392539
Änderungsdatum: 2022-03-09 19:41:27.392539
...
WS1	Im Wintr flüge di trochenä Bletter i dr Luft uma.
WS2	Äs hört gli uf sc[hi]ie {unklar, ob verschrieben: 'schniie' oder 'schiie'}, de würd z' Wätter umi besser.
WS3	Tue Chole i n Ofe, dass d' Milch gli z' choche afet.
WS4	Dr guet alt Ma isch mit dm Ross dür z' Isch ibrochä, u i z'chalt Wasser kit.
WS5	Er isch vor vier oder sägs Wuche gstorbä.
WS6	Dz Für isch starch, d' Chueche si ja una ganz schwarz brennt gsi.
WS7	Är isst d' Eier ging ȯhni Salz u Pfäffer
WS8	D' Füess tüe mer hert weh, ig glaube ig higi si dürgloffe
WS9	I bi bi dr Frou gsi, u ha ra gseit, u sia h[a]t {Buchstabe unlesbar, eher wie ein Tintenfleck} gsiet, sia wellis ihrer Tächter säge.
WS10	I wotts net meh machä.
WS11	I schla de {'de' oder 'di'? es fehlt der i-Punkt} gli mit däm Chochlöffel uf d' Ohre, du Aff.
WS12	Wo giescht du hi, sölä mir miter ga
WS13	Äs si {zunächst 'sie', dann 'e' durchgestrichen} schlächti Zitä.
WS14	Mis liebs Chind blieb da una sta, di bösä Gäns bissä dig z' t[æ]t {undeutlich, ev. zunächst 'tot', dann 'e' zwischen 'o' und 't' eingepresst; sieht jetzt aus wie 'æ'; müsste wohl eher 'œ' sein ?}.
WS15	Du hescht hüt am mischte glert u bischt artig gsi, du darfscht ender him als di andere.
WS16	Du bischt no nit gross gnue um e Fläscha Wi us z' triche, tue muescht z' erst no chli wagsä u grösser wärdä.
WS17	Gang biss si guet u sag dr Schwester<r> {2. 'r' oder eher 'n' angefangen und dann durchgestrichen ?} sie sölli Chlieder für eüri Muetter fertig neiä u mit dr Bürschte suber mache
WS18	Hetischt du ne bchent ! de wäris andersch cho u äs teti besser um ine {zunächst 'ihne', dann 'h' durchgestrichen} stah
WS19	Wär het mir mi {angefangenes 'K' durchgestrichen} Chorb Fleisch gstolä.
WS20	Är tuet ä so, als hät i si ine zum Drösche bstellt, si {zunächst 'sie', dann 'e' durchgestrichen} hiess aber sälbär gmacht.
WS21	Wäm het är di nüwi Gschicht erzellt ?
WS22	Mi muss lut brüelä süscht verstieht är üs net.
WS23	Wir sie müed u hi Durscht.
WS24	Wo mir gester am Abä zrug si cho da ligä die andere sch {sic!} im Bett, u hi gschlafä
WS25	Dr Schnee isch disi Nacht bi üs ligä blibä, aber hüt am Morgä ischt dr g 'schmolzä
WS26	{'lzä' ist durchgestrichen} Hinter usem Hus stah dri schöni Opfelbum mit rotä Opflä
