---
Bogennummer: '45745'
Ort: Lüthiwil
Gid: 18164
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Manchmal bin ich etwas unsicher, ob der Lehrer in jedem Fall einen
  Umlaut (mit Trema) meint oder vielleicht ein Häkchen über den Vokal setzt: s. Satz
  33: ''zwü'', ''Hüser''.

  ****

  Der Lehrer schreibt auf der Rückseite unter den übersetzten Einzelbegriffen:

  ḷ = u  leicht angetöntes w ;  î = langes, offenes i, ungefähr gleich dem geschlossenen
  e }'
Erstelldatum: 2022-06-08 13:22:57.555131
Änderungsdatum: 2022-07-15 13:36:06.499622
...
WS1	Im Winter flügi di trochene Bletter i der Luft ume.
WS2	Es hört grad uf schneie, de wird d's Wätter ume besser.
WS3	Leg Chole-n-a, dass d' Miḷch gly chunnt.
WS4	Dä guet aḷt Ma isch mit em Ross uf em Isch ibroche <(b = p) (oder igheit)> u i d's chaḷte Wasser gheit.
WS5	Är isch vor vierne oder sächsne Wǔche gstorbe.
WS6	Es isch z' viel Für, d' Chueche sy ja ungerdranne ganz schwarz.
WS7	[Ä]r {zunächst wohl 'E'. dann mit 'Ä' überschrieben} isst d' Eier gäng ohni Saḷz u Pfäffer.
WS8	D' Füess tüe mer hert weh, i gloube, i sig dürglüffe.
WS9	I bi bi der Frou gsy u ha-r-es gsît {zunächst 'gît', dann zwischen 'g' und 'î' oben 's' eingefügt}, u si het gsît, si weḷḷ's o ihrer Tächter säge.
WS10	I wüḷḷs o nie meh mache !
WS11	I houe der grad mit em Cheḷḷeli  zum Gring, du Aff !
WS12	Wo woscht hi, söḷḷe mer mit der cho ?
WS13	Es sy schlächt Zyte !
WS14	Mys liebe Ching, blib hie nide stah, di böse Gäns tüe di z' tod bysse.
WS15	Du hescht hüt am mîschte glert ǔ bischt artig gsy, du tarfscht früecher hî weder di angere.
WS16	Du bisch no nid gross gnue für ne Fläsche Wy usztreiche, du muescht z'erscht no chly wachse u gröser wärde.
WS17	Bis so guet u gang säg dir Schweschter, si sött d' Chlîder für eui Mueter fertig näje u se bürschte.
WS18	We du ne g'chennt hättisch ! de wär's angersch cho u-n-es stieng besser mit ihm.
WS19	Wär het mer mys Chörbli mit em Fleisch gstohle ?
WS20	Är het derglyche ta, wie we se ne für d's Trösche-n-agsteḷḷt {zunächst 'Trösche agstellt', dann die beiden Wort verbunden durch '-n-', das oben einfügt wurde} hätti; aber si hi's säḷber g'macht.
WS21	Wäm het er di neui Gschicht erzeḷḷt ?
WS22	Mi mues lut brüele, süscht verstît {zunächst 'vertît', dann zwischen 'r' und 't' oben 's' eingefügt} er is nid.
WS23	Mir sy müed u hi Turscht.
WS24	Wo mer nächti sy hî cho, sy di angere scho im Bett gsy u hi fescht g'schlafe.
WS25	Der Schnee het di Nacht bi üs aghäicht, aber dä Morge ischt er vergange.
WS26	Hinger üsem Hus stah <(sch)> {über 's' von 'stah' steht '(sch)'} drü schöni Öpfubümli mit rote-n-Öpfeli.
WS27	Chüt der nid no n'es Ugeblickli <(b = p)> uf is warte, de chöme mer mit ech.
WS28	Dir törfit nid settigs chindligs Züg mache.
WS29	User {sic! 'U' und nicht 'Ü' wie erwartet} Bärge sy nid grad höch, euer sy vieḷ höcher.
WS30	Wi mängs Pfung Wurscht u wi vieḷ Brot wît-er ?
WS31	I verstah-n-ech nid, dir müessit e chly luter rede !
WS32	Hît-er kes Bitzli wyssi Sîfe für mî uf mim Tisch fǔnge ?
WS33	Sy Brueder wott <(sich)> für i<(h)>n zwü {oder vielleicht 'zwǔ' schöni neui Hüser boue i euem Garte.
WS34	Das Wort isch i<(h)>m vo Härze cho.
WS35	Das isch rächt gsy von-n-e.
WS36	Was hocki da für Vögeli uf em Mürli obe ?
WS37	D' Bure hi föif Ochse u nün Chüeh u zwü Schäfli vor d's Dorf use brunge <(b = p)> gha, die hi si wöḷḷe verchufe.
WS38	D' Lüt sy hüt aḷḷ uf em Fäḷd usse ǔ mäji.
WS39	Gang nume, der brun Hung tuet der nüt.
WS40	I bi mit de Lüte da hinger ǔber e Wase i d's Chorn gfahre. <(Wase = Wiesland, im Gegensatz zǔm Gäferete = aufgebrochenes Landstück)>
