---
Bogennummer: '47200'
Ort: Bokel
Gid: 112017
Transliterent: Jeffrey Pheiff
Transliterationsprojekt:
Anmerkungen:
Original Anmerkungen:
Erstelldatum:
Änderungsdatum:
Satzversion:
...
WS1	in winter fleget de drôgen bläre dör de luft herüm
WS2	et hört futt upp taů sneen dann wat dat wär bäter
WS3	dau kähle in awend dat de melk an tau kaken fankt
WS4	de gaude alle mann is mit pärd dört is braken un in dät kalde water fallen
WS5	
WS6	dät für was to het de kauken sünd unner ganz swat brant
WS7	he ätt immer eier sünner sald un päper
WS8	de fäute daut mi düstig sehr ick glâwe ick häbbe se dar lopp
WS9	ick bün bi de frau wän <(wesen)> un häbbe ört segt un se sä se wullt dät uck an are <(äre)> dochter seggen
WS10	
WS11	ick sla di glik mit'n kaklepel <(slef)> üm de ohren du ape
WS12	
WS13	
WS14	min lewe kind bliev hier unner stan anners bietet di de göse doot
WS15	du häst van dage am mesten lehrt un büß arig <(öntlik)> wäsen du dürst eher nach hus gan as de annern
WS16	
WS17	gah un weß so gaut un segge dien süster se sull <(schull)> de kleder far are <(äre)> mauder klar neihen un mit'n bössel schonn maken
WS18	
WS19	
WS20	
WS21	well hätt he de nee geschichte vertellt
WS22	
WS23	
WS24	as wi güstern owend wer taurügge quammen do lagen <(legen)> de annern all int bädde un wassen fast ant slapen
WS25	de snee is van nacht bi us liggen bläwen aber van mörgen is he smolten
WS26	
WS27	
WS28	
WS29	
WS30	
WS31	
WS32	
WS33	
WS34	dätt wort quam üm van harten
WS35	
WS36	wat sittet dar var vagelkes bawen up de mürkes
WS37	de buren herrn fief ossen un negen kaihe un tweilf <(twolf)> schapkes var dätt dörp bracht de wullen se verkopen
WS38	de lüe sünt <(bünt)> van dage alle buten up dätt feld tau meien
WS39	gah man de brune hund deit di nicks
WS40	ick bün mit de lüe dar achter awer de wiske int körn fört
