---
Bogennummer: '45805'
Ort: Oberhünigen
Gid: 17127
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer schreibt oft sehr gedrängt auf der Zeile, so sind seine
  Anmerkungen/Alternativen uî Klammern oft scheinbar unmittelbar an das davorstahende
  Wort geklebt. Beispiele: Satz 4, 6,15}'
Original Anmerkungen: 'Unter Satz 40 schreibt der Lehrer:

  (Ausspr. von "é" = ca. d. französ. "é" !). -

  (in "hég" = heig, usw.)'
Erstelldatum: 2022-07-31 15:47:50.409380
Änderungsdatum: 2022-08-08 08:57:15.037438
...
WS1	Im Winter flüge di trochene Bletter i der Luft ume. -
WS2	Es hört gli uf schneie, de wird ds Wätter wider besser, -
WS3	"Tue Chole-n-i Ofe, das d'Miuch  {""d'"" ist nachträglich eingefügt: es steht klein oben im Zwischenraum zwischen 'das' und 'Miuch'} bau afat choche. -"
WS4	Dä guet aut Ma isch mit dem Ross dür ds Isch broche-<(n)>-u-<(n)>-i ds chaut Wasser gheit<(od.: ghét)>.
WS5	Är isch vor vier oder sächs Wuche gschtorbe. -
WS6	Ds Für isch z'schtarch gsi, <(d')> Chueche si ja úngefer <(ungeruf)> {'(ungeruf)' steht unter 'úngefer'} ganz<(schwarz)>verbrönnt {Verdoppelungsstrich auf 'n'}. -
WS7	Är isst d'Eier gäng <(od. geng)> ohni Sauz u Pfäffer. -
WS8	"D'Füess <(od.: Pfüess)> tüe mer hert weh, i gloube, i heig <(od.: hég)> <(frz. ""é"")> {'(frz. ""é"")' steht über '(od.: hég)'} se düregloffe <(od. glüffe)> {'(od. glüffe)' steht über '..regloffe)'} . -"
WS9	I bi bi der Frou gsi u ha 'r es gseit, u si het gseit, si wöu's ou ihrer Tochter <(od.: Tächter)> säge. -
WS10	I wott's ou nǘmme mache. -
WS11	I schla der de öppe mit dem Chochlöffu um d'ohre, du Aff ! -
WS12	Wo geisch <(od.: gésch)> du hi, söui mer mit der cho ? -
WS13	Es si schlächti <(od. bösi)> {'(od. bösi)' steht unter 'schlächti'} Zyte ! -
WS14	Mis liebe Ching, blib da unger schtaͦ {'(o)' steht über 'a'}, di böse Gäns bisse di z' tod. -
WS15	Du hesch hüt am me<(h)>schte {'(h)' steht über 'e'}<(od.: meischte)> glert u bisch artig gsi, du darfsch ehnder héga<(od.: heigo)> aus di angere.
WS16	Du bisch no nid gross gnue, für'ne Fläsche Wi us z'treiche, du {hier drückt der Nummernstempel von der Rückseite durch} muesch zersch no chli wachse u grösser wärde.-  
WS17	Gang, bis so guet u säg dir Schweschter, si söu Kleider für eui Mueter fertig näie u mit der Bürschte suber <(od. sufer)> mache. 
WS18	Hättisch ne doch kennt {Verdoppelungsstrich auf 'n'} ! de wär es angersch cho, u-n-es tät besser um ihn {darunter steht:} <(mit ihm)> schta <(auch: schto)>. - 
WS19	Wär het mer mi Chorb mit dem Flésch {zunächst 'Fléisch', dann 'i' durchgestrichen} <(auch: Fleisch)> gschtole ? -
WS20	Är het|eso ta, wi si ne zum trösche bschtėu̇t hätti; si hei's aber sä̇u̇ber  {es ist nicht ganz klar, ob hier an den Strichlein über 'a' etwas geändert werden sollte} gmacht. -
WS21	Wäm het er di neui Gschicht erzėu̇t ? -
WS22	Mi mues lut brüele <(od. mö̂gge [p]ägge)> {'pägge' oder 'bägge' steht unter 'mö̂gge'} , süsch verschteit är is nid. -
WS23	Mir si müed u hei Durscht. -
WS24	Wo mer gschter z'obe si umecho <(auch: zruggcho)>, si di angere scho im Bett gsi u si fescht am schlafe <(od. o)> {'(od. o)' steht  über '...lafe'} gsi.
WS25	Der Schnee isch letschti Nacht bi üs blibe lige, aber hüt dä morge isch er vergange. -
WS26	Hinger üsem Hus schtaͦ  {über 'a' steht '(o)'} drü schöni Öpfubömli {darunter steht:} <(od.: bäumli)> mit rote Öpfeli. -
WS27	Chöt er nid no-n-es Chehrli <(Ougeblickli)> uf is warte, de ga mer mit ech. -
WS28	Dir dörfit nid settegi <(od.: selegi)> Chindereie tribe. -
WS29	Üser Bärfe si nid so höch, euer si véw höcher. -
WS30	Wi mängs Pfung Wurscht u wivéw Brot wét <(od.: weit)> er ? -
WS31	I verschtaͦ-n-ech {über 'a' steht '(o)'} nid, dir müest e chli luter rede. -
WS32	Hét er keis Stückli wissi Séfe <(auch: Seife)> für mi uf mim Tisch funge <(od.: gfunge)> ? -
WS33	Si Brueder wott sech zwö <(od.: zwöi)> schöni neue Hüser i euem Garte boue. -
WS34	Ds Wort isch ĭ̱m {zunächst 'i̱hm', dann 'h' in Klammern gesetzt:} <i̱(h)m> vo Härze cho ! -
WS35	Das esch rächt gsi von ech ! -
WS36	Was hocke da für Vögeli uf däm Mürli obe ? -
WS37	Pure hei föif Munine <(Stiere)> {'(Stiere)? steht unter 'Munine'} u nün Chüe u zwöuf Schäfli vor ds Dorf brunge, die hei si wöuwe verchōfe <(auch: verchoufe)>. -
WS38	D' Lüt si hüt aui dusse-n-uf em Fä̇u̇d u mäie. -
WS39	Gang nume, der brun Hung macht <(od.: tuet)> der nüt. -
WS40	"I bi mit de Lüte da hinger über d' M̱atte {zunächst 'd' Matte', dann ""d'"" durchgestrichen und 'M' unterstrichen; dann eine Klammer um ""d'"" gesetzt und als Alternative bezeichnet durch kleine Punkte unter das durchgestrichene ""d'"" und dem Hinweis 'event.' über dem Klammerausdruck} i ds Chorn gfahre. -"
