---
Bogennummer: '17982'
Ort: Alt Walddorf (Stará Lensá)
Gid: 547188
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Heinz Müller
Erstelldatum: 2025-03-23 14:08:49.301075
Änderungsdatum: 2025-03-23 14:08:49.301075
Satzversion: 1
...
WS1	Ën Wënter flieg'n die traig'n Blater ën der Loft rëm.
WS2	's hërt glaich of Schnej zů kům, dann wert's Water wieder basser.
WS3	Tů Käůl'n ën Äůb'n, doß die Mëlich bolt zů koch'n onfängt.
WS4	"Der gůte olte Monn ës mën Ross[e]'n {das ""e"" wurde durchgestrichen} ën's Eis ëngebroche'n ůnd ë̈ns kolde Wosser gefol'n"
WS5	Der ës vor vier oder sëcks Woch'n gestorb'n.
WS6	's Feůer wor zů stork, die Kůch'n sain je ůnar gonz schworz verbriet.
WS7	Der ëßt die Eůer fort ohne Solz ůnd Tfaffer.
WS8	Die Fiß tun mer wëh; ich dank, ich ho se důrchgeläůf'n
WS9	Ich wor [bei] {das Wort <bei> wurde durchgestrichen} bai der Fra ůnd ho'ser gesogt; ůnd sie hot gesogt, sie hot's äůch ihrer Tochter sog'n gewolt.
WS10	Ich wël's äůch nëch mëh wieder tůn.
WS11	Ich schläů dich glaich mën Kochlaffel hënder die Ohr'n, dů Off.
WS12	Wů gejst, soll ber mëtkůmm?
WS13	's sain schlaichte Zait'n.
WS14	Main liebes Kënd, blaib hie ůnar stejn, die bejs'n Gans baißn dich täůt.
WS15	Dů host heůt 's mejste gelernt ůnd worst artich, dů konst ëh e Hejm kejn als die ondern.
WS16	"Dů bëst noch nëch grůß genůg, [dů] {das Wort <dů"" wurde durchgestrichen} e Flosch Wain aůszůtrënk'n, dů můst erscht noch wocksen ůnd greßer warn."
WS17	Gëj, seů säů gůt ůnd sog dainer Schwaster, sie soll die Klejder for eůre Můtter fertich näh'n ůnd mët der Birscht rejn moch'n
WS18	Häst dů nën gekont, 'dann wär's ondersch kůmm ůnd 's wolt hait mëtnen basser stejn
WS19	War hot mer [<e>?] {durchgestrichener Buchstabe} main Korb mën Flejsch gestäůln?
WS20	Der hot e säů getäůn, als wenn se nën zům Drasch'n bestollt hätten; die hon sich's ober salber getäůn
