---
Bogennummer: '46001'
Ort: Linter (Frutigen)
Gid: 546270
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-04-09 15:22:21.668859
Änderungsdatum: 2022-04-15 17:08:59.363388
...
WS1	Im Wintr flügä di trochänä Bletter i dr Luft umha.
WS2	Äs hörrt angens uf schnijä, u de hübschets de.
WS3	Tuä Cholä n i Chunst, dass d' Milch ufterschtell chunt {auf dem 'u' ist ein links offener Kringel}.
WS4	Dä guet alt Ma ischt mit dm Ross ufem Isch y kit u iz Wasser gsunkä.
WS5	Är ischt vur vier oder sägs Wuchä gschtorbä.
WS6	"Äs het zruch brunnä {'u' mit links offenem ""Stehendem"" Kringel}, d' Chüehä si una naha ja ganz schwarz brennt."
WS7	Är isst d Eier ging oni Salz u Pfäffer.
WS8	D' Füess tüe mer grüslig weä, i gloubä {zunächst 'glaubä', dann 'a' in 'o' umgeschrieben} i higi si dürglüfä.
WS9	I bi bi dr Frou {zunächst 'Frau'' dann korrigiert zu 'Frou'} gsi u ha ras gsit, u sia het gsit, sia wellis ihra Tächter og säge.
WS10	Ig wollts og niemeh umhi mache.
WS11	Ig schlan dig mit dm Chochlöffel a {zunächst 'ä'. dann Trema durchgestrichen} d Ohrä, du Aff !
WS12	Wa gischt du hi, soläwer mit dr cho ?
WS13	Äs si schlächti Zitä.
WS14	Mis lieb Chind, blib hiä una schtah, di bösä Gäns byisse dig z' tod.
WS15	Du hescht hüt am vielschte g'lert u hescht ordelig gmacht, du tarfst früjer him als die anderä.
WS16	"Du bischt nu nett grossäs gnug, für ne Fläscha Wy usztrehä <(og sufä)> du muscht zerscht nug {links offener ""schräg stehender"" Kringel auf 'u'} äs bizi wagse u gröser wärdä."
WS17	Gang, bis su guet u säg dir Schweschter, sia sölli d'Chlidr für öwi Muettr fertig nejä u sufer bürschtä.
WS18	We tu ne bchennt hetischt, de wes anderscht cho, unär weä net eso unglücklig.
WS19	Wär het mer mi Chorb mit dm Flisch gschtolä ?
WS20	Är het drglihe da, es wess si ne für z' Dreschä bschtellt hettä, aber si his sälber ta.
WS21	Wäm het är di nüwi Gschicht erzellt ?
WS22	Ma muess lut bruällä, süscht verschtyt {zunächst wohl mit 'i', dann mit 'y' überschrieben und den dünnen i-Punkt stehen gelassen} är ima net.
WS23	Wier si müedi u hi Durscht.
WS24	Nächti wa wir si him cho, si di andere scho im Bett gsi u hi fescht gschlafe.
WS25	Dr Schneä ischt disi {zunächst 'diesi', dann 'e' durchgestrichen} Nacht bi üs blibe, aber hüt am Morge ischt är duä gschmolzä
WS26	Hinder üsem Hus schtah drü schöni Öpfelbümeni mit roten Öpfelenä.
WS27	Chönnter net nuch es Schützeli uf us warte, de chöme wer de mit uch.
WS28	Ihr dörft net söttigs chindligs Züg mache.
WS29	Üser Berga {zunächst 'Bergä', dann 'Berga': Umlaut am Wortende gestrichen} si net sövel höi, öwer si höjer.
WS30	Wie mengs Pfund Wurscht u wieviel Brot wyter {zunächst vielleicht 'wi', dann aber als 'wyter' beendet und den i-Punkt ganz fein durchgestrichen - analog zu Satz 22} ?
WS31	Ich verschtah öch net, ihr müässt es gse {unbekannter Ausdruck} lüterer prichtä.
WS32	Hiter kis Chnübi wyssi Syfa für mig uf mim Tisch gfundä ?
WS33	Si Brueder wollt zwü schöni nüwi Hüser i-nöwem Gartä buwä.
WS34	Är het vo dr Läbere gret.
WS35	"Das ischt rächt gsi vonuch {auf 'u' ist ein links offener ""stehender"" Kringel, vgl. mit Satz 39}."
WS36	Was si das für Vögeni da obna uf {zunächst 'üf', dann 'uf': Umlaut durchgestrichen} däm Mürli ?
WS37	D' Burä hi füf Urnera u nün Chüä u zwölf Schäfeni ufe Märit bracht, u di hi si wellä verchufä.
WS38	Hüt ischt {nach Korrektur lesbar} allz usenaha am mejä.
WS39	"Gang nume, dr brun Hŭnd {im Unterschied zu den Sätzen 6, 16 und 35 ist hier der Kringel auf 'u' ein ""liegendes Böglein"", das auch bei den Diakritika zur Verfügung steht, deshalb die Transkription}  tuet dr nùt."
WS40	I bi mit dä Lütä da hinderhi uberz Mattli inz Chore gfahre.
