---
Bogennummer: '37769'
Ort: Klosterreichenbach
Gid: 131021
Transliterationsprojekt: REDE
Transliterent: Leonie Schulz
Erstelldatum: 2025-07-09 06:43:43.670132
Änderungsdatum: 2025-07-09 06:43:43.670132
Satzversion: 1
...
WS1	Ém Wender fliëga̰n dĕ drŭgene Blédder én dĕr Luft rŏm. 
WS3	Duă Kohla̰n én de Ofa̰n, daß Milĭch z'kocha̰n a̰nfangt. 
WS4	Der guĕt ald Ma̰n isch mitem Roß dūrchs Eis brocha̰n ond éns kalt Wassĕr g'falla̰n. 
WS5	Er isch vor viër oder sechs Wocha̰n g'schtorba̰n. 
WS7	Ĕr ißt dië Eier ém̄er ohne Salz ond Pfèffér. 
WS9	I beḭn bei dĕr Frau g'seḭn und han̰ns ĕr g'sait, ond sé hot g'sait, se wélls au ihrer Dōchder saga̰n
WS11	I schla de glei mit em Kochléffel om d'Ohra̰n dau Aff. 
WS15	Dau hoscht heit am maischda̰n g'léhrt, ond dan bischt brav [g'seǹ̰], dan därscht bélder heḭm gaṵn als de andere. 
WS17	Gang sei so guĕt ond sag deḭnr Schwéschder, se soll dië Gleider (des Häs) fir eier Muĕder ferdĩg naiha̰n ond mite̮r Birscht sauwer macha̰n
WS19	Wèr hŏt mĕr mein Gradda̰n g'schtohla̰n mit Flaisch?
WS20	Èr ho̊t so daṵn, wië wen̄ s'en zom Drèscha̰n b'schtellt héttet, se héns awer sèlber daṵn.
WS24	Wië mer gestert Obed z'rick kom̄a̰n send, do send de andere schaṵn em Bet g'lèga̰n ond hénd féscht g'schlofa̰n. 
WS26	Hender eḭnserem Haus schtandet dri schéne Epfelbĕmla̰n mit raude Epfelé 
WS32	Hĕnd er keḭn Sticklé weiße Seif fir mich uff meim Disch g'fonda̰n? 
WS33	Seḭn Bruẽder will se zwei neie Heiser en eirem Garda̰n baua̰n. 
WS34	Dēs Wort iscḫ em vo̰n Hèrzan kom̄a̰n. 
WS36	Was sitza̰n dō fir Végelé owa̰n uff dem Meierlé? 
WS37	Die Baura̰n hend feĩnf Ohsa̰n, neĩn Kiha̰n ond zwélf Schäflé vor dēs Dorf brocht, (ond dië se) hends verkaufa̰n wélla̰n. 
WS38	Dië Leit send heint àlle draußa̰n uff ̮em Fèld ond maihet. 
WS40	I beḭn mit dene Leit do hénda̰n iwer dië Wies ens Korn g'fahra̰n. 
