---
Bogennummer: '44970'
Ort: Mägenwil
Gid: 17059
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Auch hier scheint es, dass jemand den Bogen durchgelesen und korrigiert
  hat; mit schwarzer Tinte wurden vor allem Akzente gesetzt und Vokale, Umlaute oder
  ''ch'' verdoppelt.

  In den ersten Sätze scheint es, als ob neben dem Gravis auch Akut verwendet wurde;
  später taucht dann neben Gravis nur noch der Querstrich auf. Deshalb habe ich mich
  bei Transkribieren auf Gravis und Querstrich beschränkt.}

  '
Erstelldatum: 2024-06-11 17:23:02.982908
Änderungsdatum: 2024-06-15 16:46:25.804127
Satzversion: 1
...
WS1	i̇̀m wi̇̀nter flügid di trochchne {zunächst 'trochne'} bletter i̇̀ de̊r lōft ōme
WS2	e̊s hö̀rt ietzt denn uf schnèie, denn wērd s' wätter wēder besser.
WS3	gkèi {zunächst 'ggèi', dann durchgestrichen und 'gkèi' darüber notiert} Chòle i̇̀ òfe {über 'o' ist irgend etwas, eine angefangenes 'O'?}, dass d' mēlch gli chōnd.
WS4	de guet alt maa ēsch mēt e̊m Ross iiprochche {zunächst 'iiproche'} ōnd i̇̀s chalt wasser gfalle {vor und unter 'guet' ist das Blatt verdreckt: Abdruck von einem anderen Blatt?}
WS5	e̊r ēsch vòr vier òder sächs wōchche {zunächst 'wōche'} gstōrbe.
WS6	s' füür {zunächst 'für'} ēsch z' schtarch gsi, d' wèje ēsch ùnde ganz verbrännt.
WS7	e̊r esst d' Èier ēmmer òni salz ōnd pfäffer.
WS8	pffüess tüend me̊r grūsig wēē, ēch glaube, ēch hèbs dōreglòffe
WS9	i bē bē de̊r frau gsi ōnd {zunächst 'und'} hane̊re̊s gsèid, ōnd si {zunächst 'sie'} hèd gsèid, si {zunächst 'sie'} wells denn de̊ Tochter au nò säge.
WS10	ēch wells au nȫmme tue !
WS11	ēch hau de̊r ietz denn de̊ chòchlöffel ōm d' oore-n-ōme {zunächst 'ohre'}, du aff !
WS12	Wo gasch hē, selle me̊r au mēt de̊r chōo {zunächst 'chō'} ?
WS13	e̊s sēnd schlächtti Ziite {zunächst 'Zite'}.
WS14	Du liebs Chi̇̀nd bliib du dōnde staa {zunächst 'stah'}, dì {zunächst 'die'} bösè gäns bisset di sōscht z' tod.
WS15	Du {zunächst 'du'} hèsch hȫt am mēschte glēērt, du bēsch e̊s bravs gsi, du dörfsch früener hèi as di {zunächst 'die'} andere.
WS16	Du bēsch nònig gross gnueg fǜr e̊n fläschsche {zunächst 'fläsche'} wii ūs z' tri̇̀nke, du muesch zērscht nò wachse ōnd grösser werde.
WS17	Gang, säg dr Schwöschter, si söll d' Kleider für öii {zunächst 'eui'} Mueter fertig büeze {zunächst 'büetze'} ōnd {zunächst 'und'} usbȫrschte, gäll, bēsch so guet.
WS18	"Wenn t' e̊n du nōr kännt hèttisch ! {""Wenn t' en"" ist durchgestrichen} denn {'wärs' ist durchgestrichen} w[è]rs andersch chō ōnd e̊s wörd besser sta mēt e̊m. "
WS19	Wer hed me̊r mi Chōōrb {zunächst 'Chōrb'} voll Flèisch g'stòle ?
WS20	E̊r hed ta wie wenn e̊r müesst so trö̀schsche {zunächst 'trö̀sche'}, si händ aber alles sälber g'macht.
WS21	Wem her e̊r di {zunächst 'hed di', dann oben 'e̊r' dazwischen notiert} nöi {zunächst 'neu', dann durchgestrichen und 'nöi' darüber notiert} G'schēcht verzellt ?
WS22	Me̊r mues lūūt {zunächst 'lūt'} b[rü]ele {seltsame Korrekturen}, bï̀s e̊r èim verstad.
WS23	Me̊r sēnd müed ōnd h[è]nd {rumkorrigiert} dorscht.
WS24	Wo me̊r geschter {zunächst 'gester'} z' abig zrōgg chō sēnd, sēnd di andere schō i̇̀m Bett gsi ōnd händ fescht {zunächst 'ōnd fescht', dann oben 'händ' dazwischen notiert} g'schlafe. 
WS25	De̊ Schnee ēsch hött z' nacht lēgge blēbe bi öis {zunächst 'eus'}, aber hött am morgen ēsch e̊r vergangen.
WS26	Hēnder öisem {zunächst 'eusem'} hus schtö̀nd {zunächt 'stö̀nd'} drü schöni Öpfelböimli {zunächst 'Öpfelbäumli'} mēt roten öpfli̇̀ {zunächst 'öpfle'}. 
WS27	Chönd e̊r nēd no e̊n Auge̊blė̄ck {zunächst 'Augeblick'} warte'n ' of öis {zunächst 'eus'}, me̊r chömid denn au.
WS28	Er {zunächst 'Ehr'} dörfid doch kèni dèrige Chēnderèie mache.
WS29	Öisi {zunächst 'Eusi'} Berg si̇̀nd nēd grad hööch {zunächst 'nēd höch', dann oben 'grad' dazwischen notiert und 2.'ö' ergänzt}, öii sēnd vēl {zunächst 'eui vēl', dann 'sēnd' oben dazwischen eingefügt} hööcher {zunächst 'höcher'}
WS30	Wi {zunächst 'Wie'} mängs pfond wȫrscht ōnd wievēl Brot müend e̊r ha ?
WS31	Ēch verschtane {zunächst 'verstane'} öi {zunächst 'eu'} nēd, e̊r müend e̊s bi̇̀tzeli lūūter {zunächst 'lūter} rède
WS32	Händ e̊r kès Schtȫckli {zunächst 'Stȫckli'} wissi söipfe {zunächst wohl 'seupfe'} fȫr mē gfōnde of miim Tēsch {zunächst 'ofem Teèsch', dann 'em' durchgestrichen, oben 'miim' dazwischen ergänzt und Gravis mit Querstrich überschrieben} ? {Dahinter mit schwarzer Tinte (und in anderer Schrift?) ergänzt:} <(? Satzbau)>
WS33	Si Brüeder wēll zwöi schöni nöii {zunächst 'neui'} Hüser i̇̀ öie {zunächst 'eue'} Garte bouwe.
WS34	Das wōrt ēsche̊m a[b] hèrze chōō.
WS35	Da i̇̀sch rächt vone̊ne̊ !
WS36	Was hockid da för Vö̀geli ōfem Müürli {zunächst 'Mürli'} òbe {1.Buchstabe mit 'o' überschrieben}.
WS37	Pūūre {zunächst 'Pūre'} händ föif schtiere {zunächst 'stiere'} <(mùni)> ōnd nüün {zunächst 'nün'} chüe ōnd zwò̂lf {was bedeutet das Böglein über 'ò' ?} schö̀fli vòrs dōrf bracht wos händ welle verchauffe {zunächst 'verchaufe'}.
WS38	d' Lüüt {zunächst 'Lüt'} sēnd hött ali ōfem fäld ōss ōnd mäjid {zunächst 'mäjd'}.
WS39	Gang nōr, de bruun {zunächst 'brun'} hōnd macht de̊r nüüd {zunächst 'nüd'}.
