---
Bogennummer: '45468'
Ort: Dingetswil
Gid: 20958
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer tippt Satz 31 in den Zwischenraum zwischen den nummerierten
  Zeilen 30 und 31. Für die folgenden Sätze passt er die vorgedruckten Nummern an.  Damit
  steht die Übersetzung von Satz 35 bei der vorgedruckten Nummer 34. Der Platz in
  der Zeilenmitte für Satz 35 ist leer geblieben.}


  '
Erstelldatum: 2025-07-24 13:31:27.177763
Änderungsdatum: 2025-07-25 16:58:28.619780
Satzversion: 1
...
WS1	Im Winter flüged di trochne Blätter i de Luft ume.
WS2	shört bald uf schneie, denn wirds Wäter wieder besser.
WS3	Tue Chole in Ofe, dass dMilch bald afangt choche {zunächhst mit 'k' begonnen, dann mit 'c' übertippt}.
WS4	de guet alt Ma isch mit em Ross im Is iproche u. is chalt Wasser iägfale.
WS5	Aer isch vor viär oder sächs Wuche gschtorbe.
WS6	Sfür isch schtarch gsi, dChuoche sind jo une ganz schwarz worde.
WS7	Er isst dEier al ohni Salz und Pfeffer.
WS8	Dfüess tüend mer eländ <(saumäsig)> weh, i glaub i ha Blotere {zunächst 'Blottere', dann 2.'t' mit '/' übertippt}.
WS9	I bi bi de Frau gsi und haner es gseit, und sie hät gseit, sie wölls de Töchter säge.
WS10	I will es au nüme tue.
WS11	i hau dr jetz den  {'einei' ist mit 'xxxxx' übertippt} eis um dOhre nume mi {zunächst 'mit', dann 't' mit 'e' und '/' übertippt} te Chelle, du Lappi du.
WS12	Wo gosch {zunächst 'gosvh', dann 'v' mit 'c' übertippt} hie, sölletmr mitdr cho.
WS13	Ssind schlächte Zite.
WS14	Mis liebs Chind, blieb do une, di böse Gäns bisset di susch no !
WS15	Du häsch hüt ammeischte glehrtund bisch brav gsi, tarscht defür früoner {zunächst 'frün', dann rumkorrigiert und ergänzt} hei alsdie andere.
WS16	Du bisch nonig gross gnueg, [ä] {'e' und 'ä' sind übereinander getippt} Fläsche Wi usztrinke, du muesch zersch no chli wachse und grösser werde.
WS17	Gang {'säg' ist mit 'xxx' übertippt} bis so guet und säg dinere Schwöster, sie söll de Mueter iri Chleider fertig mache und mit de Bürschte  butze {zunächst 'butzee', dann 2.'e' mit '/' übertippt} .
WS18	Wänt en käntt {'ä' ist zweimal getippt} hetsch, wärs andersch usecho, swör den besser schto mitem.
WS19	Wät hätmer {zunächst 'ht', dann 't' mit 'ä' übertippt} de Chorb samt am Fleisch gschtole.
WS20	Aer {zunächst wohl 'A:r', dann ':' mit 'e' übertippt}  hät tue, als öbs in zum Trösche bschtellt hebed, jetz händ sis aber sälber gmacht.
WS21	Wem hät är di neu Gschicht verzellt {zunächst vertippt: 'verzl', dann 'l' mit 'e' übertippt}.
WS22	Mer mues lut brüele, such {sic!} verstoht er eim nöd.
WS23	Mer sind müed und händ Turscht.
WS24	{Satzanfang mit 'xxx' über tippt} Womr geschter Obed hei cho sind, sind di andere scho {zunächst 'schi', dann 'i' mit 'o' übertippt} im Bett gsi und händ fescht gschlofe.
WS25	Dä Schnee isch diä Nacht bi üs ligge blibe {zunächst 'Nacht ligge', dann oben im Wortzwischenraum 'bi üs'  eingefügt}, aber hütem Morge isch ter wieder vergange.
WS26	Hinder üsem Hus schtönd drü schöni {zunächst 'r', dann mit 's' übertippt} Oepfelbömmli mit rote Oepfeli {zunächst 'Oef', dann 'f' mit '/' übertippt und dann 'pfeli' angefügt}.
WS27	Chönd er nöd no en Augeblick warte, mer chomed dänn au mit.
WS28	Ir törfed nöd so chindisch tue.
WS29	Uesi Bärg {zunächst 'Berg', dann 'e' mit 'ä' übertippt} sind nöd so hoch, eui sind viel höcher.
WS30	Wievil Würscht und wievil Brot muend er ha ?
WS31	I verstoh Eu nöd, er müend e [B]itzli luter rede.
WS32	Händ er nöd e Stückli wissi Seife gfunde für mich {'ufem' ist mit 'xxxx' übertippt} uf mim Tischli ?
WS33	Sin Brüeder {bei 'ü' ist rumkorrigiert} wil i euem Garte zwei schöni neui Hüser baue lo.
WS34	Das Wort isch em vo Härze cho.
WS35	Da isch schö gsi vonem.
WS36	wavör Vögeli sind seb, wo dei ufem Mürli sitzed.
WS37	DBure händ füf {etwas ist mit 'xxx' übertippt} Schtiära {'ä' und 'a' sind nicht klar zu unterscheiden} und nü Chüe und zwölf Schöfli vors Dorf  procht, wos händ wölle verkaufe.
WS38	{Satzanfang ist mit 'xxx' übertippt} Ali lüt sind h0t dosse und meied.
WS39	Gang no, de bru Hund tuet dr nünt.
WS40	I bi mit dene Lüt do hine überdWise is Korn gfare.
