---
Bogennummer: '42179'
Ort: Dorscheid
Gid: 143481
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-05-27 15:41:38.222791
Änderungsdatum: 2025-05-27 15:41:38.222791
Satzversion: 4
...
WS1	Am Wanter fléen de dir Blāder āchtert Lugt errem.
WS3	Du Kŭolen an den Uōven dat Melch bal afängt ze kaschen.
WS4	De gŭoden āle Mān ass mam Pèrd durch d' Eis an dat kalt Wāser gefallen.
WS5	Én ass fir veer ŏder secks Woschchen gestŭōrwen.
WS7	En est d' Är emmer ŏne Salz a Peffer.
WS9	Ech vũōr bēi̇̆ derr Frŭō gewest ech hann <errt> erret gesŭōt a si hat gesŭōt si sét hirem Métschen et.
WS11	Ech schlăōen dech mat dem Kāschleffel am d' Ŭōren, du Āv.
WS15	Du hass hakt am mesten geléert an du hass dech gŭōd geschekt, du kanns me freh hēm gŭōen we de anner.
WS17	Sew eso gŭōd a geh denger Schwester sōen si soll die Kläder fir er Mam fiérdeg māschen, betzen a owbischten.
WS19	Wen hatt mir mei Kŭōref mam Flèsch gestŭōlen.
WS20	Hen hatt grad gescáscht ass wir he bestalt gewest fir ze dréschen; mä si hann et iével selver gemáscht.
WS24	We mir gäster Uowend erem kŭōmmen lugen die Anner well om Bett a sie waren fest entschlŭōw.
WS26	Hanner eisem Hauss stin drei schenger Aepelbämerschen mat rugden Eppelchen.
