---
Bogennummer: '28573'
Ort: Josbach
Gid: 95610
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-05-02 15:40:22.504826
Änderungsdatum: 2024-05-15 10:36:53.404635
Satzversion: 1
...
WS1	Em Wender flihn die drockeln Blärrer därch die Loft rim. 
WS2	S'härt kläich off ze schnein, da würd ds Wärrer werrer besser. 
WS3	Duh kohl en Own, deß die Melch bale ofingt se kache. 
WS4	De gurre ahle Mann eß merem Goul durchs Eise gebroche onn ens kahle Wasser gefall. 
WS5	Hä eß ver vier äwwer sechs Woche gest[orwe]. 
WS6	S'Feier woa͡͡r se hähß, de kuche seihe unne ganz schwo͡arz gebrahnt. 
WS7	Hä eßt die Eier immer uhne Sahlz unn Peffer. 
WS8	Die Fiß duhmer [sällisch] wih, äich glo͡abe, äich hunnse därchgelo͡afe. 
WS9	Äich sei bei de Fräh gewäst unn honnser gesäht unn sie säht, sie wills [o͡ach] ährer dachter spräche. 
WS10	Äich woll's o͡ach nett werrer duh. 
WS11	Äich schloh[d'e] gläich merrem Kochläffel imm die Oann, du Aff'. 
WS12	Wo gesstn hin, simmer mett d[i] gih?
WS13	Es sei schlähchte Zeie[n]. 
WS14	Mei liewes Kend, bleib hie unne stih, die böse Gäns bäiße dih dot. 
WS15	Du ho͡ast haure ohmeste gelernt onn best [oartich] gewähst, du därfst friher no͡achhehm gih, wie die Anner. 
WS16	Du best noch nett groß gennuk, daßde e Flasche Wei aus[gedrenke] kannst, du mißt noch e wink wo͡asse unn gresser wärn. 
WS17	Sei so gutt unn sprech merrer dei Schwester, sie sill die Klärer fer au[r/e] Modder fertig mahe unn met der Bärscht re mache. 
