---
Bogennummer: '44555'
Ort: Engwilen
Gid: 18779
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-11-11 18:34:55.850956
Änderungsdatum: 2025-11-17 13:53:26.284606
Satzversion: 1
...
WS1	Im Wenter flüüged di trochne Bletter i de Loft ome.
WS2	S hört gad uf schneie; denn wirds Wätter wider besser.
WS3	Tue Chole inn Ofe ine, dass d' Milech gli strodlet.
WS4	Dä guet alt Maa isch mit em Ross dor 's Iis proche und is chalt Wasser gheit.
WS5	Er isch vor fiär oder sex Woche gschtorbe.
WS6	S Füür isch tschtarch gsi, d' Chueche send jo one dra {'a' sieht ein bisschen aus wie 'u'} ganz schwarz aaprennt.
WS7	Är ess t' Eier {zunächst 'esst', dann 't' durchgestrichen und nach Abstand 't' mit Apostroph neu geschrieben} alewill ohni Saalz u[m] {zunächst 'und', dann 'nd' mit 'm' überschrieben} Pfeffer.
WS8	Pfüess tömmer sauweh; i glaub i has dorloffe.
WS9	I bi bi de Frau gsi und han eres gsaat  {zunächst 'ere gsaat', dann 's' ergänzt, so dass es jetzt wie zusammengeschrieben 'eresgsaat' aussieht}, und si hät gsaat, si wells o erer Töchter säge.
WS10	I wills nüme too.
WS11	I hau dr gad mit e Chele omm t Oore, du Aff.
WS12	Wo gooscht ane ? söled mr mitr cho.
WS13	S send {zunächst 'sind', deshalb steht noch ein Punkt über 'e': 'sėnd'} schlächti Ziitä.
WS14	Liäbs Chend, bliib do one schtoo, dia bööse Gens biissed di ztod.
WS15	Du häscht hüt am meischte glehrt und bischt brav gsi; du tarscht früener ham als di {zunächst 'die', dann 'e' durchgestrichen} andere.
WS16	Du bischt no ned gross dnueg zom e Fläsche Wii ustrinke, du muescht zerscht no e chli wachse {zunächst 'no wachse', dann oben im Zwischenraum 'e chli' ergänzt} und grösser  wäärde.
WS17	Gang, bis so guet und säg diner Schwöschder, si sott Kleider för eueri Muetter fertig näie und mit e Böörsche {sic!} suuber mache.
WS18	Hettscht en kennt, denn wärs anderscht cho und s schtäänt besser omen.
WS19	Wer hät mer min Chorb mit em Fleisch gschtole ?
WS20	[Ä]r  {am 1.Buchstaben wurde rumkorrigiert} hätt eso to, öbs en zom Trösche bschtellt hetted, si hands aber selber to.
WS21	Wemm häter di neu Gschicht verzellt ?
WS22	Me mue luut brüele, soss verschtoht er üüs ned.
WS23	Mer send müed und hand Toorscht.
WS24	Wo mr gescht z Oobed zrock cho send, do send di andere scho im Bett gsi und hand fescht gschloofe. 
WS25	De Schnee isch nächt bi üüs ligge plebe, aber hütemorge ischt {'t' ist ganz dünn geschrieben: nachträglich angefügt?} er vergange.
WS26	Hender üserem Huus schtönd drüü schööni Öpfelbömmli mit roten Öpfeli.
WS27	Chönd er ned no enn Augeblick uf üs waarte, denn gömmer mit i.
WS28	Er törfed ned däre Chalbereie triibe.
WS29	Üseri Bäärg send neggad {zunächst wohl 'ned', dann 'd' mit 'g' überschrieben und zu 'neggad' ergänzt} hoch, eueri send vill hööcher.
WS30	Wievill Pfond Woorscht und wievill Broot wend er haa ?
WS31	I verschtand eu ned, er mönd e chli lüüter <(rede)> schwätze.
WS32	Händ er ka Stückli wiissi Saapfe för mi uf mim Tisch gfonde ?
WS33	Sin Brüeder wott zwaa schööni, neui Hüüser i euem Garte nine {Garte‿n‿ine} baue.
WS34	Da Wort ischt em v  {kurz für 'vo' ?} Herze cho.
WS35	Da isch schö gsi von ene.
WS36	Wa hocked do för Vögeli of em Müürli obe ?
WS37	Puure händ füüf Schtier und nüü Chüe und zwölf Schööfli vor s Dorf use procht. Diä hand s wele verchaufe.
WS38	D Lüüt send hüt ali uf em Feld osse und mäied.
WS39	Gang no, dä bruu Hond tut r nünt.
WS40	I bi mit e Lüüte do hene öber d Wes is Chorn gfahre.
