---
Bogennummer: '27696'
Ort: Nieder-Weisel
Gid: 99053
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Hans-Otto Schneider
Anmerkungen: An einigen Stellen sind nachträglich m- und n- Bögen gestrichen, anscheinend
  aber unsachgemäß, daher nicht im einzelnen vermerkt.
Erstelldatum: 2024-01-25 22:58:45.478746
Änderungsdatum: 2024-01-25 22:58:45.478746
Satzversion: 1
...
WS1	Eam Weander fläihe die trockene Blörrer dorch die Loft 'erim.
WS2	S' hiert <hört>{ö gestrichen und ie übergeschrieben} glaich of s' schneie, dann wird's Wearrer wirrer besser.
WS3	Dou Koann ean̄ d' Owe, d's die Melch bal o(n) se koche fingt.
WS4	D'r goure ale Mann eas mer'm Gaul dorchs Eis gebroache ean ean̄'s kale Wasser g'fann.
WS5	E' eas für väier oawer sechs Woche g'stoarwe.
WS6	D's Fauer woar zou haß, die Kuche sei(n) joa onne ganz schwoaz gebren̄t.
WS7	E' eßt die Äier immer ohne Saalz ean Peaff'r.
WS8	Die Foiß dou m'r se wih, aich glawe, aich hun se dochgelaafe.
WS9	Aich sei(n) bei d'r Fraa geweast ean hun s'r g'sat <g'soat>, ean säi sat, se wölls oach ihr'r Doachter sah(n)
WS10	Aich wills oach <ach> näit mi wirrer dou(n)
WS11	Aich schloa d'r gleich mer'em Koachläffel im die Ohn, dou Aff.
WS12	Wu gihst d' hi(n), son̄ m'r meat d'r gih'(n)
WS13	'Sei(n) schlächte Zeire.
WS14	Mei'(n) läib Keand, bleib häi onne stih(n) die bise Gei(n)s beiße dich tudt.
WS15	Dou host haut om moaste {o gestrichen, dann durch Unterstreichung mit Bleistift wieder in Geltung gesetzt} gelernt, ean beast broav geweast dou derfst froiher ham gih(n) wäi die annern.
WS16	Dou bi(e)st noch näit gruß genung, eam e Flasch Wei(n) aussetreanke, dou mußt irscht <erscht> noche En <End> woase ean grisser wern.
WS17	Gih, seih se gout ean sahs dei(n)er <deier> Schweaster, se söll die Klaarer für au Motter feattig newe ean met d'r Boscht <Borscht> sauwer mache.
WS18	Häst dou en gekennt! Dann wersch annerscht woan̄, ean's thet besser im̄ 'n stih(n).
WS19	Wer hott mir mein Koarb met Flaasch g'stoahn?
WS20	E' dout so, als härre säi en zoum dresche bestellt, säi hunns oawer selbst getho(n)
WS21	Wem horre die naue Geschichte vezehlt <vezäelt>{ä mit Tinte gestrichen, h mit Bleistift ergänzt}?
WS22	Mer muß laut schreie, sonst verstiht'r u(n)s näit.
WS23	Mir sei(n) moid ean hun̄ Doscht.
WS24	Wäi <Als> mir geast Obend z'reckkoome, do läie die Annern schout eam Bett ean woarn fest om schloofe.
WS25	D' Schnii eas <es> die Noacht bei u(n)s laie gebleawe, ewer haut Moargend eas <es> se g'schmolze.
WS26	Hinner u(n)serm Haus stih(n) drei schiene Äbilböhm met ruhre Äbilcher.
WS27	Könnt ihr näit noch an Ageblek {zunächst zu 'Ageblik' verändert, dann wurde das zweite e wieder unterstrichen} of u(n)s woarten, dann gih(n) mir mear {'met' um a ergänzt, dann mit Bleistift t gestrichen und durch r ersetzt} uch.
WS28	Ihr derft näit Kennerei <Kinnerei> treiwe.
WS29	U(n)s Berge sei(n) näit se huch, au sei(n) viel hiecher.
WS30	Wäiviel Pond Worscht ean wäiviel Brut wollt ihr hu(n)? {zunächst versehentlich unter Nr. 31 notiert, handschriftlich umnumeriert}
WS31	Aich v'stieh <v'stiehs> uch <auch>{nachträglich eingefügt, dann a getilgt} näit, ihr mußt e bissi läurer spreache. {zunächst versehentlich unter Nr. 30 verzeichnet, handschriftlich umnumeriert}
WS32	Hott ihr ka(n) Steck weiß Saafe für maich of meim Desch gefonne?
WS33	Sei(n) Brourer will sich zwa schiene naue Häuser en auen <aum> Goarte baue.
WS34	Ds Woart kom en vo(n) Herze
WS35	Doas woar rächt vo(n) auch!
WS36	Woas setze do füre Viehilcher owe of 'm Mäuerche?
WS37	Die Bauen harre fünf Oasse ean neu(n) Koih ean zwölf Schäfercher fürs Doarf gebrocht, däi wollte se verkaafe.
WS38	Die Leut sei(n) haut all daus of em Feald ean mewe.
WS39	Gih nur d'r brau(n) Hond dout d'r naut.
WS40	Aich sei(n) met de Leut do hinne üwer die Wisse eans Koarn gefoarn.
