---
Bogennummer: '44756'
Ort: Böbikon
Gid: 15640
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Hier fällt auf, dass manchmal die Übersetzung etwas frei erscheint
  (zum Beispiel in den Sätzen 4, 12, 29) oder unsorgfältig (''Kühe'' in Satz 37)}'
Erstelldatum: 2023-09-19 18:31:32.988114
Änderungsdatum: 2023-10-09 07:30:02.648046
Satzversion: 1
...
WS1	Im Winter flügt s' dör Laub {zunächst 'Laube', dann 'e' durchgestrichen} umenand.
WS2	Es {'g' ist durchgestrichen} hört glie uf schneie, dänn wirds Wetter wieder besser.
WS3	Gh[eͤ]i {unsicher, ob hier tatsächlich 'e' UNTER 'e' geschrieben ist?} Chole in Ofe ie, dass Milch bald sütt.
WS4	De guet {zunächst 'gut', dann 'e' oben zwischen 'u' und 't' eingefügt} Ma isch mit dem Ross is Is ie geht {sic - was soll das bedeuten?}.  
WS5	Es isch öpe vier oder seͣ̈chs Woche sid er g'storbe isch.
WS6	S' Für het z'starch bräͤnnt {'e' ist UNTER 'ä' notiert} , de Kueche isch unde verbräͤnnt {'e' ist UNTER 'ä' notiert} .
WS7	Er ist d' Eier immer ohne Salz und Pfeffer
WS8	Pfüess tümmer weh, sie sind glaub wund.
WS9	Ich be bi de Frau gsi und han er es gseid, sie het gseit sie wäͤlls {'e' ist UNTER 'ä' notiert} ehrer Tochter  s[e]g̈e {möglicherweise zunächst 'sage' - 'a' ist ganz dünn - und aus Platzmangel Trema über 'g' gesetzt und danach das dünne 'a' mit 'e' überschrieben ?}
WS10	Ich wills au nümme mache.
WS11	Ich hau der jetzt dänn de Rüerlöffel an Kopf here, du Aff.
WS12	Wo gosch here, sottemer mit c[h]o {wohl zunächst 'ko' und dann in 'cho' abgeändert}
WS13	Da mol isch es schlächt.
WS14	Mies liebs Kind blieb do unde stoh, denn die böse Gäns könntete z'tod biesse.
WS15	Du häsch höt {auf 'o' steht Strichlein, muss aber 'ö' sein, vgl. 'höt' am Satzende}  am meischte könne und bisch am bräfschte gsi, du chasch höt zerscht hei goh.
WS16	Du bisch no kli um e {ev. 'en' angefangen und dann unterbrochen} Fläsche Wi usstrinke, du müschte zerst {zunächst 'zuerst', dann 'u' durchgestrichen} no strecke.
WS17	Gang säg [e] {möglicherweise zunächst 'in', dann 'e' darüber geschrieben} de Schwöschter sie soll Kleider vo de Muetter fertig mache und usbörschte
WS18	Waͤnnen {'e' ist UNTER 'a' notiert; zunächat 'Wann', dann 'en' angefügt} du känt hescht, wärs andersch use choh und es gängem bäͤsser {zunächst 'besser', dann 1.'e' mit 'ä' überschrieben und 'e' ist UNTER 'ä' notiert} .
WS19	Wer hät min Korb wo Fleisch drinne gsi isch gstohle ?
WS20	Er hät e so to wie wenn sen agstellt gha hättet zum Trösche, sie händs aber ned gmacht gha {zunächst angefangen 'aber nich[] gha', dann unterbrochen und über 'nich. gha' 'ned gmacht' geschrieben}
WS21	Wem hät er die neu Gschecht verzäͤllt {'e' ist UNTER 'ä' notiert} ?
WS22	Mer muess lut brüelle, schosch verstoht mer eim ned.
WS23	Mer sind müed und händ Dorscht {zunächst 'Dörscht', dann Trema durchgestrichen}
WS24	Wo mer geschtert Zobig hei cho sind, sind die andere scho im Bett gsi und händ starch gschlofe.
WS25	Die Nacht het de Schnee agnoh, aber am morge isch er wieder vergange.
WS26	Hinderem Hus sind drei Öpfelböim voll roti {zunächst 'rote', dann 'e' mit 'i' überschrieben} Öpfel.
WS27	Wartet no en Augebleck, denn chömemer au met.
WS28	Ehr dörfet ned dere Blödsinn mache.
WS29	"Eusi Berg sind grad hoch, eui sind höcher. {im 1.Halbsatz fehlt wohl ""nicht""}"
WS30	Wie mäng Pfond Wörscht und wevel Brod wänder ?
WS31	Ich ghöre nüd, er müend [e]chlie {oder ist der 1. Buchstabe 'o' oder 'a' ?} luter rede.
WS32	Händ er nid e Stöckli wisse Se ͦ̈upfe {oder sollte 'ö' über 'u' stehen?} of mim Tesch obe gfunde ?
WS33	Sind {sic} Brüeder well 2 schöni neui Hüser {zunächst '2 neui Hüser', dann 'schöni' oben zwischen '2 und 'neui' eingefügt} i eue Garte ie boue {zunächst 'boe', dann 'e' mit 'u' überschrieben und 'e' ergänzt} .
WS34	Das isch em vo inne use cho
WS35	Das isch recht gsi vo eni {oder vielleicht 'eui' ?}
WS36	Wa vör Vögeli hocked do of em Mürli obe ?
WS37	D' Bure {vielleicht zunächst 'Bäre', dann Trema durchgestrichen und 'u' dick über 'a' geschrieben} händ föif Stiere und nün Kühe und zwölf Schof as Dorf here brocht zum verkaufe.
WS38	D' Lüt sind alli of em Feld osse und düend meihe.
WS39	Gang no de bru Hond macht der nüd.
WS40	Ich bi met de Lüte do hinde über Matte ie is Korn gfare.
