---
Bogennummer: '45451'
Ort: Greifensee
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.521762'
...
WS1	Im Winter flügt s'dür (s'troche) Laub i der Luft ume.
WS3	Tue Chole in Ofe, daß d͜'Milch bald süt.
WS4	De guet alt Ma ischt mit͜  em Ross im Is iproche und is chalt Wasser ie gfale (ghéït).
WS5	Er ischt vor vièr oder sächs Wuche gschtorbe.
WS6	'S Für ischt z schtarch [darüber steht:] z'groß  gsi; d'Wäe sind une ganz aprạ̈nnt [unter dem 'ä' steht ein kleines 'x'; vgl. Kommentar] [über 'une ganz':] verbrännt
WS7	Er ißt d'Eier alliwil ohni Salz und Pfạ̈ffer [unter 'ä' steht kleines 'x'; vgl. Kommentar].
WS8	Pfüeß tüe-mer schüli (choge, grusig) weh; ich glaube, ich has duregloffe.
WS9	Jch bi bi der [?] Frau gsi und hạ̈n-er-es gseit, und si hạ̈t gseit, si wels au irher Tochter sạ̈ge [unter allen drei 'ä' steht kleines 'x'; vgl. Kommentar]  
WS10	Jch wils nüme tue.
WS11	Jch hau d'er grad mit dr Chele über Toren ie, du Aff.
WS12	Wo goscht hi, sellid mer mit͜  der [darüber und unterstrichen:] dir  cho ?
WS13	Es͜  sind schlecht Zite.
WS14	Mis liebs Chind, blib do une schto, di böse Gäns biised di z'tod.
WS16	"De bischt nonig groß gnueg zum e Fläsche Wi ußtrinke [oder ""ustrinke""?], du muesch zerscht no echli wachse und größer wärde."
WS17	Gang bis se guet und sạ̈g ['ä' mit kleinem 'x' darunter; vgl. Kommentar] diner Schwöschter, si sell s'Gwand für öieri Mueter fertig büeze und usbürschte.
WS18	Hetschte kännt, so wärs andersch cho, und es wür besser mi em schto.
WS19	Wä hạ̈t͜  mer ['ä' mit kleinem 'x' darunter; vgl. Kommentar] ietz min Chorb voll Fleisch gschtole ?
