---
Bogennummer: 03092
Ort: Stare Bolity
Gid: 160071
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2025-03-13 14:43:05.984198
Änderungsdatum: 2025-03-13 15:01:07.955437
Satzversion: 1
...
WS1	Jm Winter fliege de trei<(a)>ge Blätter dorch de Loft herü<(ö)>m.
WS2	Es hert gleich off zu schnee, denn we<ä>rd 's Wetter wedder besser
WS3	Thu Kohle in ne Obe, dass de Me<(ö)>lch bāld an ze koche fängt.
WS4	De gudde alte Mann es me<(ö)>t dem Pferd dorch's Eis gebroche u<(o)>n en 's kalte Wasser gefalle.
WS5	Ear e<(ö)>s vor vier ŏber sechs Woche gestorbe.
WS6	Das Fe<(a)>ier woar ze heeß, de Kauches seie joau unge ganz schwarz gebrennt.
WS7	Ee<(a)>r esst de Eier ömmer ohne Salz u<(o)>n Pfeffer.
WS8	De Füß thue mee<(a)>r sehr wieh, e<(ö)>ch glob, e<(ö)>ch hoau se dorch gelofe.
WS9	E<(ö)>ch sei bei de<(a)>r gle<(a)>ich met demm Kochle<ä>ffel ö<ü>m de Ohre, du Aff.
WS10	E<(ö)>ch we<(ö)>ll's och nich mie we<(ö)>dder thue.
WS11	E<(ö)>ch schloau de<(a)>r gle<(a)>ich met demm Kochle<ä>ffel ö<ü>m de Ohre, du Aff.
WS12	Wo gehst du he<(ö)>n, sull we<(a)>r me<(ö)>t de<(a)>r gehe?
WS13	Es sei<(ai)>e schlechte Ze<(a)>ite
WS14	Me<(a)>in liebes Kind, bleib hier unge stehe, de schlömme Gäns' beiße de<(ö)>ch todt.
WS15	Du hoast heite am mehrschte gelehrt u<(o)>n be<(ö)>st oartig gewest, du kannst ruscher nach Haus' gehe als de Andre.
WS16	Du be<(ö)>st noach nich groß genugg, ü<(ö)>m eene Flasch Wein auszutrinke, du mußt erscht noach e Eng wachse u<(o)>n grösser were.
WS17	Geh', sei so gutt u<o)>n soag dei<(ai)>ner Schwester, se sull de Kleder vorr ei<(ai)>re Mutter fertig nähe u<(o)>n me<(ö)>t derr Berscht reen mache.
WS18	Hässt du e<(ö)>n gekennt! denn wär es andersch gekomme u<(o)>n es thät besser ü<(ö)>m em stehe.
WS19	We<(ä)>r hoatt mėė<(e)>r meine Korb me<(ö)>tt Flesch gestohle?
WS20	he<(a)>r thoat so, als hätte se e<(ö)>n zu<(ö)>m Dresche bestellt; se hoaue e<(ö)>s oaber selber gethoaue.
WS21	Wem hoatt ee<(a)>r de nei<(ai)>e Geschichte vergählt?
WS22	Man muß laut schrei<ai>e, sonst versteht ee<(a)>r u<(o)>ns nich.
WS23	Wee<(a)>r sei<ai>e mied o<(u)>n hoaue Dorscht.
WS24	Als wee<(a)>r gester Oab[oe]d zeröck kaome, dao laoge de Andre all ze Bett o<(u)>n waore fest am schlaofe.
WS25	Dee Schnee e<(ö)>s disse Nacht bei o<(u)>ns ligge geblebe, aobber hei<(ai)>te ze Morgens e<(ö)>s ėė<(a)>r geschmolze.
WS26	Hinger u<(o)>nsem Haus' stehe drei schene Aeppelbömches mö<(e)>tt rothe Aeppelches.
WS27	Könnt ee<(a)>r nich noch e Ogeblöckche off u<(o)>ns woarte, denn gehe wee<(a)>r me<(ö)>tt ei<(ai)>ch.
WS28	Ee<(a)>r dörft nich so 'ne Kingerei<(ai)>e trei<(ai)>be.
