---
Bogennummer: '17995'
Ort: Burgerhof (Dvorce/Javorina)
Gid: 547204
Transliterationsprojekt: e0903261-3aeb-499d-9404-1d95c2c3c3f2
Transliterent: Heinz Müller
Anmerkungen: "1. Der Bogen ist in Lateinschrift verfasst.\n2. Der Accent grave über\
  \ einem Vokal meint hier die lange       \nAussprache desselben. (WS01-03, WS08-11,\
  \ WS23-25, WS29, WS31, WS40)\n3. Der kurze Querstrich über dem Vokal meint hier\
  \ die lange Aussprache desselben. (nur in WS15) \n\n"
Erstelldatum: 2026-01-24 14:30:35.365603
Änderungsdatum: 2026-01-27 16:41:21.614133
Satzversion: 1
...
WS1	Ën Wëntr fliegn di traign Blàter ën dr Loft rim.
WS2	S wët g laich ofhern Schnej zu kumm, dann wëts Wàtr wiedr basser.
WS3	"Ònleg ë n Oubn, doß di Mëlich bold <k>ofkocht. {der Anfangsbuchstabe ""k"" wurde durchgestrichen}"
WS4	Der gute olte Monn ës mëdn Roß durchs Ais gebrochn ond es ëns kolde Wosser gefolln.
WS5	Har ës vor vier oder seks Wochen geschtorben.
WS6	Dos Fajer wor zu schtork, di Kuchn sain jo unar gonz schworz gebokn <(frbrie t)>
WS7	Har ëßt di Ajer immer una Solz und Twaffer.
WS8	Die Fiß tun mich wäj, ich dank ich hò se ufgeloufen.
WS9	Ich wor baim Waip <(Frau)> und hò ichs er gesoktond {gesokt ond}si hot gesokt, si wëlls ouch ihrer Tochtr sogn.
WS10	Ich wëlls ouch nëch mejer wieder tun.
WS11	Ich gàder glaich medn Kochlaffel ejns hendr di Òren du Off!
WS12	Wu gejst? soll ber mët dër kumm?
WS13	Dos sain schlajchte Zaiten.
WS14	"Mai liebes Kend, blaib hie unar schtejn, die schlajchten <(bäjsen)> Gans baißen dich tout {die Worte ""dich tout"" stehen oberhalb des Wortes ""Gans""}"
WS15	du host h ajt s mērste gelert ond worst Prov, du därfst ejer ehejm gejn wie die ondern.
WS16	Du bëst noch nëch gruß genuk e Flosch Wain allejn auszutrenken, du mußt erscht noch woksen ond grißer wern
WS17	Sok dainer Schwaster, die soll di Klejder for di Mutter färtich näjn ond mit der Birscht rejn mochen <(opbirschten)>
WS18	Hoder nen ihr gekonnt, dann wars ondersch kumm ond wollts basser um nen <S> schtejn. {der Großbuchstabe <S> wurde durchgestrichen}
WS19	War hot mer main Korp mët Flejsch geschtoulen?
WS20	"Ar hot esöü getonnals {""getoun als"", siehe letztes Wort} hätten se nen zus Draschen beschtollt, si hon sichs ober allejn getoun."
WS21	Wan hoder di naje Geschicht derzejlt.
WS22	man muß l aut kreischen sounst verschtäjt er uns nëch.
WS23	Bir sein mìt ond hon Durscht. <Duescht>
WS24	Wie ber gastern ehejm sain kumm, hon die ondern schun en Bàt gelàgn ond hon fast geschloufen.
WS25	"Gastern ën der Nòcht ës Schnej kumm, oder <(o)dr> {das <dr> steht über dem Wort ""oder""} hait frìe {der letzte Buchstabe ""e"" wurde durchgestrichen} ës er zergong. "
WS26	Henter unsern Haus schtejn drai schejne Appelbäjm met rouden Appelche n.
WS27	Wort noch en Ougenbleck, dann kumm ber met aich.
WS28	"Ir dërft keine sëtte Tomhaiten mochen. <machen> {der Buchstabe ""a"" im Wort <machen> wurde durchgestrichen und durch den Buchstaben ""o"" ersetzt}"
WS29	Unsre Bàrg sein nëch sehr huch, aire sein vil hicher.
WS30	Wiefl Twond Brout ond wiefl Wurscht wëllder hòn.
WS31	Ich verschtäj aich nëch, ir mußt a beschen gehàl rèdn.
WS32	Hoder kejn Schtëckelchen waiße Sejf for mich ofn Tësch gefun.
WS33	Sein Bruder wëll sich ën airen Gorten zwa naja Haiser baun.
WS34	"Dos<n> {der Buchstabe ""n"" wurde durchgestrichen} Wort ës nen von Harzen kumm."
WS35	Dos wor gut von aich. <rajcht>
WS36	Wos setzen dos vor Fäjgelchenhie {Fäjgelchen hie} oumar of dan Majerchen.
WS37	"Die Pauern hon fënf Kih nain Uksen {der Kleinbuchstabe ""u"" wurde mit dem Großbuchstaben ""U"" überschrieben} ond zwelf Schouf vors Dorf getrieben, die hon se gewellt verkäjfen."
WS38	"Die Lait sein hait olle <oole> {der zweite Buchstabe ""o"" wurde mit dem Buchstaben ""l"" überschrieben} ofn Falt ond mähn <(mäjn)>"
WS39	Gej nor, der braune hund tit der nischt.
WS40	Ich sai mëdn Laitn dou hënten ìber di Wies ëns Kòrn gefòrn.
