---
Bogennummer: '45107'
Ort: Walliswil bei Niederbipp
Gid: 16886
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-09-26 17:11:03.954979
Änderungsdatum: 2022-10-17 17:36:51.616287
...
WS1	Im Winter flüge die trochene Bletter i dr Luft ume.
WS3	Tue Chole n'i Ofe, dass d' Möuch <(Miuch)> {über 'öu' von 'Möuch' steht '(iu)'} gli afoht choche.
WS4	Dä guet aut Ma isch mit däm Ross dürs Isch broche und i {zunächst 'is', dann 's' durchgestrichen} s' chaute Wasser gheit.
WS9	I bi bi der Frou gsi und ha's ihre gseit, und si het gseit, si wöus ou ihrer Tochter säge.
WS10	I wott's ou nie me <(wider)> mache.
WS11	I houe di mit em Chochlöffu um d' Ohre, du Aff !
WS14	Mis liebe Ching, blib do unge stoh, die böse Gäns bisse d[i͜ z]'tod. {'di z'tod' ist am Zeilenende ganz eng geschrieben und unter 'z' ein Bogen gesetzt - oder soll mit dem Bogen das 'z' durchgestrichen werden ?}
WS18	Hättisch du ne kennt ?, de wär's <(ganz)> angers cho, und es tät besser um ihn stoh.
WS20	Er <(tuet so)> {darunter steht:} het e so ta, aus hätte si ne zum Drösche bschtöut; si heis aber säuber gmacht.
WS25	Der Schnee isch die Nacht blibe liege, aber hüt dä Morge isch er gschmouze {zunächst 'gschouze', dann zwischen 'h' und 'o' unten 'm' mit einem Bogen drumrum eingefügt}.
WS30	Wie mängs Pfung Wurscht u wie viu <(viel)> Brot weit dir ?
WS31	I verstoh euch nid, dir müesst es bitzeli luter rede.
WS32	Heit dir keis Stückli wissi Seife für mi ufem <uf (mim)> {'(mim)' steht unter 'em' von 'ufem'} Tisch gfunge ?
WS33	Si {zunächst 'Sie', dann 'e' durchgestrichen} Brueder wott für ihn zwöi schöni, neui Hüser i euem Garte boue.
WS36	Was für Vögeli hocke da obe ufem Mürli {zunächst 'Ma..', dann 'a' durchgestrichen} ? 
WS37	Die Bure hei föif Schtiere u nün Chüe und <(zwölf)> zwöuf Schöfli vor's Dorf brocht, die hei si wöue verchoufe.
WS38	Die Lüt si hüt aui dusse uf em Fäud u tüe mäije. <(mähen)>
WS39	Gang nume, der brun Hung <(tuet)> {darunter steht:} macht d nüt.
WS40	I bi mit dene Lüte do hinger über die Matte i z' Chorn gfahre.
