---
Bogennummer: '45033'
Ort: Hirschthal
Gid: 19404
Transliterent: fellmann
Anmerkungen: '{Dieser Bogen enthält zwei ganz unterschiedliche Handschriften: Die
  Übersetzungen der Wenker-Sätze sind in einer senkrechten Schrift notiert; die Rückseite
  des Bogens mit den übersetzten Einzelbegriffen ist in Schrägschrift. Ausserdem gibt
  es auf beiden Seite je eine Korrektur mit einem Rotstift und einige Korrekturen
  mit dünnem Bleistift,

  Unter den übersetzten Einzelbegriffen ist mit Bleistift notiert:} < äu  =   zweisilbig
  >'
Erstelldatum: 2022-01-31 19:13:35.728348
Änderungsdarum: 2022-01-31 19:13:35.728348
...
WS1	ìm wìnter flüüge die trochne bletter ì de̊r lùft ùme.
WS2	iez hö̀rrts grad uf schniie {zwischen 'n' und 'i' ist oben mit Bleistift 'è' eingefügt}, de wìrd s' wätter wìder besser.
WS3	tue chòle-n-ì òfe, dass d' mìuch gli chùnt {über 'n' ist mit Tinte ein weiteres 'n' notiert}.
WS4	dä guet aut {zwischen 'a' und 'u' ist mit Bleistift '|' und zwischen 'u' und 't' oben 'w' eingefügt} maa ìsch mìt e̊m ross iibroche ù-n-ìs chaut {zwischen 'u' und 't' ist oben dünn mit Bleistift 'w' eingefügt} wasser ghìit.
WS5	e̊r ìsch vòr vier òder sächs wùche gstòrbe.
WS6	s' füür het z' fescht prùnne, de chueche {der accent grave ist mit Tinte durchgestrichen} isch {mit dünnem Bleistift ist auf 'i' ein accent grave gesetzt} io ganz verbrönnt.
WS7	e̊r isst - d' èier ìmmer ooni sauz und pfäffer.
WS8	d' füess tüe me̊r eländ wee, i gloube, ì ha si dùregloufe.
WS9	ì bì bì de̊r frou gsìì ùnd ha-n-e̊r e̊s gseit, ùnd do het si gseit, si wöu 's de au no ììrem meitli säge.
WS10	ì wǜus ou nǜmme mache.
WS11	ì hòu de̊r iez dè glii de̊ chèue ùm d' oore-n-ùme dù aff.
WS12	wo gosch hìì, söue me̊r mìt-de̊r cho ?
WS13	e̊s sìnd schlächti ziite.
WS14	mis liebs chìnd, blib do ùnde stoo, di böse gänse biisse di sǜsch z' tōd.
WS15	dù hesch hǜt am meischte gleert ùnd bìsch ordli gsi, dù darfsch eener hèi goo as di andere.
WS16	dù bìsch no ni grōss gnue, fǜr ne fläsche wii ūsztrìnke, dù muesch zersch no chli wachse ùnd grȫsser wärde.
WS17	gang, bis so guet ùnd säg diner schwöschter, si söu d' chlèider fǜr ö̀ii mueter fèrtig näie ùnd si ūsbǜrschte.
WS18	hättisch ne dùù gchènnt, de wärs andersch use choo ùnd e̊s tät bèsser ùm-e̊n stō.
WS19	wär het me̊r mi chorb mìt fleisch gstòwe̱ {mir ist nicht klar, war der Unterstrich unter 'e' bedeutet}.
WS20	e̊r het e so tō, wì wenn si ne̊ zùm drösche bschtöut hätte. si händs aber säuber {zwischen 'u' und 'b' ist dünn mit Bleistib oben 'w' eingefügt} gmacht.
WS21	wem het e̊r di nöi gschìcht verzèut ?
WS22	me̊ mues lut brüeuwe, süsch verstoot e̊r is nìd.
WS23	me̊r sìnd müed ùnd händ dùrscht.
WS24	wo me̊r gèschter zōbe hei cho sìnd, sìnd di andee schȯ ìm bèt {mit Rotstift ist ein zweites 't' angefügt} gläge ùnd händ baud {zwischen 'u' und 'd' ist oben dünn mit Bleistift 'w' eingefügt} gschlōfe.
WS25	de̊ schnee ìsch hǜt z' nacht bì öis lìgge blìbe, aber hǜt am morge ìsch e̊r vergange.
WS26	hìnder öisem huus stönd drü schō̈ni öpfuböimli mìt rōte-n-öpfeli.
WS27	chönet e̊r nìt no-n-es ougeblìckli warte, de chöme me̊r de mìt e̊ch.
WS28	dìr dörfet n`t sèttigi chìnderėie triibe.
WS29	öisi bärge sìnd nìd so höch,  öichi sìnd vìu höcher.
WS30	wì mängs pfùnd wǜrscht ùnd wì vìu brot wänd e̊r ?
WS31	ì verstō-n-e̊ch nìd, dìr müend e chli lūter rède.
WS32	händ e̊r keis schtǜck wiissi sèife fǜr mìì ùf mim tìsch gfùnde.
WS33	si brüeder wott zwöi schȫni nǜii hüser ì öisem garte bùue.
WS34	das wort ìsch e̊m vòm härz chō.
WS35	dasch rächt gsi vone-n-ė.
WS36	was hòcke do fǜr vögeli ùf e̊m müürli obe.
WS37	d' buure händ fǜif ochse ùnd nǜn chüe ùnd zwöuf schȫfli vor s' dorf use procht ghā, die händ si wöuwe verchoufe.
WS38	d' lüüt sìnd hǜt aui ùf e̊m fäud ùsse ùnd tüend mä̀ie.
WS39	gang nùme, dr bruun hùnd tuet de̊r nüt
WS40	ì bì mìt de lüte do hìnde über s' land is chòrn gfaare.
