---
Bogennummer: '45961'
Ort: Riedern
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.552676'
...
WS8	"D' Füess tü m?r ['i'? dick durchgestrichen: ""mr""] grüsselich weh, î glûbe, i higi dür glüfe"
WS9	I bî bî dr Frouw gsi û ha ra 's gsît, û  sië [Akzent auf 'e' unklar]  het gsît, sî wellis o dr Tächter säge
WS10	I^ [auf 'I' steht Zirkumflex]  wîlls o (net) nid ûmhi mache
WS11	I schla dî gli mit dem Chelli ûm d' Ohre, dû Aff
WS12	Wa gîscht dû hî. sölle wer mît dr gah
WS13	Äs si schlächt Zite
WS14	Mis liebs Chînd, blib hië stah, di böse Gens bisse dîch z' tod
WS15	"Dû hescht hü^t am mîschte glehrt u bischt liëba gsi, dû darfscht ender hîm, als die ['e' durchgestrichen: ""di""] andere"
WS16	Dû bîscht no nid grossa gnueg fü^r ne Fläsche Wi us z' treche, du muescht z' erscht no chlî wagse u gröser wärde
WS17	Bîs sô guet û gang säg dir Schweschter, sië sölli d' Chle̱îder fü^r öji Muetter fertig neje û mît dr Bü^rste pûtze
WS18	We dû ne bchent hettischt, de wes andersch usacho û äs stûndi besser mît îhm.
WS19	Wär het mer mi Chorb mit dem Flîsch gstohle
WS20	Är het e so ta, als ob sî ne zûm trösche bstellt hette; sî hî 's aber sälber gmacht
WS21	Wem het är di nüwi Gschicht erzelt.
WS22	Mû muess lut brüelle, süscht verstît är ü^s  net [durchgestrichen]  nid
WS23	Wir si müed û hî Dûrscht
