---
Bogennummer: '44983'
Ort: Ammerswil
Gid: 18356
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-01-19 15:32:26.488766
Änderungsdatum: 2025-01-19 15:55:16.650071
Satzversion: 1
...
WS1	Im Wnter flüge di trochne Blätter i der Luft ume.
WS2	Es hört gli uf schneie, denn {Verdoppelungsstrich auf 'n'} wirds s' Wätter wieder besser.
WS3	Leg Holz a, dass d' Milch bald süt.
WS4	De guet alt Ma ist met de Rosse of em Is ibroche ond is {zunächst wohl 'es'} chalt Wasser gfalle.
WS5	Er isch vor vier oder sächs Woche gstorbä.
WS6	Du hest z' stark gheizt gha, de Chueche sind jo unde verbrönnt {Verdoppelungsstrich auf 'n'}.
WS7	Er isst die Eier immer {Verdoppelungsstrich auf 'm'} ohne Salz & Pfäffer.
WS8	D' Füess tüent mer chäibe weh, i gläü̾be {über 'a' stehen zwei Strichlein; über 'u' stehen zwei Punkte und darüber ein links offenes Häkchen, hier mit ' ̾ ' transkribiert} , i ha si doregloffe.
WS9	I be be der Frau gsi [o]nd {zunächst wohl 'und', dann 'u' mit 'o' überschrieben} si het gsäit, si wels äu ihrer Tochter säge. 
WS10	I wills äü {über 'a' stehen zwei Strichlein, über 'u' stehen zwei Punkte} nie meh mache.
WS11	I häu {über 'a' sthen zwei Strichlein, über 'u' stehen zwei Punkte} der grad de Löffel om d' Ohre, du Aff.
WS12	Wo gohst he, sell e mer mit der cho ?
WS13	Es send schlächte Zyte.
WS14	Du liebs Chind, blib do onde stoh, sost bisedé d' Ganse z' tot.
WS15	Du hest höt am meste glehrt & bist brav gsi, du darfst drumm {Verdoppelungsstrih über 'm'} ehner häi goh als de andere.
WS16	Du best no z' chli, e Fläsche Wy us z' trinke, du muest zerst no e chli wachse ond grösser wärde.
WS17	Gang, bis so guet ond säg diner Schwöster, si sell dé Chleider för eué Muetter fertig büeze ond mit der Börste botze.
WS18	Hätteste kennt {Verdoppelungsstrich auf 'n'} !  denn {Verdoppelungsstrich auf 'n'} wärs andersch use cho ond denn {Verdoppelungsstrich auf 'n'} wörds besser om 'ne stoh.
WS19	Wer het mer min horb mit dem Fleisch gstohle ?
WS20	Er het so toh, als hätte sene zom Drösche bstellt; se händs aber sälber gmacht.
WS21	Wem het er dé nöi Gschicht verzellt ?
WS22	Me mues brüele, sost verstoht er is ned.
WS23	Mer send müed ond händ Dorst.
WS24	Wo mer gester z' obe zrogg cho send, end de andere scho im Bett gsi od {sic!} händ fest gschlōfe {Verdoppelungsstrich auf 'o' ?}.
WS25	De Schnee esch de Nacht be euis ned vergange aber am Morge.
WS26	Hender {zunächst 'Hi' begonnen?} eusem Hus stöhnt drü schöni Öpfelbaimli met rote Öpfle.
