---
Bogennummer: '44895'
Ort: Hausen
Gid: 16373
Transliterationsprojekt: Citizen Science Projekt
Original Anmerkungen: 'Anmerkung {unterstrichen}: Alle Wörter in Schriftdeutsch mit
  i , z.B. Winter, wird, Milch, ist, etc. werden bei uns mit einem abgetönten kurzen
  e gesprochen. Dort, wo das e betont wird, habe ich ein `-Zeichen angebracht, gleich
  dem französischen père oder mère. ZB. bei vier muss das e heraustönen.'
Erstelldatum: 2023-06-27 13:58:40.265101
Änderungsdatum: 2023-06-27 16:55:46.806855
Satzversion: 1
...
WS1	Im Winter flüüge di trochne Blätter i der Loft ome.
WS2	Es hört glii {zunächst 'gliich', dann 'ch' mit '//' übertippt} uf z' schneie, denn werd s'' Wätter weder besser.
WS3	Tue Chole in Ofe, dass d' Melch bald z' choche afoot.
WS4	De guet alt Maa est met em Ross dur's Iis broche und is chalt Wasser gfalle.
WS5	Er est vor vièr oder sächs Woche gstorbe.
WS6	S' Füür est z' starch gsii, d' Chueche send jo onde {zunächst 'unde' getippt, dann manuell 'u' mit 'o' überschrieben} ganz schwarz brönnt.
WS7	"Er esst d' Eier {zunächst ""d' Eeier"" getippt, dann 1.'e' mit '/' übertippt} emmer ohni Salz ond Pfäffer."
WS8	D' Füess tüen-mer so weh, i glaube, i ha si duregloffe.
WS9	J be bi der Frau gsii und han er es gseit, ond si het gseit, si well 's au ehrer Tochter säge.
WS10	J well 's au nümme tue.
WS11	J hau dr met em Chochlöffel um d' Ohre, du Aff !
WS12	Wo gohst hee, selle mer met der cho ?
WS13	Es send chlächti {sic!} Ziite !
WS14	Mis lièb Chend, bliib do unde stoh, di böse Gäns biisse di z' tod.
WS15	Du hest hüt am meiste gleert und best artig gsii, du darfst früener hei as di andere.
WS16	Du best nonig gross gnueg, om en Fläsche Wii us' ztrenke, du muescht no-chli wachse ond grösser wärde.
WS17	Gang, bes so guet und säg diner Schwöster, si sell d' Kleider för eu-i Muetter fertig neie und met der Börste suuber mache.
WS18	Hättist è kennt, denn wärs anderst cho und es stiènd besser um ne.
WS19	Wer hett mer min Chorb met {zunächst 'mit' getippt, dann manuell 'i' mit 'e' überschrieben} Fleisch gstole ?
WS20	Er hett so tho, as hätte-si ne zom Tröache  bstellt; si händs aber sälber tho.
WS21	Wemm hett er di neu Gschecht verzellt ?
WS22	Me muess luut brüele, sost verstoht er is {zunächst 'ist', dann 't' mit '/' übertippt} ned.
WS23	Mer send müed und händ Dōrst.
WS24	"Wo mer gester Z/Obe {vielleicht vertippt? sollte es heissen "" z' Obe"" ?}  zrogg {zunächst 'zrugg', dann 'u' mit 'o' übertippt} cho send, send di andere scho im Bett gsii ond händ fest gschloofe."
WS25	De Schnee est diè Nacht bi eus legge blebe, aber höt am Morge est er gschmolze.
WS26	Hender öisem {zunächst 'öusem', dann 'u' mit 'i' übertippt} Huus stöhnd drüü schöni Oepfelbäumli mit roote Oepfle.
WS27	Chöned er net no en Augebleck uf is {zunächst 'ist', dann 't' mit '/' übertippt} warte, denn gön-mer met euch,
WS28	Ehr dörfe ned settige Chendereie triibe.
WS29	Oeisi Bärge send ned grad höch, öi-i send vel höcher.
WS30	Wi mängs Pfond Worst und wevel Brot wänd er ?
WS31	I verstohn-ech ned, er müend es bezèli lüüter rede.
WS32	Händ er kes Stückli wiissi Seipfe för meh of em Tesch gfonde ?
WS33	Sin Brüeder well för enn zwai schöni neui Hüüser i euem Garte boue.
WS34	S' Wort est em vo Härze cho.
WS35	Das est rächt gsii vonene !
WS36	Was setze do för Vögeli of dem Müürli ?
WS37	D' Buure händ föif Stière, nühn Chüe ond zwölf Schööfli vor s' Dorf broocht, dièhänd {Wortzwischenraum fehlt} si welle verchaufe.
WS38	D' Lüüt send höt alli doss of em Fäld ond mèie.
WS39	Gang nome, de bruun Hond tuet-Dr nüd.
WS40	J be met de Lüüte do hende über d' Matt es Chorn gfahre.
