---
Bogennummer: '51728'
Ort: Schönwerder
Gid: 124498
Transliterationsprojekt: Citizen Science Projekt
Transliterent: 'Regina Elisabeth Morgen '
Erstelldatum: 2024-10-05 11:41:56.287905
Änderungsdatum: 2024-10-06 15:47:14.370458
Satzversion: 1
...
WS1	In'n Winta fleg'en de dröjen Blära dörcht Luft rümhäa. 
WS2	Dat höat, gleich up to schnien, dä wat dat Wära werra bessa. 
WS3	Doh Koͣhl' {O wird wie halbes A ausgesprochen, siehe Anm. Rückseite} in den'n Oͣb'n, dat de Melk ball an to koͣk'n fängt. 
WS4	De god oll Mann is mit dat Päat dö<ä>{ä steht über ö}rcht Is broͣk'n {O wie halbes A ausgesprochen, siehe Anm. Rückseite}un in det koll Woͣta fal'l. 
WS5	He is vörr vea urra söß Wochen stoͣrbn {O wird wie halbes A ausgesprochen, siehe Anm. Rückseite}.
WS6	Dat Füha waß to heet, de Kok'n sind jo unna ganz schwart brennt. 
WS7	He ätt de Eia ümma oͣhn {O wird wie halbes A ausgesprochen, siehe Anm. Rückseite}Soͣlt un Päpa. 
WS8	De Föth dohn mi seha weh, ick löw, ick heb's mi dö<ä>{ä steht über ö}rch lop'n. 
WS9	Ick bün bi de Fru wäßt un hept äa sächt, un se sächt, se wullt ok äa Dochta säg'n. 
WS10	Ick willt ok nich wärra dohn. 
WS11	Ick schloͣ {O wird wie halbes A ausgesprochen, siehe Anm. Rückseite} di gleich mit'n Koͤkläpel üm de Ohan, du Oͣp!
WS12	Wo jeist du henn, sö<ä>{ä steht über ö}h'l wi mit di kom'hm.
WS13	Dat sind schlecht Tid'n. 
WS14	Mi lew Kind bliew hie unna stoͣn, de bös Jäns biet'n di dodt. 
WS15	Du häst hüt am meistn leat un bist artig west, du darfst früa noͣ Hus goͣan aß dë Annan
WS16	Du bist noch nich grot nuch, üm en Flasch Wien uttodrink'n, du müßt east noch'n Enn wassen un gröte wahr. 
WS17	Goͣh, sei so got un segg dien Schwästa, se sall de Klera för ju Mutta fatich näjen un mit de Böst rein moͣken. 
WS18	Harrst du em kennt! dä weat annas komm'n un däd bessa um em stoͣahn. 
WS19	Wäa hät mi min Korf mit Fleesch stoͣhl?
WS20	He deit so, aß harrn se em to Döschen bestellt; se hämm't awa alleen doͣhn. 
