---
Bogennummer: '33745'
Ort: Urberach
Gid: 99369
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-04-23 18:36:42.601015
Änderungsdatum: 2022-04-23 18:36:42.601015
...
WS1	Im Winder <Winter> {t mit d überschrieben} fliehe die drockene Blerrer in d'r Luft erüm.
WS2	'S hört gleih uff se scheie, dann werd's Werrer wirrer besser.
WS3	Duh Koule in de Ouwe, daß die Milch bohl anfengt zu koche.
WS4	Der gut olt Mann is mit'm Gaul dorchs Eis gebroche un in's kolt Wasser gefalle.
WS5	Er is vor vier äber sechs Woche gestoorwe.
WS6	'S Feier wor sau haaß, die Kuche sein jo unne ganz schwarz gebrennt
WS7	Er eßt die Aier immer ohne Solz un <und> {Buchstabe gestrichen, Korrektur} Peffer.
WS8	Die Fiss' don mer sehr w[é]ih, ich glabe, ich hon se dorch gelafe.
WS9	Ich sein bei d'r Fraa gewese unn hon er gesoat, und sie hot gesoat, sie woll's aach ehrer Dochder soan.
WS10	Ich will's aach nit mee wirrer dohn.
WS11	Ich haache dich gleich mit d'm Kochleffel im die Ohrn, du Aff!
WS12	Wou geihsde anne, selle mer mit d'r gehe?
WS13	'S sein schlehgte Zeire!
WS14	Mei lieb Kehd, blei do unne stehn, die bäise Gens beiße dich doud.
WS15	Du host heit am mehrschte gelärt unn bist ortig gewese, du därfst früher hame gehn, als die Onnern <Annern> {A mit O überschrieben}. 
WS16	Du bist noch nit grouß genunk, ume Flasch Weihn <Weihng> {g durchstrichen}, aus se drinke, du mußt erscht noch e bische wochse unn gräißer wärn.
WS17	Gäî, sei sou gut und soahs deiner Schwester, sie soll die Klarer for eier Motter fertig nehe unn mit d'r Berschte rim mache.
WS18	Hest du en gekennt! Dann wers anners kumme, unn es deht besser imm[é]n {möglicherweise als Trennungsstrich zu verstehen: imm en} stehn.
WS19	Wär hott mer mei Wanne mit Flaasch gestoahle?
WS20	Er hot sou gedou {Tinte verschmiert, wohl: Trennungsstrich} als herre sen zum Dresche bestellt; so hon's äwer selbst gedou.
WS21	Wem horr'r die nei Geschicht verzäihlt?
WS22	M'r muß hart greische, sunst verstäîht'r ons nit.
WS23	Mer sein mid unn hon dorscht.
WS24	Als ner gestern Owend zurückkumme sein, do honse schunnt all in de Bette gelähe unn hon fest geschlofe.
WS25	D'r Schnäî ist die Nocht bei ons leije geblebe {unbekannter Buchstabe durchgetrichen}, äwer <äber> {b durchgestrichen, w darüber; Korrektur} heit morje iss'r schonn geschmolze.
WS26	Hinner oam Haus stehn drei scheene Ebbelbem mit roure Ebbelchen.
WS27	Kenn d'r nit noch'n Ageblick uff ons woarte, mer welle mit geh.
WS28	Ehr dehrft nit sou Kinnereie treibe.
WS29	Ohr Berke sein nit sou houch, eier sein veel häîger <häîger veel> {Worte vertauscht, mit Nr. darüber korrigiert}.
WS30	Wiw'l Pund Worscht unn wiw'l Brod woll d'r hou?
WS31	Ich verstehn eich nit, ehr misst e bisje laurer schwätze.
WS32	Häd'r ka Stück weiß Safe for mich uff meim Disch gefunne?
WS33	Seu Brurer will sich zwa scheene neie Heiser in eierm Goarte baue.
WS34	Deß Wort iss em vom Herze kumme.
WS35	Deß woar rähgt vonn en!
WS36	Woas setze do for Vihl uwe uff'm Meierche?
WS37	Die Bauern hohn fünf Ochse unn neu Kieh unn zwelf Schefche vor's Dorf gebrogt; die wollde se verkaafe.
WS38	Die Leit sein heit all draus uff'm Feld unn mehje.
WS39	Gäî norr, d'r brau Hunn dutt d'r nicks.
WS40	Ich sein mid'r Leit <Leid> {wohl d mit t überschrieben} do hinne üwer die Wiese in's Korn gefoahrn.
