---
Bogennummer: '44613'
Ort: Fimmelsberg
Gid: 18427
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-09-16 15:22:00.098961
Änderungsdatum: 2025-09-17 17:01:49.638497
Satzversion: 1
...
WS1	Jm Winter flüged di trochne Blätter i de Lu̇ft {rumkorrigiert} ome {zunächst 'ume'}.
WS2	Es hört glii uf schneie; denn wört's {zunächst 'werd'} Wetter wider besser.
WS3	Tue Chole in Ofe, dass d' Milch {unterstrichen} bald afangt choche {darüber steht unterstrichen:} < süüde >. {hinter dem Satz in eckigen Klammern:} < Milech >
WS4	De guet alt Maa ischt mit sim Ross uf em Jis iproche, und ischt is chalt Wasser gheit.
WS5	Er ischt vor vièr oder sechs Woche gschtorbe.
WS6	's Für ischt z' gross gsi, d' Chueche {zunächst 'chueche', dann 1.'c' dick mit 'C' überschrieben} send jo one {zuächst 'une'} ganz schwarz verbrennt gsi.
WS7	Er isst d' Eier al ohni Salz und Pfeffer.
WS8	D' Füess tünd {'n' ist dick über etwas anderes geschrieben} mer schrecklech weh, i glaub, i ha si doreg'laufe.
WS9	J bin bi dr Frau gsi und han er es gseit, und si het gseit, si wel es au erer Töchter säge.
WS10	J will 's au nüme tue.
WS11	J schlag dr gli {'Kelle' ist durchgestrichen} d' Chelle um d' Ohre {'O' ist dick 'o' geschrieben} , du Aff !
WS12	Wo gohscht ane, sölled' mer mit dr cho ?
WS13	Es sind schlechti {an 'h' rumkorrigiert} Zyte !
WS14	Mi liebs Chind, blieb do one {zunächst 'une', dann 'u' dick mit 'o' überschrieben}  stoh, di böse Gäns biesse di {zunächst 'biessedi, dann mit unterbrochenem Schrägstrich getrennt 'biesse¦di'} suscht tod.
WS15	Du hescht hüt am meiste glehrt {rumkorrigiert} und bischt artig gsi, du tarscht früher hei als die andere.
WS16	Du bischt no nöd gross gnueg, om e Fläsche Wii {zunächst wohl 'Wie'. dann 'e' dick mit 'i' überschrieben} ustrinke, du muescht erscht no e chli wachse und grösser werde,
WS17	Gang, bis so guet und säg diner Schwöschter, sie söll d' Chleider für euri Mueter fertig neie und mit de Börschte suber mache. 
WS18	Hettescht du en g'chennt !  denn wärs anderscht cho, und es‿tät {im Wortzwischenraum ist ein dünner senkrechter Strich sichtbar: Bedeutung?} besser om {zunächst 'um'} en sto. {dahinter in eckigen Klammern:} < uns es gäng em besser >
WS19	Wer het mer min Chorb mit em Fleisch gstole ?
WS20	Er tuet e so {zunächst 'tuet so', dann über den Zwischenraum 'e' eingefügt}, als öb s' en zum Trösche b'stellt hetted; sie hend 's  aber selber tue.
WS21	Wem het er die neu G'schicht verzellt ?
WS22	Mer mues lut schreie, suscht verstoht er üs {zunächst 'mr en', dann durchgestrichen und darüber 'er üs'} n[ü]d {unklar, ob zunächst 'näd' oder 'nöd'}.
WS23	Mer send müed und händ Durscht.
WS24	Wo mer {zunächst 'Als mer', dann durchgestrichen im Zwischenraum oben 'Wo' eingefügt} gescht Obed z'ruckcho send, do send die andere scho im Bett g'lege und hend fescht g'schlofe.
WS25	Dr Schnee ischt die Nacht bi üs lige blėbe, aber hüt e Morge ischt er gschmolze.
WS26	Hinder üsem Hus stönd drei scchöni Öpfelbömli mit rote Öpfeli.
WS27	Chöned {zunächst 'Chönd', dann oben 'e' zwischen 'n' und 'd' eingefügt} er nöd no e Wieli {rumkorrigiert} warte, denn göm mer mit eu.
WS28	Eer {zunächst 'Ehr' ?, dann 2.Buchstabe dick mi 'e' überschrieben} dörfed nöd dere Geegelizüg triebe.
WS29	Üseri Bärg send nöd so hoch, eueri send viel höcher.
WS30	Wöviel Pfund Worscht und wöviel Brot müend er ha ?
WS31	J verstand i nöd, ehr müend e bitzeli luter rede {mit gepunkteter Linie unterstrichen} {dahinter in in eckigen Klammern:} < schwätze >
WS32	Hend ehr kei Stüggli wissi Sapfe für mi uf mim Tisch gfunde ?
WS33	Sin Brüeder will zwei schöni neui {zunmächst 'neue'} Hüser i euem Garte baue.
WS34	Das Wort isch em vo {zunächst 'vom', dann 'm' durchgestrichen} Herze cho.
WS35	Das isch recht gsi vo ene.
WS36	Was hogged do für Vögeli {'obe' ist durchgestrichen} uf em Mürli obe ?
WS37	D' Bure hend füf Ochse und nü Chüe und zwölf Schöfli vor 's Dorf brocht; si hend si welle verkaufe.
WS38	D' Lüt send hüt alli dusse uf em {'f' hat eine lange Verbindung bis 'e'} Feld und meied.
WS39	Gang no, de bru Hond tuet dr nüt.
WS40	J bin mit de Lüte do hine über d' Wise {'s' ist dick über einen anderen Buchstaben geschrieben} i {zunächst 'is', dann 's' durchgestrichen } 's Chorn gfare.
