---
Bogennummer: '17979'
Ort: Holumtz (Holumnica)
Gid: 547190
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Heinz Müller
Anmerkungen: "1. Der Bogen ist nicht in deutscher Kurrentschrift verfasst. \n2. Das\
  \ diakritische Zeichen \" ̊ \" unterscheidet den Buchstaben \"u\" vom Buchstaben\
  \ \"n\". \n3. <kůrz> oder <kürz> (WS17) bzw. <lang> notiert über oder unter einem\
  \ Wort meint: die kurze bzw. lange Aussprache des Vokals.\n"
Erstelldatum: 2024-03-01 18:02:39.120419
Änderungsdatum: 2025-03-11 19:51:21.802110
Satzversion: 1
...
WS1	Ën Wėnter {richtig: Wënter} flieg'n die traig'n Bláter ën der Loft rëm.
WS2	S hëert glaich of zů schnein {richtig: schnain}, dann ward't dos Wáter wieder basser.
WS3	Tů Keül'n ën Eüb'n, doss die Mëlich bold onhëbt zů koch´n.
WS4	Dar gůte <kůrz> olte Monn es mët'n Ross durchs Eis {richtig: Ais} gebrochen ond ėns {richtig: ëns} kolte Wosser gefol'n.
WS5	Der {richtig: Dar} ės {richtig: ës} vor vier ober sëchs Wochn gestorbn.
WS6	"S Faier wor zů stork {ausgesprochen mit langem geschlossenen ""o""} , die Kůchn <kůrz> sájn {richtig: sain} je ůnar gonz schworz {ausgesprochen mit langem geschlossenen ""o""̌} gebrieht. {auch: ongebrieht}"
WS7	der {richtig: dar} ësst die Aier fort ohne Solz ond Tfaffer.
WS8	"Die Fiss tůn mer weih {richtig: wajh} , ich dank, ich ho/se {wird wie das Wort ""Hose"" ausgesprochen: ho‿se} důrchgeleüf'n."
WS9	"Ich sái bej {richtig: bai} der Frah gewást, ond hos er {wird zusammengezogen ausgesprochen: hos‿er} gesogt; ond sie hot gesogt, sie wėll s {richtig: ""wëll´s"" oder ""wëlls"". Siehe WS10, zweites Wort} eüch ihrer Tochter sogen."
WS10	Ich wëlls eüch nëch më wieder tůn.
WS11	Ich schleü dich glaich mėt'n {richtig: mët'n} Kochlaff'l ëm die Ohr'n, du Off!
