---
Bogennummer: '45977'
Ort: Schwandi
Gid: 16347
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-03-26 17:57:55.579492
Änderungsdatum: 2022-03-26 17:57:55.579492
...
WS1	Im Winter flügä die trochenä Bletter in der Luft umha.
WS2	Es hört glich uf z' schneie, de wird s' Wetter wieder besser.
WS3	Tu Kohlä i Ofen, dass d' Milch bald afeht koche.
WS4	De gut, alt Ma ischt mit de Rosse dür [zI]Ysch {zunächst wohl 'z Ysch', dann zwischen 'z' und 'Y' ein 'I' gequetscht} [k]it un i d z' kalt Wasser gfallä.
WS5	Er isch vor vier oder sächs Woche gstorbä.
WS6	D' z Füer isch z' stark gsi, die Chuche sind ja unte ganz verbrennt !
WS7	Är isst d' Eier ging ohni Salz u Pfäffer.
WS8	Die Füess tüe mir schüchter weh, ich gloubä, i higesi durchgemacht. {darunter ist ergänzt:} <i higi Blattere g'macht.>
WS9	I bi by {zunächst 'bi', dann 'i' überschrieben mit 'y'} der Frou gsi, u. ha es ihr gsit, u si het gsit, si welle es ihrer Tochter o säga.
WS10	I will es og ni me umhi {zunächst 'uhmhi', dann 1.'h' durchgestrichen} tue.
WS11	I schla di angenz mit dem Chochlöffel is, du Aff !
WS12	Wo geiist {vielleicht zunächst 'gest', dann zwischen 'e' und 's' von unten 'h' eingeflickt, dann dick überschrieben 'geiist'} du hi; sollä wir mit dr' cho ?
WS13	Es si schlächt Zýtä.
WS14	Mis lieb Chind, blieb hi unte stah, die böse Gäns {zunächst 'Gänz', dann 'z' mit 's' überschrieben} bisse dig z'tot.
