---
Bogennummer: '36834'
Ort: Lauterbourg
Gid: 34502
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Original Anmerkungen: 'Der Name des Lehrers lautet Adolf Johannes, geboren in Lauterburg.

  Die Übersetzung geschah durch den Lehrer.'
Erstelldatum: 2025-05-19 13:15:31.267333
Änderungsdatum: 2025-05-19 13:44:24.391320
Satzversion: 1
...
WS1	Im Winter fliegen d'truckene Bletter in d'r Luft rum.
WS2	's hért gleich uff ze schneigen, no werd 's Wetter wieder besser.
WS3	Thu Kohle in de Offen, daß d'Milch ball a̰nfangt {Tilde unter a und n} ze kochen.
WS4	Der gut alt Mann isch mit dem Gaul durch's Eis gebroche un in's kalt Wasser g'falle.
WS5	Er isch vor vier oder sechs Woche g'schtorbe.
WS6	's Feuer isch ze schtark gewést, d'Kuche sinn jo unne ganz schwarz gebrennt.
WS7	Er eßt d'Eier alsfort uhne Salz unn Pfeffer.
WS8	D'Fieß thu m'r weh, i mehn, i hab se durchgeloffen.
WS9	I bin bei der Fraa gewést unn hab 'sere gsagt, unn no hat se gsagt, sie will 's a ihre Tochter sagen.
WS10	I will's a nimmie wieder mache.
WS11	I schlag dr gleich mit dem Kochlèffel um d'Ohren, du Aff.
WS12	Wu gehsch hḭn {Tilde unter i und n}, solle mr mit dr gḛn {Tilde unter e und n}.
WS13	's sinn schlechte Zeite.
WS14	Meḭn {Tilde unter i und n} liebs Kind, bleib do unne stḛn {Tilde unter e und n}, die bèse Gäns beiße di dodt.
WS15	Du hasch heut am menschte gelernt unn bisch brav gewést, du derfsch frīer hḛm {Tilde unter e und m} als d'Annere.
WS16	Du bisch no nit groß genung, um e Budell Wa̰ni {Tilde unter a und n} <(franz. Ausspr. von an)> auszetrinke, du musch zerscht noch wachse unn greßer werren.
WS17	Geh, sei so gut unn sag deiner Schweschder, sie sott die Kläder for euer Mutter fertig nègen unn mit dr Bèrscht sauwer mache.
WS18	Hèttsch du ne gekennt! no wèr's annerscht kumme, un 's thèt besser um ne sthḛn {Tilde unter e und n}.
WS19	Wer hat mer meḭn {Tilde unter m, e und i} Korb mit Flǟsch g'schtohlen?
WS20	Er hat sich gschtellt, als ob se ihn zum dreschen bschtellt hätten; sie habens aber selbscht gemacht.
WS21	Wem hat er die neu Gschicht verzehlt.
WS22	M'r muß laut kreischen, sunscht versteht er uns nitt.
WS23	Mir sinn mied unn henn D[ä]rscht.
WS24	Wie m'r geschtert Owet zurückkumme sinn, sinn die Annere schunn im Bett gelechen unn sinn fescht am schlofen gewést.
WS25	Der Schnee isch heut Nacht bei uns lichen gebliwe, awer heut Morgen isch er gschmolzen.
WS26	Hinner unserm Haus stḛn {Tilde unter e und n} drei schḛine {Tilde unter e und i; beide Buchstaben in lat. Schrift} Apfelbämle mit rothe Äpfele.
WS27	Kennen er nit noch en Agḛnblick {Tilde unter e und n} uf uns warten, no gḛn {Tilde unter e und n} mer mit ich.
WS28	Ihr derfen kenn so Kindereien treiwe.
WS29	Unser Berg sinn nit arg hoch, euri sinn viel hēcher.
WS30	Wie viel Pfund Worscht unn wie viel Brod wenn ĕr?
WS31	Ich versteh ich nit, ĕr missen e bissel lauter rĕden.
WS32	Henn ĕr kenn Stickel weißi Säf for mich uff meim Tisch g'funne.
WS33	Seḭn {Tilde unter i und n} Bruder will sich zwä schḛne neie Heiser in eirem Garten bauḛn {Tilde unter e und n}.
WS34	Das Wort isch em vum Herz kumme!
WS35	Das isch recht gewest vun ihne.
WS36	Was sitzen do for Vegele owen uff dem Meierle?
WS37	DÄBauere hen finf Ochsen unn neḭn {Tilde unter i und n} Kieh unn zwelf Hämmele <(u. Schèfle)> vor's Dorf gebrocht g'hat, die hĕn se verkāfe welle.
WS38	D'Leit sinn heit all draus uff em Feld unn mēchen.
WS39	Geh' norr, der braun {Tilde unter u und n} Hund thut d'r nix.
WS40	Ich bin mit denen Leit do hinnen iwer d'Wis ins Korn gefahre.
