---
Bogennummer: '44635'
Ort: Glattfelden
Gid: 18015
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-02-16 17:25:02.848376
Änderungsdatum: 2025-02-16 17:25:02.848376
Satzversion: 1
...
WS1	Im Winter flüged di trochne Bletter i der Luft ume.
WS2	Es hört jetz dänn grad uf schneje; dänn wird s' Wetter wider besser.
WS3	Tue Chole-n-in Ofe, daß d' Milch bald sü̱t. <( ̱  langes ü .)>
WS4	De guet alt Ma ischt mitem Roß dur 's Ys dure 'proche und is chalt Wasser gfalle.
WS5	Er ischt vor vier oder sechs Wuche gstorbe.
WS6	s' Für ischt z' starch gsy, d' Chueche sind une ganz schwarz 'prènnt. <(p)>
WS7	Es ißt d' Eier immer ohni Salz u. Pfeffer.
WS8	D' Füeß tue-mer fescht weh; i glaube-n-i has wund gloffe.
WS9	I bi bi der Frau gsy und han er es gseit und si hät gseit, si well 's au der Tochter sä̮ge. <(kurzes äe)>
WS10	I will 's au nüme tue.
WS11	I schlah der jetz dä̮nn de̱ Chelle-n-um {zunächst 'Chelle um', nachher oben '-n-' zwischen 'Chelle' und 'um'  eingefügt}  d' Ohre, du Aff !   <(ä̮e)>
WS12	Wo {senkrechter Strich durchgestrichen} gasch hy ?  Müe mer mit der gah  <(o͜a !)>
WS13	Es sind schlecht Zyte !
WS14	Mys lieebs Chind, blib da une stah  {über 'a' steht:} <(oa)>  ; die böse Gänse bießed di tod.
WS15	Du häscht hüt am meischte glehrt und bischt artig gsy; du {'d' ist durchgestrichen} törfscht früener hei gah als di {zunächst 'die', dann 'e' durchgestrichen} andere. <(di)>
WS16	Du bischt nanig groß gnueg, <(od. na z' chly)>  um e Fläsche Wy usztrinke, du muescht zerscht na wachse-n-und größer werde.
WS17	Gang, bis so guet u. säg dyner Schwöschter {zunächst 'Schwöster', dann oben 'ch' zwischen 's' und 't' eingefügt}, si sell d' Chleider für euri Muetter fertig büeze u. mit der Bürste butze.
WS18	Hättischt en du kennt !  dänn wär 's anderscht cho und es tät besser um en stah.
WS19	Wer hät mer myn Chorb mit em Fleisch gschtole ?
WS20	Er hät  derglyche ta, als hätted 's en zum Trösche bschtellt; si händ 's aber selber 'ta  <(gmacht, gmachet)>
WS21	Wem hät er di neu Gschicht verzellt ?
WS22	Me mues lut rüefe, suscht verstaht <(oa)>  er is nüd.
WS23	Mer sind müed und händ Turscht.
WS24	Wo mer geschter Zabig zrugg cho̮ sind, <( o̮ gegen u̱ )> do sind die andere scho im Bett gsy u händ fescht gschla̮fe <(ao)>
WS25	De Schnee ischt hüt z' Nacht <(auch: hinicht !)> lige b̮libe <(p)> ; aber hüt de Morge isch er vergange.
WS26	Hinder eusem Hu̇s stönd drei schöni Öpfelbäumli mit rote-n-Öpfeli.
WS27	Chömmed er nüd na en Augeblick uf is warte, dänn gömer mit i.
WS28	Ihr törfed nüd e so Chindersache <(od: Chinderei̮e)>  triebe. <( -eje !)>
WS29	Eusi Berg sind nüd so höch; <(auch hoch)> eui sind vil höcher.
WS30	Wie mängs Pfund Wurst u. wie vil Brot wend er ? <(wie mänge Le̱i̱b  <ei wie im Deutschen, z.B. Weib.> , wie mängs Brot)>  {in der (...) gibt es eine weitere Erklärung des Lehrers}
WS31	Ich verstahn i nüd; er müend e chli lüter rede.
WS32	Händ er keis S̱̮tückli <(S̱c̱ẖtückli)> {'Sch' ist unterstrichen} wießi Seupfe für mich uf mym Tisch gfunde ?
WS33	Syn Brüeder wott sich zwei schöni neui Hüser in euem Garte boue
WS34	Da  {Der Lehrer schreibt '(s)' und streicht 's' durch} Wort ischt em vo Herze cho.
WS35	Das ischt recht gsy vonene.
WS36	Was sitzed da für Vögeli uf dem Mürli obe ?
WS37	D' Pure händ feut <(öi)> Stiere u. nün Chüe und zwölf Schöf̮li  <( f ganz weich!)> vor 's Dorf 'pracht; diè händ 's welle verchaufe.
WS38	D' Lüt sind hüt alli dusse-n-uf em Feld und mäjed <(od. - uf em Feld usse -)>
WS39	Gang nu, de brun Hund tuet der nüt.
WS40	I bi mit dene Lüte da hine über d' Wise-n-is Chorn gfahre.
