---
Bogennummer: '27095'
Ort: Okriftel
Gid: 97663
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: 'Der Bogen ist stellenweise schwer lesbar.

  Der Informant ist an vielen Stellen offensichtlich von der Schriftsprache beeinflusst
  (Satz 4 "gebrochen" mit finalem -n; Satz 3 "Thou" mit initialem t, Satz 14 "tudt"
  mit initialem t) und korrigiert dies an verschiedenen Stellen.'
Erstelldatum: 2023-12-15 15:50:48.184101
Änderungsdatum: 2023-12-15 15:50:48.184101
Satzversion: 1
...
WS1	Im Winter flähje die trockne Blärrer dorch die Luft erüm.
WS2	"Es hürt gleich uf zu schneie, dann werd das Werrer wirre besser. {Der erste Vokal in ""besser"" sieht wie ein o aus; das ergibt aber keinen Sinn.}"
WS3	Thou Kohle in de Owe, daß di Milch bahl on zu kochen fängt.
WS4	"Der gure ahle Mann is <mit dem> {""mit dem"" durchgestrichen} mirem Gaul <dorchs> {s durchgestrichen} dorch {ich lese danach thn, was keinen Sinn ergibt} Eis gebrochen und ins kahle Wasser gefalle."
WS5	Er is vor vēr ower sechs Woche gestorbe.
WS6	Des Feier woa zu haaß, die Kuche sein jo unne ganz schwarz gebrennt.
WS7	Er ißt die Aier immer ohne Salz u. Peffer.
WS8	Die Fêiß thu mer sihr wih, ich glabe, ich hunnse dorch geloffe.
WS9	Ich woar bei <der> {mittlerer Buchstabe unleserlich, durchgestrichen} dr <Frau> {u durchgestrichen} Fra gewest u. hunser gesaat und se saat, se wells ag ihrer Tochter sah.
WS10	Ich wills aach nit mi wirre thu.
WS11	"Ich schlan <dich> {""dich"" durchgestrichen} der gleich mirrem Kochlöffel über die Uhrn, dou Aff!"
WS12	Wu gihst de hi, sooemer met <der> {mittlerer Buchstabe unleserlich, durchgestrichen} dr gih.
WS13	Es sein schlächte Zeire.
WS14	Mei läb Kännd, bleib hie unne stieh, die biese Gäns beisse dich tudt.
WS15	Dou host heit om merschte gelernt u. bist ortig gewäst, dou derft {vermutlich Schreibfehler für derfst} fräer ham gih, als die annern.
WS16	Dou bist nonit gruß genunk ume Flasch Wein auszutrinken, dou mußt irscht noch am End wachse und grißer wern.
WS17	Gih, sei sou gout u. sa deiner Schwäster sie soll die Klarer fer euer Motter fertig nähen u. mit der Berscht sauwer mache.
WS18	Hettst du ihn gekennt, dann wäre es annerscht gekumme u. es [thet] {3. Buchstabe unklar} besser {2. Buchstabe unklar} um ihn stiehn.
WS19	Wer hott mir meinen Korb mit Flasche {das finale -e ist vermutlich ein Flüchtigkeitsfehler} gestohle.
WS20	Er thuot sou, als härren sä'en zum Dräschen bestellt, sie hunn es awer selbst getoun.
WS21	Wem horre dēi nei Geschicht vezählt?
WS22	Ma muß laut kreischen, sunst verstieht er uns nit.
WS23	Mer sein möid un hun Dorscht.
WS24	Wēi mir gesterobend zurück kume sein, da lougen die Annern schun im Bett u. worn schun fäß im Schlof.
WS25	Der Schnie is heit Nacht bei uns gebliwen, ower heit Morjend ist er geschmolzen.
WS26	Hinner unserm Haus stiehe drei schine Eppelbeem mit rure Eppelcher.
WS27	[Kinnt] {2. Buchstabe unleserlich} ihr nit noch en Ageblickchen uf uns worte, dann ginge mer met eich.
WS28	Ihr derft su ka Kennereien treiwe.
WS29	Unser Berje sein nit sehr huch, eier sein vill hieher.
WS30	[Wevel] {zweiter Buchstabe unleserlich} Pund Worscht u. wevel Brud wöllt ihr hunn?
WS31	Ich verstiehn eich nit, ihr mißt an bischen laurer schwätze.
WS32	Hobt ihr kan Stickche weiß Saf fer mich uf mein Tüsch gefunne?
WS33	Sein [Braue] will sich zwa schine neie Heiser in eiern Gorten baue.
WS34	Deß Wort iss em [vom] {2. Buchstabe unleserlich} Herze kumme.
WS35	Deß wor recht [vonem] {Buchstaben zwischen v und e unleserlich}.
WS36	Woas sitzt vern Vigelche uwe uf dem Meierche.
WS37	Dēi Bauern hun fünf Ochse und nein Käh und zwölf Schäfche ver deß Dorf gebracht, dēi wollte sēi verkafen.
WS38	Dēi Leit sein heit alle drauße uf dem Fäld un mähe.
WS39	Geh nor, der braun Hund thout dr nichts.
WS40	Ich sein met de Leit do hin̄e <über> {b durchgestrichen} üwer dēi Wiss ins Korn gefohrn.
