---
Bogennummer: '21206'
Ort: Friedewalde
Gid: 103326
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Carsten Schwier-Herrmann
Erstelldatum: 2022-08-08 17:42:00.968730
Änderungsdatum: 2022-08-08 18:51:50.459769
...
WS1	In'n Winter flëiget dei drögen Bläer dör dei Luft herümme.
WS2	Et hört glieck up to schn[a]ien, denn wett dat Währ wehr bäter.
WS3	Dau Kähle in'n Oaben, dat dei Melk bole an to käoken fangt.
WS4	Dei gohe ohle Mann is m[e]he den Päre int Is braoken un in dat kohle Waoter fallen.
WS5	Hëi is vör veer oder seß Wiaken störben.
WS6	Dat Füer was to hëit, dei Keauken sind jo ünner ganz schw[e]rt brennt. 
WS7	Hei ett dei Äier jümmer aohne Sölt un Piaper.
WS8	Dei Feute deaut mie düchtig weih, ick glöwe, ick hebbe se mie dörlopen.
WS9	Ick bin bie d[ei] Fräoen wäsen un hebbe et öhr sägt, un se[i] sähe, sei wolle et ock öhrer Dochter seggen.
WS10	Ick will et ock nich mehr wehr deaun!
WS11	Ick schlaoe die gl<e>ick {durch übergeschriebenes e korrigiert} mit den Schlëiwe ümme dei Ohren, du Aope!
WS12	Wo gaist du henn, schüt wie mit die mehe gaon?
WS13	Et sind schlechte Tieen.
WS14	Mien laiwe <läiwe> {Punkte über dem a wieder gestrichen} Kind, bliew hier ünner staone, dei bösen Göse bietet die dot.
WS15	Du hest verndage dat meiste leert un bist orig wäsen, du drafst ehr nao Huß {verbessert aus <Hüß>} gaon osse dei Annern.
WS16	Du bist no nich grot genog, ume eine Flasken Wien ut tau drinken, du möst ierst no ein Enne wassen un grötter weeren.
WS17	Gauh, weß so got un segg diener Süster, sei scholle dei Klẽer för johe Meume färrig naihen un mit dat Bösten reine maoken.
WS18	Häddest du'n kennt! Denn wöre et anners kumen, un et döhe bäter um ühne staon.
WS19	Woll het mie mienen Körf mehe Flẽisk staolen?
WS20	Hei döhe so, oß wenn sei üh[ne] taum dösken bestellt hädden, sei häbt et awer sülben daohne {korrigiert aus <dahne> durch übergeschriebenes o}.
WS21	Wähne hett hei dei nee Geschichten vertellt?
WS22	Man möt düchtig bölken, ans versteiht hei us nich.
WS23	Wie sind möhe und döstig
WS24	Osse wie gistern Aobend trügge kaimen, dao lẽigen dei Annern oll in'n Bedde un wören faste an'n schlaopen.
WS25	Dei Schnẽi is düsse Nacht <ver Nacht> bie us liggen bliaben, awer ver Morgen is hei schmolten.
WS26	Achter usen Huse staot drẽi wackere Appelbömkens mit rohen Appelkens
WS27	Künt gieh nich noh ein Bittken upp us teuben, denn gaoht wie mehe.
WS28	Jie drüwet nich sükke Kinnerãien drieben.
WS29	Use Barge sind nich ganz hoge, johe {verbessert aus <juhe>} sind vial höger
WS30	Wovial Pund Wost un wovial Brod wu jie hebben?
WS31	Ick verstaohe jo nich, jie müt en bitken düchtiger kören.
WS32	Hai gie kain Stücksken witte Seepen för mie upp mienen Diske funnen?
