---
Bogennummer: '44874'
Ort: Villnachern
Gid: 17988
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-05-29 11:32:24.293570
Änderungsdatum: 2023-05-29 13:12:46.941353
Satzversion: 1
...
WS1	Im Wínter flüge di trochne Bletter i dr Luft ume.
WS2	Es hört gli uf schneie, denn wírd s' Wätter wider besser.
WS3	Tue Chole in Ofe, dass d' Milch bald afäht choche.
WS4	De guet alt Maa ísch mít em Ross ín Iís ígsunke und is chalt Wasser gfalle.
WS5	Er ísch vor viër oder sächs Wuche gschtorbe {zunächst 'gst', dann angefangenes 't' mit 'c' überschrieben und zu 'gstorbe' ergänzt}
WS6	S' Füür ísch z' schtarch gsi, Kueche sínd unde ganz schwarz brennt {Verdoppelungsstrich auf 'n'} 
WS7	Er ísst d 'Eíer immer ohne Salz und Pfäffer.
WS8	Pfüess tüemmer starch weh, í ha si duregloffe.
WS9	I bė bi der Frau gsi uͦnd haneres gseit, ond si het gseit, si wells {etwas ist durchgestrichen} erer Tochter ä säge.
WS10	I wills ä nümme tue.
WS11	I schlo dėr grad {zunächst zusammen geschrieben, dann die beiden Würter durch einen dünnen senkrechten Strich getrennt} {'mit' durchgestrichen} de {zunächst 'em', dann durchgetrichen und 'de' darüber geschrieben} Chochlöffel uͦm d' Ohre, du Aff !
