---
Bogennummer: '11496'
Ort: Dittelstedt
Gid: 542204
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Springer
Erstelldatum: 2026-01-17 20:51:22.302867
Änderungsdatum: 2026-01-17 20:51:22.302867
Satzversion: 1
...
WS1	I Winter fliehn de trockne Blätter ider Loft herem. 
WS2	Es hiert gliech uf zu schnien, dan̄ werd´s Watter wetter besser. 
WS3	Tuck Kolln i U[mn], daß de Melch bahle ahn zu kochen fängt. 
WS4	Dar guete ahle Man̄ es metten Fahre durchs Is gebrochen, on ins kahle Wasser gefall[e]. 
WS5	A es v[a]r vier oder sachs Wochen gestorben. 
WS6	"Das Feier ware zu heiß, die Kuechen sin ja ongne ganz schwarz g[e]brannt. {In ""gebrannt"" wurde möglicherweise von oben ein e eingefügt.}"
WS7	A eßt de Eier emmer ohne Sahlz und Pfaffer. 
WS8	De Füße thuen mir sihre wiehe, ech glaube, ech hawe se dorchgelaufen. 
WS9	"Ech ben bi der Frau gewasen und hawe es ihr gesäht, un <und> säh sa-te, säh wolle s au ährer Tochter sahn. {""ben"" ist über ein nicht mehr lesbares Wort geschrieben. Das d im 2. ""und"" ist durchgestrichen}"
WS10	Ech well es au nech mehr wetter thun. 
WS11	"Ech schloh dich glich <gliech> metn Kochleffel em de Uhrn, du Affe. {Das e in ""gliech"" wurde durchgestrichen.}"
WS12	"Wo g[i]hste hen, solln <sollnm> wir met dir giehe. {Das m in ""sollnm"" ist durschgestrichen.}"
WS13	Es sin schlächte Ziten! 
WS14	Mie liebes Kind, blieb hier ongne stiehe, die biesen Gänse bießen dich tudt. 
WS15	Du hast hitte am meisten gelernt und best artig gewasen, du darfst früher nach Hause giehe als die Annern. 
WS16	"Du best noch nech gruß genung, um eine Flasche Wien uszetrinken, du moßt erscht noch ein Enge wachsen o größer warn <waren>. {Das e in ""waren"" ist durchgestrichen}"
WS17	Gieh, sick su guet und sah dinner Schwaster, se solle de Kleider fer ehre Motter fertig nähe und met der Berschte rein <reihn> machen. {Das h in reihn ist druchgestrichen}
WS18	Hättest du ehn gekan̄t! Dan̄ wäre es an̄ers gekommen, und es thäte besser um ehn stiehe. 
WS19	War hat mir mie Korb met Fleisch gestohlen? 
WS20	Er that sue, als hätten se ehn zum Dreschen bestellt; se habn es aber selber getonn. 
WS21	Wem hat er die neie Geschichte erzählt? 
WS22	"Man muß lut schrein, sonst virstiht er <ehr> ons nech. {Das h in ""ehr"" ist durchgestrichen.}"
WS23	Wir sind müete und hon Dorst. 
WS24	Als wir gestern Omt zurück kamen, da lagen die Annern schonne zu Bette und waren fest am Schlafen. 
WS25	"Der Schniehe ist diese Nacht bie ons lieh geblämm, aber hitte Morgen ist er geschmolzen. {Das n in ""Schniehe"" ist von oben eingefügt.}"
WS26	Henger onsern Huse stieh[n] drei schiene Appelbäumchen mit ruten Äpfelchen. 
WS27	Kön̄t ihr nech noch ein Augenbleck uf ons worte, dan[e] giehn wir met ich. 
WS28	Ihr derft nech solche Kinnerrein trieben. 
WS29	Unsere Barge sin nech siehr huoch, die euren sin vehl höcher. 
WS30	Wie vehl Pfund Worscht und wie vehl Brot wollt ihr hab[n]? 
WS31	Ich verstiehe ich nech, ihr moßt a beschen luter spräche. 
WS32	"Hott ihr kei Stöckchen wisse Seife fer <fern> mech uf minnen Tesche gefong? {Das n in ""fern"" ist gestrichen.}"
WS33	Sie Bruder well sier zwei schiene neie Hisser in eiern Gorten buwe. 
WS34	Das Wort kam ehn von Herzen. 
WS35	Das war racht vo ehn! 
WS36	"Was setzen do far Vögelchen ubn uf dem Meierchen? {Statt ""do"" könnte es auch ""da"" heißen; o und a stehen aufeinander.}"
WS37	De Bauern hatten fenf Ochsen und nien Kübe und zwölf Schäfchen ver das Dorf gebrocht, die wollten se verkaufe. 
WS38	De Liete sin hitte alle drussen uf den Falle un mäh[n]. 
WS39	Gie nur, der brune Hund tett dir nischt. 
WS40	"Ich ben met den Lieten da <dah[]> hengne ebber de Wese ins Korn ge-fahrn. {Die letzten zwei Buchstanden von ""dah?"" sind durchgestrichen.}"
