---
Bogennummer: '44608'
Ort: Lommis
Gid: 19345
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: "{Der Lehrer notiert über den 40 Wenker-Sätzen folgende Hinweise zur\
  \ Aussprache: } \n\" ä  nie breit ! nicht offen!  < iẹ = fast ia   und   uẹ = fast\
  \ ua >  beide sehr kurz \""
Erstelldatum: 2025-05-10 15:55:57.133139
Änderungsdatum: 2025-05-19 13:12:35.136057
Satzversion: 1
...
WS1	Im Winter flüget-diẹ trochne Blätter i dẹ Luft umẹ.  
WS2	Es hört glī ūf schneiẹ, dẹnn wird s Wạ̈tter widẹr bessẹr.
WS3	Tua Cholẹ in Ofẹ, dass d' Milch bald afangt südẹ.
WS4	De guẹt alt Ma isch mit ẹm Ross durs Is brochẹ und is chalt Wassẹr gfalẹ.
WS5	Er isch vor viẹr odẹr sächs Wuchẹ gstorbẹ.
WS6	"{"" F' "" ist durchgestrichen}  's Für isch tschtarch gsi, dẹ Chuẹchẹ {das 1.'ẹ' ist nicht ganz klar, sieht fast aus wie 'ạ'} ischt jo {wohl zuerst 'ja', dann 'a' dick mit 'o' überschrieben} unẹdra ā 'brennt."
WS7	Er isst d' Eier all' ohni Salz und Pfäffer.
WS8	D' Füẹss tüẹmer {zunächst 'dömmer', dann durchgestrichen und 'tüẹmer' darüber notiert} sūmäsig weh; i glaub, i has durgloffe.
WS9	I bi bi dẹ Frau gsi und hann-er-es gsāt, und si {zunächst 'sie', dann 'e' durchgestrichen} hät gsāt, si wölls au irer Töchter säge.
WS10	I wills au nüme tuẹ.
WS11	I hau d'er gad mit ẹm Chochlöffel uf d' Ohre, du Aff !
WS12	Wo gosch hē, söled-mer mit-der cho ?
WS13	Mer hend {zunächst 'händ', dann 'ä' durchgestrichen und 'e' darüber gesetzt} schlächti Zitẹ !
WS14	Mi liẹbs Chind {zunächst 'Chend', dann 'e' mit 'i' überschrieben}, blīb do une stō, di bösẹ Gens bissed-di susch tod !
WS15	Du häscht hüt am meischte glēhrt und bischt hüt am brēvstẹ gsi; du dārscht dẹfür früẹner ha go.
WS16	Du bisch nonig gross gnuẹg, zum-ẹ Fläsche Wī austrinke; du muẹscht zerscht no e chli wachse und grösser werdẹ.
WS17	Gang, bis so guẹt und säg diner Schwöste̱r, si söll Kleider für eui Muẹter fertig neiẹ und suber bürstẹ.
WS18	Hetsch-en du kännt, denn wärs anderscht use cho und es ständ besser um-en.
WS19	Wär {rumkorrigiert} hät mẹr min Chorb mi-Pfleisch {zunächst 'mit-', dann 't' durchgestrichen} gstolẹ ?
WS20	Er hät so tuẹ, wiẹ wenns-en zum Trösche agschtellt hettet; sie hends aber sälber tuẹ.
WS21	Wem hät-er di neu Gschicht verzellt ?
WS22	Me muẹ lūt brüẹlẹ, susch verstōt er üs nöd.̈
WS23	Mer sind {zunächst 'send', dann 'e' mit 'i' überschrieben} müed und hend-Turscht.
WS24	Wommerer gest z'Obed {zunächst 'Zobed', dann Apostroph nach 'Z'  gesetzt und 'o' mit 'O' überschrieben} ham cho sind, do sind di andẹrẹ scho im Bett gsi und hend gschlofe.
WS25	De Schnee isch diẹ Nacht bi üs lige plibẹ, aber hüt-de Morge ischt-er vergange.
WS26	Hindẹr üsẹm Hus stönd drü {zunächst wohl 'drei'. dann 'ei' mit 'ü' überschrieben}  schöni Öpfẹlbömmli mit rote-n-Öpfẹli.
WS27	Chönd-er nöd no e chli <(no e Wili)> uf üs warte; mer {'g' ist durchgestrichen} chömed-dänn mit-eu <(mit-i)>
WS28	Ihr dörfed nöd sonigs Gofezüg tribe.
WS29	Üsi Berg sind nöd bsunders hoch; eueri sind vil höcher.
WS30	Wiẹvil Pfund Würscht und wievil {2.'wievil' ist nachträglich unten eingefügt} Brot wend-er <(müẹnd-er ha)> ?
WS31	I versto-n-i {zunächst 'versto-ne' , dann 2.'e' durchgestrichen sowie Bindestrich und 'i' ergänzt}  nöd; ihr müend e chli {an 'ch' rumkorrigiert}  luter rede.
WS32	Hend-er nöd ẹ Stückli wīsse Seife uf mim Tisch gfunde ?
WS33	Sin Brüẹdẹr will zwa schöne Hüser i-euem Gartẹ bauẹ lo.
WS34	Wa-n-er gsat hät, isch-em vo Härze cho.
WS35	Si hend rächt  {zunächst 'recht'}  g'ha.
WS36	Wafür Vögel hocket-do uf ẹm Mürli obe ?
WS37	D' Bure hend füf Stiẹrẹ und nü Chüẹ und zwölf Schöfli vors Dorf 'brocht; dìe hends wölẹ ve̱rchaufẹ.
WS38	Hǜt sind ali Lüt uf-e̱m Fäld {zunächst 'Feld'. dann 'e' mit 'ä' überschrieben} usse̱ und maied.
WS39	Gang no {zunächst 'nu' ? dann 'u' dick mit 'o' überschrieben}, de bru Hund tuẹt d-er nüt.
WS40	I bi mit de Lüte do hinẹ über d' Wise - - - . . . . . gfahre.
