---
Bogennummer: '16128'
Ort: 'Großdorf'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	Eim Wenter fliecha die troicha Bletr ei dr Loft rem {Das „e“ gebessert aus „i“.}.
WS02	S’ härt bale ufS wät bale ufhän {Das „n“ gebessert aus „rn“.} zo schnein, drnochet {Gebessert aus „drnot“.} wät, {Gebessert aus „wird“.} s Watr wieder bessr.
WS03	Tu ock Kohle ei a Ufa, dooß {Das erste „o“ gebessert aus „a“.} de Melch bale kocht.
WS04	Da<r> gude ale Mon is mem Pfare eigebrocha on ais kale Wosser gefolla.
WS05	A is vor vier odwer segs Wocha gestorwa.
WS06	S Foier wor zo stark, de Kucha sein onda ganz schwaz {Das „a“ gebessert aus „or“.} <v̶e̶r̶b̶r̶a̶n̶n̶t̶.̶>{durchgestrichen} ogebrannt.
WS07	A eßt {Das „e“ gebessert aus „i“.} de {Das „e“ gebessert aus „ie“.} Aier emmer ohne Saalz on Pfaffer.
WS08	Die Fisse tu<n̶>{durchgestrichen} mer wieh, ich gloiwe. ich ho se offe.
WS09	Ich wor bei der Frau on ho s er gesoit, on sie soite, sie wils ach der Tochter soin.
WS10	Ich wils ach wetter nemme macha.
WS11	Ich schlo der glei a Koglöffel em de Ohrn, du Offe.
WS12	Wu giehst’n hie, sell mern metter giehn?
WS13	ßein schlechte Zeita.
WS14	Mei liewes Kend{,} blei onda stiehn, die biesa Gänse beißa dich tut.
WS15	Du host hoite om me[…]a {Überschreibungsbedingt bis auf die drei angegebenen Buchstaben nicht sicher deutbar.} gelant on best atich gewast, du derfst torscht ehnder haim giehn ols de andan.
WS16	Du best noch ne gruß genung, doß de konnst n Flosche Wein austrenka, du mußt e<r̶>{durchgestrichen}scht noch wachsa {Gebessert aus „wagsa“.}.
WS17	Gieok {Gebessert aus „Gieh,“} on bis a so {Das „o“ gebessert aus „u“.} gutt, sois dainer {Gebessert aus „denner“.} Schwaster, die sol de Klaider fer oire Mutter fättich {Gebessert aus „fertich“?} nehn on met der Berschte rain macha.
WS18	Hästa gekannt, do wärsch andersch gekomma{,} ons täte besser em a stiehn.
WS19	War hot me<r>n men Korb mem Flaische gestohla?
WS20	A tot asu{,} ols hätta sa zom Drascha bestellt, de [Das „e“ gebessert aus „ie“.] <h̶a̶t̶t̶a̶>{durchgestrichen}hoons s ower salwer gemacht.
WS21	Wam hodan die noie Geschechte derzahlt?
WS22	Ma muhß laut schrain, soste verstiehda ons ne.
WS23	Mir sein miede on hon Dorscht.
WS24	Ols mer gestannächtan {Davor noch vorgezeichnet „nechtan“ erkennbar.} Ohmd zorecke komakwoma, do loocha die andan schonn aeim Bette on schliefa feste.
WS25	Der Schnie is hente bei ons liecha geblien, ower heute marcha is a <g̶e̶s̶c̶h̶m̶o̶l̶z̶a̶>{durchgestrichen}. ufgetat.
WS26	Hender onsm Hause stiehn 3 schiene Äppelboime met schinn ruta Äppalan.
WS27	Könntern ne a {Gebessert aus „n“?} <Achabliekla{>}Wälla of ons watta {Gebessert aus „watn“ oder „wTA“.} , dernochet {Gebessert aus „dernot“.} gimmer miete.
WS28	Ihr tätt ne asu kendsch sein. <remkenscha>
WS29	Onse Barche sein ne <s̶e̶h̶r̶>{durchgestrichen}a su huch, oire sein viel hicher.
WS30	Wievl Pfond Wo<r̶>{durchgestrichen}scht on wievl Brut welltern hon?
WS31	Ich verstieh oich ne, ihr mißt a bessla <l̶a̶u̶t̶e̶r̶>{durchgestrichen}hätter reda.
WS32	Hottern ne a Steckla weiße Saife fervo michmir of mem Tesche gefonda?
WS33	Sei Bruder wil sech {Das „e“ gebessert aus „i“.} zwe schiene noie Hoiser <a̶i̶>{durchgestrichen}ai oiermoiern <4. Fall.> Go<r>ta baun.
WS34	<D̶o̶s̶ W̶o̶r̶t̶>{durchgestrichen} S kom ihm vo Hatza.
WS35	Dos wor recht vona.
WS36	Wos setzan do fer Vochalan {Das „o“ gebessert aus „e“. Darunter noch ein vorgezeichnetes „o“ erkennbar.} dat duwa of dam Moiala?
WS37	Die {Oder „Di̶e“?} Pauan hotta femf Ochsa, noin Ki’e on zwelf Schöflan {Das „ö“ gebessert aus „e“.} fers Darf gebrocht, die wullda se verkoifa.
WS38	Die Loite sein hoite olle dassa om Felde on tun haan.
WS39	Gieh ock, dar {Das „a“ gebessert aus „e“.} braune Hund tutter nischt.
WS40	Ich bien met a Loita do henda iwer die Wiese ais Kann gefoh<r>n.
