---
Bogennummer: '44573'
Ort: Zuben
Gid: 19539
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-12-25 15:14:40.150209
Änderungsdatum: 2025-12-25 15:14:40.150209
Satzversion: 1
...
WS1	Im Wenter flüget die trochne Blätter i d'r Luft ome.
WS2	Es hört bald uf schnéiè; denn werd s' Wetter wider besser.
WS3	Tuen Chohle in Ofe, dass Milech bald chochet.
WS4	Dè guet alt Mo ischt {zunächst wohl 'ist', dann 'ch' zwischen 'i' und 't' eingefügt} mit em Ross is Js inne broche und is chalt Wasser g'falle.
WS5	Er ischt vor vièr oder segg's Woche g'schtorbe.
WS6	S' Für isch't z'schtarch {zunächst 'scharch', dann oben 't' zwischen 'h' und 'a' eingefügt} g'si, d' Küeche send jo one ganz schwarz brennt {Verdoppelungsstrich auf 'n'}.
WS7	Er esst d' Eier all' ohni Salz und Pfèffer.
WS8	D' Füess tönd mer recht weh, i glaub, i hon's dorloffe.
WS9	J bi bi d'r Frau g'si und hon ir es {zunächst 'ires' in einem Wort, dann mit senkrechtem Strich getrennt} g'sat, und sie hä6t g'sat, sie well's erer Töchter au säge. 
WS10	J. will's au nüme to.
WS11	J' hau d'r gad mit em Chochlöffel am d' Ohre, du Aff !
WS12	Wo hé gohst, sölled mer mït {hier sind zwei i-Punkte zu sehen ?} d'r choh ?
WS13	Es sind schlechti Zyte !
