---
Bogennummer: '44900'
Ort: Dättwil
Gid: 16670
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-05-01 15:37:39.832191
Änderungsdatum: 2024-05-06 13:41:08.292032
Satzversion: 1
...
WS1	Im Wìnter flǖged di tròchene Blètter {zunächst 'Blätter'} i der Lùft ùme.
WS2	E̊s hȫȫrt grad ūf schnèiè, dènn wìrd s' Wätter wi̇̀der bèsser.
WS3	Tue Chòle ìn Òfe, dass d' Mìlch bald āfòd sǖde. 
WS4	De̊ guet alt Mā ìsch mìt e̊m Ròss dùrs Iis bròche ùnd is chalt Wasser gfalle.
WS5	E̊r ìsch vòr vier òder sächs Woche gschōrbe {sic!}.
WS6	S' Füür ìsch z'schtarch gsī, d' Chueche sìnd jò ùnde ganz schwarz.
WS7	E̊r ìsst d' Äier ìmmer ǒni Salz ùnd Pfäffer.
WS8	Pfüess tüend měr fèscht wē, i glä ͣ̈ube {unsicher, ob ein zweites 'ä' eingefügt wurde, oder ob zwei 'ä' übereinander stehen}, i ha si dùregloffe.
WS9	I bì bì der Frä ͣ̈u gsī, ùnd han-e̊r-e̊s gsäit, ùnd si hètt gsäit, si wèlls ìrer {zunächst 'ih'}Tòchter ä ͣ̈u säge.
WS10	I wìlls a ͣ̈u nǜmme tue̊ !
WS11	I ha ͣ̈u de̊r grad de̊ Chòchlöffel ùmm d' Ōre, dǔ Aff !
WS12	Wō gòscht du ǎne, sèlle̊-me̊r mìt dìr gò̄ ?
WS13	E̊s sìnd schlächti Zi̇̌te !
WS14	Mi̇̌s liebs Chìnd, blīb dò ùnde schtò̄, dì bȫse Gäns bīssed di z' tōd.
WS15	Du hèsch hùtt am mäischte gleert ùnd bìscht {zunächst 'bescht'} brav gsī, du darfsch früe̊ner häi gò̄ as di ande̊re.
WS16	Du bìscht nòni grōss gnue̊gf fùr e̊ Fläsche Wii ūsztrìnke, du mue̊scht z' ērscht {zunächst 'z' ērst'} nò e̊ chli wachse ùnd grȫsser wärde.
WS17	Gang ùnd bìs so guet ùnd säg diner Schwö̀schter, si sèll Kläider fǜr ö̀ǖi Mue̊t[e]r fèrtignèie ùnd mìt de̊r Bǜrschte {zunächst 'Bǜrste'} suuber mache. 
WS18	Hä̀tscht du ìn kènnt !  dènn wà̄rs ande̊rscht chō, ùnd e̊s wǜrd bèsser ùm e̊n schtò̄ {zunächst 'sto'}.                                                              
WS19	Wè̄r hètt {zunächst 'hàtt' ?} me̊r min Chōrb mìt Fläisch gschtòle ?
WS20	E̊r hètt dòò wie wènn-s-e̊n zùm Drö́̀sche bschtèllt hètte̊d; si händs ǎber sälber gmacht.
WS21	Wèmm hèd' er di nö̀i Gschìcht verzèllt ?
WS22	Me̊r muèss lǔt schrèie, sō̇scht ve̊rstòòt e̊r ö̀is nēēd.
WS23	Mi̇̀r si̇̀nd müe̊d ùnd händ Dùrscht.
WS24	Wǒ mìr gèschter z' òòbig zrùggchō sìnd, dò sìnd di andere schǒ im Bètt gläge ùnd händ fèscht gschlòòfe. 
WS25	De̊ Schnee ìsch hìnècht {zunächst 'hìne̊cht'} bi ö̀is lìge blìbe, abe̊r hǜt am Mòrge ìsch e̊r gschmǒlze.
WS26	Hìnder ö̀ise̊m Huus schtònd drèi schnö̀ni Ö̀pfe̊lbö̀imli {zunächst 'Ö̀pfe̊lbäumli' ?} mìt rōte Òpfeli.
WS27	Chö̀nd e̊r nìd nò e̊s bìtzeli warte ùf ö̀is, dènn gòmmer mìt ö̀i.
WS28	Ìr {zunächst 'Ih'} dòrfed nìd dère̊ Chìnderzüüg triibe.
WS29	Ö̀isi Bàrge sìnd nìd sēr hōch, ö̀ii sìnd vìll hȫcher.
WS30	Wievìll Pfùnd Wùrscht ùnd wievìll Brōt wänd i̇̌r {zunächst 'èr'} hā ?
WS31	Ì verstòò-n-e̊ch nēd, ìr müe̊nd e̊s bìtzeli lutter rède.
WS32	Händ e̊r e̊ käis Stǜck wīssi Sö̀ipfe̊ fǜr mìì ùf mim Tìsch gfùnde ?
WS33	Sin Brüe̊der wòtt sìch zwöi schööni nö̀iǐ Hüüser i ö̀iem Garte bòue̊.
WS34	Dǎs Wōrt ìsch ìm ab em Härze cho.
WS35	Das ìsch rächt vo ìne gsi.
WS36	Was sìtzed dō fǜr Vö̀geli òbe̊ ùf́ěm Müürli.
WS37	D' Buure händ fö̀if Òchse ùnd nüün Chüe̊ ùnd zwö̀lf Schö̀fli vòrs Dōōrf .bròcht, die händ si wèlle ve̊rcha ͣ̈ufe.
WS38	D' Lǚt sìnd hö̌tt alli ǒf'm Fäld ǒsse und mèie̊.
WS39	Gang nur, de̊ bruun Hǒnd macht dèr nüüt.
WS40	Ich bì mìt de̊ Lütte dò hìnde öber die Wìse {zunächst 'Wese'} is Chorn gfāre.
