---
Bogennummer: '44758'
Ort: Endingen
Gid: 15390
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-09-27 14:40:31.268171
Änderungsdatum: 2023-10-02 13:25:43.475810
Satzversion: 1
...
WS1	Im winter flüüged di trochne plätter i dr Luft ume.
WS2	Es hō̈rt iez dänn grad uf schneie, dänn wi̇̀rd s' wätter wi̇̀der besser.
WS3	Tuͦ̀ chòle in-òfe, as d' milch bald afangt süüde.
WS4	Dè guet alt maa i̇̀sch mi̇̀ttem ross is iis ie proche und is chalt wasser gfalle.
WS5	"Er isch [ö̀]ppe {auf 'o' steht kein übliches Trema, sonder ein linkks offenes Häkchen, wie ein math. ""Ist grösser als""-Zeichen und darüber Gravis} vor vier oder sàchs wuͦche storbe."
WS6	s' füür isch z' schtarch gsii, d' tünne sind jo uͦnde ganz schwarz āprännt.
WS7	"Er isst d' äier immer oni salz um-pf[ä]ffer  {auf 'a' ist ein links offenes Häkchen, wie eine math. ""ist grösser als""-Zeichen}."
WS8	'Pfüess tüemmer fescht wee, i gläub i häigs durggloffe.
WS9	I bi bi-dr fräu gsii und han-èr-ès gsäid, und s'i häd gseid, si wells äu ìrer tochter sääge.
WS10	I wotts äu nǜmme tue.
WS11	I schlòò-dr grad de Chelle um t' ohre uͦme, du aff !
WS12	Wo-ane gosch, sèlet-mer mi̇̀ttr gòò ?
WS13	Ès-sind schlächti Zitte {zunächst 'Zi̇̀tte', dann Gravis durchgestrichen}.
WS14	Chind, bliib do und schtoh, di̇̀ bööse gäns bīssed-di̇̀ {'bissed': bei 'i' ist der i-Punkt mit einem Stift überschrieben, durch einen Querstrich ersetzt?} z' tod.
WS15	Du häsch huͦ̈̀tt am-meischte gglehrt um-pi̇̀sch brav gsii, du tarfsch ehner häi as di̇̀ andere.
WS16	Du bisch nòni gross gnueg as chönntisch e gùttere wii ustringke, du muesch zērscht no wachse und grō̄sser werde. 
WS17	Gang bi̇̀s-so guet und säg diner schwöschter, si sèl 'Kleider för öji Mueter fertig neje und usbuͦ̈rschte.
WS18	Hettsch-en du gkännt, dänn wèrs anderscht chōo und es-schtiend besser um-en.
WS19	"Wer h[ä]t-mer {'hät' auf 'a' steht links offenes Häkchen wie ein math. ""ist grösser-als""-Zeichen} min chōrb mi̇̀t-em fläisch gschtòle ? "
WS20	Er häd-de gli̇̄che tṑh, as wi̇̀ wänns-en zuͦm trö̀sche agschtellt hette[t] {'t' am Wortende ist mit mit 'd' mit Stift überschrieben} . s[ē]e {unklar, ob 'sée' (mit Akut) oder 'sēe' (mit Querstrich gemeint ist} händs aber sälber 'gmacht.
WS21	"Wemm h[ä]d-er {unklar, auf 'a' steht links offenes Häkchen, wie math. ""ist grösser als""-Zeichen} di nö̀i gschicht verzellt ?"
