---
Bogennummer: '45896'
Ort: Kienholz
Gid: 21041
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-04-29 09:29:41.847434
Änderungsdatum: 2022-05-07 15:07:50.126687
...
WS1	Im Winter flügen die trochnen Bletter in der Luft umhe.
WS2	Es heert bald uf schniie, denn wird ds Wätter wider scheender.
WS3	Tue Chole in Ofe inhi, dass d' Milch bald chunnd.
WS4	Dr guet alt Man isch mit-em Ross dür <(halb i, halb ü!)> z' Isch broche & i ds chalt Wasser ghiit.
WS5	Är isch vor vier oder sächs Wuchen gschtorbe.
WS6	Ds Fiir isch zschtarch gsi, die Chueche {zunächst 'Chuechen', dann 'n' durchgestrichen} sin ja am Bode ganz verbrönd.
WS7	Är isst d' Eier geng ohni Salz und Pfäffer.
WS8	D' Fiess tüe mer fascht weh, i ha s' {zunächst Apostroph VOR 's', dann durchgestrichen und Apostroph nach 's' gesetzt} dürglüffe <(ü = stets mehr wie i.)>
WS9	I bin bi dr Frou gsi und ha-n-er es gseit, und si {zunächst 'sie', dann 'e' durchgestrichen} het gseid, si wells irem Meitschi o säge.
WS10	I will's nimmé tue !
WS11	"I giben dr eis mit dr Chelle an Grind, du Aff ! <(statt ""giben"" auch ""rüeren"")>"
WS12	Wo geisch du hin ? sölle mer mitcho ?
WS13	Es sin schlächti Ziite !
WS14	Mis liebs Chind, blib da unna stah; die beese Gäns bissen di z' Tod !
WS15	Du hescht hiit am meischte glehrt und bisch es Liebs gsi; du darfsch ehnder hein, als di {zunächst 'die', dann 'e' durchgestrichen} andre.
WS16	"Du bisch no nid grosse gnue für ne Fläsche Wii z'triiche <(od. ""z'budle"")>, du muesch no eppis wachse."
WS17	Bis so guet und gang säg diner Schwöschter, si sell d' Chleider für öwwi  {Verdoppelungsstrich auf 'w'} <(euwi)> Muetter fertig näie u. se mit dr Birschte putze.
WS18	Wenn du ne gkennt {Verdoppelungsstrich auf 'n'}  hättisch, wärs anders use cho, und es tät besser stah mid em.
WS19	Wär hed mi Chorb mid em Fleisch gschtole ?
WS20	Är hed dr gliiche ta,  wie wenns ne zum Drösche bschtelld hätte; aber sie heis sälber tan.
WS21	Wäm hed-er di niw Gschicht erzelld ?
WS22	Me mues lut riiefe, suscht verschteid er eine {zunächst 'eim', dann 'm' mit 'ne' überschrieben} nid.
WS23	Mir si mied und hein Durscht.
WS24	Wo mer geschter am Abe si zrugg cho, da sin die andre scho under gsi u. hein fescht gschlafe.
WS25	Dr Schnee isch die lescht Nacht lige blibe; aber hiit am Morge isch er gschmulze.
WS26	Hindrem Hus schtähn dri scheeni Epfelbeimli mit roten Epfellenen.
WS27	Chenid - ihr nid no en Ougeblick uf is warte, de gäh mr mid-ech.
WS28	Ihr dörfd nid söttiger Chinderiie triiben.
WS29	Iiser Bärga sin nid so höi, euwer si viil höcher.
WS30	Wivil {zunächst 'Wiviel', dann 'e' durchgestrichen} Pfund Wurscht und wivil {zunächst 'wiviel', dann 'e' durchgestrichen} Brod wei-dr han ?
WS31	I gheere-n-euwch nid, ir miessd luter brichte. <(p̱̱richte)>
WS32	Heid-ièr es Stickli Seife für  mii uf mim Tisch gfunde ?
WS33	Sin Brueder will zwei scheeni nüwi Hiiser bouen i euwen Garte. <(?)>
WS34	Das Wort chund-im vo Härze.
WS35	Das isch rächt gsi von-ene.
WS36	Was hocken da für Vögel {die Endung 'el' ist mit blau dünn unter-wellt} uf em Miirli obe ?
WS37	D' Bure hein füf Ochse <(Munige)> und niin Chiè und zwölf Bänze vor ds Dorf bracht ghäbe und hein se welle verchouffe.
WS38	D' Liit sin hiit allzäme dusse uf em Fäld und tüen mäije.
WS39	Gang nume, dr brun Hund tued dr niid.
WS40	I bin mid däne Liite da hinne über d' Wise {zunächst 'Wiese', dann 1.'e' durchgestrichen} i ds Chore gfaare.
