---
Bogennummer: 55586
Ort: Mierzewo
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Miriam Schlicht
Anmerkungen: ''
...
WS01	Zimą suche liście w powietrzu lata. 
WS02	Zaraz przestanie śniég padać, potém powietrze będzie lepsze znów.
WS03	Wloz węgli do pieca, aby mleko wnet gotować zaczęl͠o.
WS04	Dobry, stary czl̅owiek z koniem na lodzie się zarwal̅ i w zimną wodę wpadl̅.
WS05	Umarl̅ przed cztéryma lub sześciu tygodniami.
WS06	Ogień byl̅ za gorący, przeciez plcki naspodzie zupel̅nie czarno sięspalil͠y.
WS07	On jé jaja zawsze bez soli i pieprzu.
WS08	Stopy mnie bardzo bolą, sądzę, z̆e je przelecial̅em.
WS09	Byl̅em u kubieƚy  i powiedzial̅em jéj a ona mówil͠a, iz̆ chce to takz̆e córce powiedzieć.
WS10	Juz̆ tego nie chcę więcéj uczynie!
WS11	Ja cię zaraz l͠yz̆ką od goƚowania po uszach wyƚnę, ƚy mal͠po!
WS12	Dokąd idziez czy mamy iśe’z tobą?
WS13	Zl͠e czasy są!
WS14	Moje kochane dziecię, pozostaú tu na dole, zl̅e gęsi zagryzą cię.
WS15	Ty dzis‘ najużęcej się uczyl̅eś  i byl͠eś grzeczuy, moz̆esz rychléj iśé do domu niz̆ drudzy. 
WS16	Nie jesteś jeszeze dosyé wielki, aby wypić flaszkę wina, nucsisz jeszeze kawal͠  urośe‘i większym byé.
WS17	Idź, bądź ƚak dobry i powiedz twéj siostrze, diech uszyje suknie dla waszej matki i szczotką wyczyśei.
WS18	Gdybyś go byl̅ znal͠! toby byl̅o inaczéj przyszl̅o, i lepiéj by z nitnstal̅o.
WS19	Kto mi ukradl̅ mój koszyk z mięsem?
WS20	Udawal͠,  jakoby go do ml̅ócenię obstalowali, lecz sami to uczynili.
WS21	Komu nową powieśé opowiadal̅?
WS22	Trzeba gl̅os’no krzyczeé, inaczéj nas nie zrozumie.
WS23	Jestes’my zmęczeni i mamy pragnienie.
WS24	Gdys’my wczoraj wieczorem wrócili, drudzy juz̆ w l̅oz̆ku lez̆eli i mocno spali.
WS25	Snieg téj nocy u nas  lez̆al͠, lecz dziś rano rostajal͠.
WS26	Za naszym domem stoją trzy l̅adne jabl̅oneczki z czerwonemi jabl̅uszkemi.
WS27	Czy nie noz̆ecie jeszcze chwileczkę na nas poczekać, potém pójelziemy zwami.
WS28	Nie powinnisèie takich dziecinstw wypreawiać.
WS29	Nasze góry nie są bardzo wysokie, wasze są wiele wyz̆sze.
WS30	Ile funtów kiszki i ile chleba chcecie.
WS31	Nie rozumiem was, musicie mówié cokolwiek gl̅ośniéj.
WS32	Czy nie znaleźliście kawal͠ka ?ial̅ęgo mydl̅a dla mnie na moim stole.
WS33	Jego brat chce sobie dwa l̅adne nowe dony we waszym ogrodzie wybudować.
WS34	To sl̅owo wyszl͠o mu ze serca. 
WS35	Dobrze sobie postąpili.
WS36	Coto za ptaszki siedzą tam u góy na mureczku?
WS37	Chl͠opy pięć wol͠ów i dziewięć krów i dwanaście owieczek przed wieś przypędzili, chcieli sprzedaé.
WS38	Ludzie są dziś wszyscy na polu i ml͠ócą.
WS39	Idź tylko brunatny pies nic ci nie zrobi.
WS40	Pojeckal͠em z ludżmi tam tyl͠em przez l̅ąkę w z̆yƚo.
