---
Bogennummer: 55592
Ort: Groß Dammer
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Miriam Schlicht
Anmerkungen: ''
...
WS01	Zima lecą suche li’scie. 
WS02	Przestanie niedlugo ‚snieg padaé, to i powietrze lepsze będzce.
WS03	Wrzuc węgli do pieca, aby mleko wnet zaczęl̅o gotowác.
WS04	Ten dobry stary ozl͠owiek zerwal͠ się z koniem nec lodzie i wpadz wte zimną wodę.
WS05	Umarl̅ przed ozterema albo szóścin tygodniami.
WS06	Ogień byƚza gorgly, kol͠ocz jest calkiem na dole spalony.
WS07	Je jaja zansze bez soli i pieprzec.
WS08	Nogi mnie bardzo bolą, ja myślę, ze sobie przeƚarl̅em.
WS09	Byl̅em u pani, i powiedzial̅em je, a mówil͠a, że powie córce.
WS10	Ja tego już niechcę wiecéj, zrobić!
WS11	Biję cię zaraz z warzewną bez wszy, ty mal͠po!
WS12	Gdzie ty idziesz, mamy też z tobą i’sć?
WS13	Lą kiepskie czasy!
WS14	Moje dobre dzierko, badź tu na dole stoić, te zl̅e gęsi cię zagryzą.
WS15	Tyś dzisiaj najwięcéj się nawezyl̅ i byl͠eś posl͠usznym; ty prędzej pojdziesz do domu, jakci drudzy. 
WS16	Tyś jeszeze niejesƚ dosyé srogi, żebyś flaszkę wina wypil̅, ty musisz jeszcze kawal̅ek rość, aż będziesz większym.
WS17	Idź, bądź l͠askaw, i powiedz lwojej sios?rze, że mial̅a ƚę suknią dla waszéj matki zrobić i szezolka chędożyć.
WS18	Żebyś ty go byl̅ znal̅! to by byl̅o inaczéj przyszl̅o i byƚoby inaczej o nim stojal̅o.
WS19	Kto mi ukradl̅ mój koszyk z mięsem?
WS20	On tak czynil̅ jakoby byl̅ obstatowany do ml̅ócemia, a oni tegò nieczynili.
WS21	Komu on tę nową kistoryję opowiedzial̅?
WS22	Maszą gl̅ósno krzyczyé, bo on nas niezrozumie.
WS23	My są trudui nam się chce pić.
WS24	Jak my przyszli wczoraj na wieczór nazad, drudzy już leżli n l̅ózku i spali mocno.
WS25	Snieg zostal̅ dzisiejzzéj nocy u nas̃ leżeć, ale dzisiaj rano zƚajal̅.
WS26	Za naszem d?em stoją trzy piękne jabl̅onka z czercoonemi jabl̅kami.
WS27	 Niencożecie jeszeze chcoilkę na nas̆ czekaé, to my zwami pójdziemy.
WS28	Nieś miycie ƚakiégó dziecinnego gl̅upƚwa gnai.
WS29	Nasze góry niesę bardzo wysokie, wasze są wiele wyższe.
WS30	Ile funtów kiszki i dosć chlela chcecie mieć.
WS31	Nierozumiem was˘, musiecie gl̅ośniéj mówić.
WS32	Nieznaleś liście kawal̅ku mydl̅a dla mnie na mojem stole?
WS33	Jego brat ehce sobie dwa piękne nowe dony w waszem ogrodzie budować.
WS34	To sl̅owo mu przyszl̅o z serca. 
WS35	To byl̅o dobze od niego.
WS36	Co tam siedzą za ptaszki na tych murkack?
WS37	Chlopi przyprowadzili pięć wol̅ow i dziewięć krów i dwanaście owieczek przed wsią, któryeh chcieli sprzedaé.
WS38	Ludzie są dzisiaj wszysey na polu i sieką.
WS39	Ieź tylko, ten brunatny pies cię nic niezrobi.
WS40	Jechal̅em z tymi ludżmi w tyle przez l̅akę do żyƚa.
