---
Bogennummer: 52963D
Ort: Westerland auf Sylt
Sprache: Nordfriesisch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: '{Diese Dublette ist eines der beiden nachträglich von Georg Wenker in
  direkter Befragung aufgenommenen Formulare} <Aufgenommen 5. Auguſt 1889, Westerland
  Sylt, W.> <Als Dbl. zugelegt 1. IX 1903. {Diese Notiz ist nur sehr schwach zu lesen.}>'
...
WS01	Ȍ̆m Wùnterem flȍ / de ̆́/ drü χ blḕärn (gutt) ȍ n de lŏ̀χ³t òmbĭ/.
WS02	Hȁt ha lt dò lkenst a ̄p tȍ snīen, dȁ/ ūr (gutt) dit we ̀rer (lg) we ̀rer bēter.
WS03	Lī (dȍ/) kȫln ȍn de ka χelaun, dat dit Mò lk băl tȍ kȫken bege ̀nt.
WS04	De gŭ̀r ṑal ma n ès me ̀ dé hingst dȫr dit ĭs brḗken ȍn ȍn dit kūl wḗter fḕlen.
WS05	he ̆́ ès fòr fjūr ŏ̀f sŏ̀ks wḗken stü ̀rwen. {Hier ist nicht eindeutig zu erkennen, ob der Gravis oder das Breve oben stehen soll oder ob das Breve sogar zum r gehört.}
WS06	Dit jȍ l wḕr tȍ sta rk (wȁrem), dit kuck ès jŏ̀ ȍnner ga nz sūrt brònnen.
WS07	He e ̀t de eier laŋsen sȍnner sṑlt ȍn pḗper.
WS08	De fè tt dȍ mĕ sīr, ik līw ik hṑ’s dō r lȍ ppen.
WS09	Ik sè n bĭ de wüff wèssen ȍn hṑ’t hȫr sa r (lg) ȍn jü sa r jü wĭl’t ŭk hȫr fṑmen sī.
WS10	Ik we ̀l’t ù k èk mūar wè rer dȍ /.
WS11	Ik slṑ dĭ mitjèns me ̀ de ̆́ kȫkskā r òm ṑrn, dü ṑp.
WS12	Hŭr ga ͡istü hè n, skèl wü mĕ dĭ gù ŋ?
WS13	Ha t sèn grü ̀j³jelk {Auch hier ist nicht zu entscheiden, ob Gravis oder Breve oben steht.} te ̆́rn.
WS14	Mĭn le ̀f jù ŋen, blīf jīr ȍnner stūnen, de ā riɣ² gȍ ss bittĭ dṑar (lg)
WS15	Dü hēst dè lliŋ ăm mīsten līrt ȍn bèst frāi wèssen, dü mŏ̆́st jè r tü s gùŋ ü s de ü rern (lg).
WS16	Dü bè st jit è k gŭrt enò ch, òm en bò rrel (lg) wīn ü ttȍdriŋken, dü móst jè st jit wat wŭkse ȍn gŭrter ūr.
WS17	Guŋ, wīs sȁ gŭ̀r ȍn sī dĭn sè ster, jü skè l de klṑarer fòr jū mōter klṑr sī ȍn me ̀ de bȍ stel rīn mṑké
WS18	Ha rstü hȍ m kü r (lg), dȁ/ wḗrt ü rers {Hier wurde offenbar ein d zu einem r korrigiert.} (lg) kèmmen ȍn ha t hè r (lg) bḗter ò m hȍ m stȍnnen.
WS19	Hò kken hḗ me ̀ mĭn kò rref me ̀ mḗt stḕlen?
WS20	Hĕ dȍ r (lg) sa / ü s hè r ja hȍ m tȍ tḕrsken bestè llt, jă hṑ’t ṑber sa llef dȍ n.
WS21	Hò kken hḗ he ̆́ de nī Gešĭχ²te fortè llt?
WS22	Ȍ̆m {Der doppelte Gravis und das Breve stehen im Original - wohl platzbedingt - nebeneinander.} mŏ̆́t gŭrtem skrīl, ǜrers (lg) forstṑnt hĕ ǖs è k.
WS23	Wü sè n trḕt ȍn hṑ tȍ st.
WS24	Ü̆s {Auch hier steht das Breve wohl aus Platzgründen neben den Umlautzeichen.} wü jüsteriñ tȍbḗk kā m, dă la ̄ de ü rern à ll ȍp de bḗär ȍn wḕr fa st tȍ slȍppen {Darunter steht „zugeschlafen“.} (ȍn slīp).
WS25	De sne ̀ ès jü năcht bi ǖs līen blè wwen, man jümḕärn ès he smè lt
WS26	Ȁ̆chter {Auch stehen Doppel-Gravis und Brevis nebeneinander.} ǖs hü s stūn trī ā̀pelbōmer me ̀ rṑar ṑbeler.
WS27	Ke ̆́n ĭ/ jĭt èk en ṓɣ³enblè ck ü p ū̎s tḗwf, dă guŋ wü me ̀ jū.
WS28	I mŏ̆́t è k sòkk juŋenstrēken drīf.
WS29	U ̅̈s bȁrriɣe sè n e ̀k sa ̄ hōch, jūen se ̀n fūl hōɣ³er
WS30	Hŭr fūl pü n mā riɣ ȍn hŭrfūl brṑar wèle ĭ hṑ.
WS31	Ik fŏrstūn jū èk, ĭ mŏ̆́t wăt en bè tken gūrtemer snakki(e)
WS32	hṑ ĭ nīn stè k witt sīp tȍ mĭ üp mĭn stṑl fönnen? {Das Wort fönnen stand ursprünglich vor üp.}
WS33	Sĭn brȍ rer (lg) wèll hȍm tau da ͡ilk (nè tt) nī hǖſiŋ ȍn jū gṑart bè ch.
WS34	Dit Ūrt (gutt) kā m hȍm fan hārten
WS35	Dit wè̄r rŏ̀cht făn jū.
WS36	Wat sètt dḕr fò r fü ɣɣelkén bṓwen ü p de mǖr?
WS37	 De būrn ha r fĭf Ausen ȍn nīɣen kinn ȍn twè llef litj shĭp fòr dit tḕrp brṑcht, da nnen will ja forkōpĭ.
WS38	De le ̆́r sèn dèllig allta mṑl bütten üp Mărk tȍ hauen.
WS39	Gŭŋ măn, de brü n hü n {Bei brü̆n steht im Original das Breve über den Umlautstrichen, bei hü̆n darunter.} dè̄t di niks (nŏ nt)
WS40	Ik sèn me ̀ de lĕ́ r (lg) dēr a chter a/ur de Ĭŋe ȍn’t kūrn kȫrt.
