---
Bogennummer: 28346
Ort: Großenmoor
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Wäinter fliehen dee tro͡ackene Bleder in der Luft rem.
WS02	s heiet glich of se schnäie, do͡a wi(r)d des Wäder weder bässer. <(d. beiden letzten ä recht breit, Mitte zw. a u. ä)>
WS03	Do Kolle in Owe, do͡aß dee Melch ball se ko͡ache ofangt.
WS04	Der god all Mann es mit dem Gull <(„Pferd“ gibt’s nicht)> dorch’s Is gebro͡ache on in’s kall Wasser gefalle.
WS05	Hä <(ä breit)> eß vir vier äwer sächs <(ä br.)> Wo͡ache gestorwe.
WS06	Des Fiér war se heiß, dee Koche senche <(sind ja)> enge ganz schwa(r)z gebrant.
WS07	Hä <(ä br.)> eßt dee Eier immer ohne Saals on Päffer <(br.)>.
WS08	Dee Feß do mer go͡arzesähr <(br., gar zu sehr)> weh, ich glei, ich hon se dorchgelöufe.
WS09	Ich sen bäi der Frau gewäst <(br)> on honser <(hab’s ihr)> gesäht <(br)>, on säi sok, säi wollt’s ihr Doéchter au sah.
WS10	Ich wälls au net weder do!
WS11	Ich schlan dich glich mit dem Ko͡achläffel <(br.)> em dee Uhrn, du Aff’!
WS12	Bo geste hin, sonn mäi mit däi geh’?
WS13	s sen schlähchte <(br.)> Zide.
WS14	Mi liewes Käind, blih hie enge steh, dee bese Gänz’ <(br.)> bisse dich dod.
WS15	Du ho͡ast hit om menste gelarnt on wist artig gewäst <(br)>, du de(r)fst fréer heigeh als dee Anne(r)n.
WS16	Du wist noch net groß genunk, im e Flasch’ Wi(n) ussedrenke, du moßt jä(r)scht noch e Äng <(br.)> waß’ on gresser wär <(br.)>
WS17	Geh, säi so god on sä’s <(br.)> diner schwäster <(br.)>, säi soll dee Kleider fir äier Motter fertig näh’ on mit der Biä(r)scht rei(n) mach’!
WS18	Häst <(br.)> du en gekant, do͡a wä(r)sch anne(r)scht komme on ’s dät bässer <(b.)> immen <(um ihn)> steh.
WS19	Bär <(br)> ho͡at mäi min Korb mit Fleisch gestohle?
WS20	Hä <(br)> do͡aht so, als hättesen <(br.)> zom Dresche bestahlt; säi hon’s äwar <(br.)> sälber <(br.)> gedo(n).
WS21	Bäm <(br)> ho͡atte dee nöu Geschicht’ verzahlt?
WS22	Mer moß lud schräi, sost verstete ons net.
WS23	Mäi sen med on hon Do(r)scht.
WS24	Als mäi nächts <(br.)> O͜abed sereck ko͡ame, do lo͡ake dee Anne(r)n schond im Bätt <(b.)> on wo(r)n fest im schlo͡affe.
WS25	Der Schnäi eß des Nächt <(br)> bäi ons läi bläicht äwer desse Morre esse verschmelzt.
WS26	Henger onsem Hus sten dräi schenne Äbbelsbeim <(br.)> mit rode Äbbelerche <(br.)>.
WS27	Konnt äi net noch e Auwebleckche of ons wart, do͡a gen mäi mit äich.
WS28	Äi de(r)ft net so Kengeräi dri.
WS29	Onse Bä(r)k <(br.)> sen net sähr <(br.)> hoch, äien <(eure)> sen vil höcher.
WS30	Bevil Pond Wo(r)scht on bevil Pond Brod wollt äi ho͡a?
WS31	Ich versten äich net, äi moßt e besche literscht spräch <(br)>.
WS32	Ho͡at äi kei(n) Steckche wiß Säife fir mich of mim Desch gefonge?
WS33	Sin Broder well sich zwä <(br)> schenne nöuwe Hisser in äiem Go͡arte böu’.
WS34	Do͡as Wo͡art ko͡am em vom Härze <(br.)>
WS35	Do͡as war net rächt <(br.)> von ihne.
WS36	Bo͡as setze do fir Vegelerche owe of dämm Mié(r)che?
WS37	Dee Bu(r)n hatte fenf O͜ässe on ni(n) Keh on zwälf Schäferche firsch Dorf gebrächt <(br.)>, dee wollte se verkäif.
WS38	De Lid sen hit all drusse offem Fäld <(br.)> on mähe.
WS39	Geh nur, der Bru(n) Hond dod der nischt.
WS40	Ich sen mit de Lid do͡a henge iwer dee Wies’ ins Ko(r)n gefa(r)n.
