---
Bogennummer: 47214
Ort: Strücklingen
Sprache: Ostfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: <Bemerk. ou = ū; àu ſchwebt ſchwiſchen ou u. au; l faßt verſchwindend,
  wie in fille; ſ meißtens ſcharf.>
...
WS01	Jn’n Winter fljoge doo drouge Bleede truch’ de Lucht herume.
WS02	Det heert flug ap tàu ſchnejen, dann wärt det Weeder wier beeter.
WS03	Dàu Kohlen in’n Àugend, det de Molk bolde an tàu ſchjoden fangdt.
WS04	Die gàude ohlde Mann is med’e Hangkſt truch’t Jhs breeken un in det koolde Water fall’n.
WS05	Hie is vor vjàuer of ſexs Wieke ſtourwen.
WS06	Det Fjur was tàu heet, do Kàuke ſunt unner j[a]h {Es ist ein kleines und kaum erkennbares Zeichen über dem Wort notiert. Sollte man dieses als misslungene Umlautmarkierung interpretieren, hieße des Wort jäh.} ganz ſchwott barndt.
WS07	Hie et’te Eier immer ſunner Salt un Pieper.
WS08	Do Fäite dwo mie gjucht ſehr, ik le’ue ik häbe ſe trouch ronnen.
WS09	Jk ben bie det Wiu weeſen, un häbe et ir tàu queden, un ju quad, ju wielt ok hier Wucht tàu quede.
WS10	Jk wollt nit mohr wier dwo.
WS11	Jk ſchloo die glieks med’ de Schljoh um de Ohrn du Ape
WS12	Wier gungs’ſte wei, ſchell’ue wie med die gun e {Bezüglich der zuvor im Satz stehenden Form gungs’ſte wäre hier etwas wie gunge zu erwarten gewesen, aber es steht tatsächlich auf diese Weise getrennt im Formular.}.
WS13	Det ſund schljuchte Tieden.
WS14	Mien ljouwe Bidde blioue hier unner ſtaunden, do böſe Gäiſe biete dod.
WS15	Du häſt deileg ap maste leerd, un bäſt ordentlik weeſen, du duhrſt ehr ett’r hus gun’e {Vgl. Satz 12, diese Form ist etwas schlecht zu lesen, scheint aber mit Apostroph realisiert zu werden.} as de Àuer.
WS16	Du bäſt noch nit grot nàug, um’n Patellje Wien ut tàu drinken, du moſt erſte noch’n Eende wakſe un gratter wädde {Die letzten beiden Wörter des Satzes sind eng über die beiden vorherigen Wörter geschrieben und daher schwierig zu lesen.}.
WS17	Goun’, wes ſo gàud un qued tau dien Suſter ju ſchul do Kloder for jàu Mäme klor ßäje un med’n Berßel ſcheen makje. {Der Abschnitt ju ſchul do Kloder wurde zunächst an der falschen Stelle übersetzt, durch Markierungen wurde die korrekte - und hier transliterierte - Reihenfolge der Wörter angezeigt.}
WS18	Hieſt du em kand, dann war et aouers keemen, un et dide beeter um em ſtàunden.
WS19	Well hed mie min Kauerg med Flask ſtäl’n?
WS20	Hie died ſo, as hieden ſe em tàu tersken beſtald; jo häbe et aber ßälven {Der erste Buchstabe wirkt wie nachträglich vom ſ zum ß korrigiert.} däin.
WS21	Well hed hie ju näi Geſchichte vertelld?
WS22	Mie {Wahrscheinlich ist Wie gemeint. Mie ist eventuell durch Kontamination des Man aus der Vorlage entstanden.} maut lud ſchräiwe, àuers verſtandt hie us nit.
WS23	Wie ſund maud un häbe Torſt.
WS24	As wie jurßen Äuwende {Durch die Falzstelle sind die bereits sehr klein geschriebenen Buchstaben dieses Wortes schwierig zu lesen.} tàuräch kemen, do liegen do Àuer al int Bäd un wieren fäßt ant ſchläjpen.
WS25	Die Schnee is dös Nachd bie us läſen bliouen, aber märl’relg is hie ſchmolten.
WS26	Bäfte uſe Hus {Ein unklares Zeichen steht beim u.} ſtàunde träi froÿe Appelboome med litje Appele.
WS27	Konnen ji nit noch àn Ogenblick ab us wachtje, dann goune wie med jàu.
WS28	Ji duerne nit ſukke Birndderäi driu’e.
WS29	Us Bäierge ſunt nit ganz hoch, jàuen ſund vull hagger.
WS30	Wovul Pound Wußt un wovel Brod wolln {Vielleicht auch wolle.} ji häbe?
WS31	Jk verſtàunde jau nit, ji màuten bitje luder balle.
WS32	Hei ji nit’n Stuk wiete Szepe for mi ap mi’n Disk funen?
WS33	Sin Bràuer woll ſik two froÿe näie Huse in jàu Tun bàue.
WS34	Det Wut kem em von Harten!
WS35	Det was riucht von jòu!
WS36	Wett ſitte der for Fugeltje buppe de ab de ab de littje Fugelle buppe ab de littje Maure.
WS37	Do Burne hiden fiòue Ockſene un n’jugen Beiſte un twelef littje Schäipe vor det Terp bràcht, do will’n jo verkohpje.
WS38	Do Ljude ſund deilig alle bute apt Fäild un mijohn.
WS39	Gun’n man, die braune Hòund ded di niks.
WS40	Jk ben med do Ljude dehr bäivte uer de Wiske int Korl {Fort nennt Koardel als jüngere Form, gegenüber dem alten Kouden (vgl. Fort 2015, S. 332).} fäiert.
